04-18-2026 15:11:39 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,1%@930,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@57.656C soc2@56.843C soc0@55.625C gpu@57.375C tj@57.656C soc1@56.562C VDD_IN 8001mW/7928mW VDD_CPU_GPU_CV 2698mW/2648mW VDD_SOC 1788mW/1783mW
04-18-2026 15:11:40 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 64% cpu@57.718C soc2@56.937C soc0@55.812C gpu@57.531C tj@57.718C soc1@56.625C VDD_IN 8001mW/7931mW VDD_CPU_GPU_CV 2658mW/2648mW VDD_SOC 1788mW/1783mW
04-18-2026 15:11:40 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@57.562C soc2@56.875C soc0@55.812C gpu@57.187C tj@57.562C soc1@56.593C VDD_IN 7961mW/7932mW VDD_CPU_GPU_CV 2698mW/2650mW VDD_SOC 1791mW/1783mW
04-18-2026 15:11:41 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@911,0%@729,0%@1510,100%@1510] GR3D_FREQ 79% cpu@57.656C soc2@56.937C soc0@55.875C gpu@57.25C tj@57.656C soc1@56.562C VDD_IN 7921mW/7932mW VDD_CPU_GPU_CV 2698mW/2651mW VDD_SOC 1791mW/1783mW
04-18-2026 15:11:41 RAM 5144/7620MB (lfb 26x4MB) SWAP 3756/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 59% cpu@57.625C soc2@56.906C soc0@55.812C gpu@57.343C tj@57.625C soc1@56.562C VDD_IN 7961mW/7933mW VDD_CPU_GPU_CV 2698mW/2653mW VDD_SOC 1791mW/1784mW
04-18-2026 15:11:42 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [18%@1510,20%@1510,17%@1510,14%@1510,14%@1510,100%@1510] GR3D_FREQ 54% cpu@57.531C soc2@57C soc0@55.781C gpu@57.281C tj@57.531C soc1@56.562C VDD_IN 8120mW/7939mW VDD_CPU_GPU_CV 2777mW/2657mW VDD_SOC 1788mW/1784mW
04-18-2026 15:11:42 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@57.625C soc2@56.937C soc0@55.843C gpu@57.375C tj@57.625C soc1@56.531C VDD_IN 8041mW/7942mW VDD_CPU_GPU_CV 2698mW/2658mW VDD_SOC 1788mW/1784mW
04-18-2026 15:11:43 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,0%@729,1%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 80% cpu@57.75C soc2@56.875C soc0@55.781C gpu@57.468C tj@57.75C soc1@56.531C VDD_IN 7921mW/7941mW VDD_CPU_GPU_CV 2698mW/2659mW VDD_SOC 1791mW/1784mW
04-18-2026 15:11:43 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,1%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 64% cpu@57.625C soc2@56.875C soc0@55.75C gpu@57.75C tj@57.75C soc1@56.593C VDD_IN 7921mW/7941mW VDD_CPU_GPU_CV 2737mW/2662mW VDD_SOC 1791mW/1784mW
04-18-2026 15:11:44 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.718C soc2@56.843C soc0@55.718C gpu@57.5C tj@57.718C soc1@56.875C VDD_IN 7961mW/7941mW VDD_CPU_GPU_CV 2698mW/2663mW VDD_SOC 1788mW/1784mW
04-18-2026 15:11:44 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,1%@1510,5%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 74% cpu@57.843C soc2@56.906C soc0@55.75C gpu@57.687C tj@57.843C soc1@56.75C VDD_IN 7961mW/7942mW VDD_CPU_GPU_CV 2698mW/2664mW VDD_SOC 1788mW/1784mW
04-18-2026 15:11:45 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,3%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.031C soc2@56.875C soc0@55.75C gpu@57.25C tj@58.031C soc1@56.75C VDD_IN 8001mW/7943mW VDD_CPU_GPU_CV 2698mW/2664mW VDD_SOC 1788mW/1784mW
