04-18-2026 12:12:55 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,0%@729,1%@729,0%@729,68%@729] GR3D_FREQ 76% cpu@58.875C soc2@58.5C soc0@57.281C gpu@59.125C tj@59.125C soc1@58.031C VDD_IN 9047mW/8940mW VDD_CPU_GPU_CV 3441mW/3357mW VDD_SOC 1941mW/1918mW
04-18-2026 12:12:56 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@729,66%@729] GR3D_FREQ 72% cpu@59C soc2@58.562C soc0@57.437C gpu@59.531C tj@59.531C soc1@57.968C VDD_IN 9086mW/8943mW VDD_CPU_GPU_CV 3441mW/3359mW VDD_SOC 1941mW/1918mW
04-18-2026 12:12:56 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@729,70%@729] GR3D_FREQ 78% cpu@58.875C soc2@58.562C soc0@57.437C gpu@59.25C tj@59.25C soc1@57.968C VDD_IN 9086mW/8947mW VDD_CPU_GPU_CV 3441mW/3361mW VDD_SOC 1901mW/1918mW
04-18-2026 12:12:57 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@729,68%@729] GR3D_FREQ 65% cpu@59.031C soc2@58.5C soc0@57.406C gpu@59.218C tj@59.218C soc1@58C VDD_IN 9007mW/8948mW VDD_CPU_GPU_CV 3441mW/3363mW VDD_SOC 1901mW/1918mW
04-18-2026 12:12:57 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@729,67%@729] GR3D_FREQ 75% cpu@58.937C soc2@58.531C soc0@57.406C gpu@59.343C tj@59.343C soc1@58.031C VDD_IN 9086mW/8951mW VDD_CPU_GPU_CV 3441mW/3365mW VDD_SOC 1941mW/1918mW
04-18-2026 12:12:58 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,70%@729] GR3D_FREQ 75% cpu@58.875C soc2@58.593C soc0@57.437C gpu@59.437C tj@59.437C soc1@58C VDD_IN 9047mW/8953mW VDD_CPU_GPU_CV 3441mW/3367mW VDD_SOC 1941mW/1919mW
04-18-2026 12:12:58 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,3%@1510,1%@1510,0%@729,66%@729] GR3D_FREQ 71% cpu@58.937C soc2@58.562C soc0@57.437C gpu@59.687C tj@59.687C soc1@58C VDD_IN 9086mW/8956mW VDD_CPU_GPU_CV 3441mW/3368mW VDD_SOC 1941mW/1919mW
04-18-2026 12:12:59 RAM 3725/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@729,68%@729] GR3D_FREQ 74% cpu@58.937C soc2@58.5C soc0@57.437C gpu@59.218C tj@59.218C soc1@58C VDD_IN 9047mW/8958mW VDD_CPU_GPU_CV 3441mW/3370mW VDD_SOC 1941mW/1920mW
04-18-2026 12:12:59 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,3%@729,0%@729,0%@729,68%@729] GR3D_FREQ 62% cpu@58.906C soc2@58.562C soc0@57.437C gpu@59.312C tj@59.312C soc1@57.937C VDD_IN 9047mW/8960mW VDD_CPU_GPU_CV 3441mW/3371mW VDD_SOC 1941mW/1920mW
04-18-2026 12:13:00 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,68%@729] GR3D_FREQ 78% cpu@59.062C soc2@58.531C soc0@57.375C gpu@59.187C tj@59.187C soc1@58.25C VDD_IN 9047mW/8961mW VDD_CPU_GPU_CV 3441mW/3372mW VDD_SOC 1941mW/1920mW
04-18-2026 12:13:00 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,68%@729] GR3D_FREQ 62% cpu@59.218C soc2@58.5C soc0@57.312C gpu@59.343C tj@59.343C soc1@58.156C VDD_IN 9047mW/8963mW VDD_CPU_GPU_CV 3441mW/3374mW VDD_SOC 1941mW/1921mW
04-18-2026 12:13:01 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@1510,1%@729,0%@729,0%@729,68%@729] GR3D_FREQ 76% cpu@59.156C soc2@58.5C soc0@57.281C gpu@59.375C tj@59.375C soc1@58.25C VDD_IN 9047mW/8965mW VDD_CPU_GPU_CV 3401mW/3374mW VDD_SOC 1941mW/1921mW
04-18-2026 12:13:01 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@729,68%@729] GR3D_FREQ 78% cpu@58.843C soc2@58.5C soc0@57.281C gpu@59.531C tj@59.531C soc1@58.25C VDD_IN 9086mW/8967mW VDD_CPU_GPU_CV 3441mW/3376mW VDD_SOC 1941mW/1922mW
04-18-2026 12:13:02 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,3%@1510,0%@1510,0%@729,68%@729] GR3D_FREQ 76% cpu@59.062C soc2@58.5C soc0@57.343C gpu@59.062C tj@59.062C soc1@58.187C VDD_IN 9047mW/8968mW VDD_CPU_GPU_CV 3441mW/3377mW VDD_SOC 1941mW/1922mW
04-18-2026 12:13:02 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@729,0%@729,68%@729] GR3D_FREQ 76% cpu@59.125C soc2@58.5C soc0@57.375C gpu@59.25C tj@59.25C soc1@58.156C VDD_IN 9047mW/8970mW VDD_CPU_GPU_CV 3441mW/3378mW VDD_SOC 1941mW/1922mW
04-18-2026 12:13:03 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@729,67%@729] GR3D_FREQ 72% cpu@59.25C soc2@58.562C soc0@57.281C gpu@59.375C tj@59.375C soc1@58.125C VDD_IN 9047mW/8971mW VDD_CPU_GPU_CV 3441mW/3379mW VDD_SOC 1941mW/1923mW
04-18-2026 12:13:03 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@729,68%@729] GR3D_FREQ 76% cpu@58.906C soc2@58.5C soc0@57.375C gpu@59.468C tj@59.468C soc1@58.125C VDD_IN 9047mW/8973mW VDD_CPU_GPU_CV 3441mW/3380mW VDD_SOC 1941mW/1923mW
04-18-2026 12:13:04 RAM 3724/7620MB (lfb 66x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@729,0%@729,1%@729,0%@729,68%@729] GR3D_FREQ 67% cpu@59.156C soc2@58.5C soc0@57.375C gpu@59.562C tj@59.562C soc1@58C VDD_IN 9047mW/8974mW VDD_CPU_GPU_CV 3441mW/3381mW VDD_SOC 1941mW/1923mW
