04-18-2026 14:29:11 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,0%@1510,1%@729,1%@729,0%@729,53%@729] GR3D_FREQ 59% cpu@57.156C soc2@56.656C soc0@55.625C gpu@57.593C tj@57.593C soc1@56.375C VDD_IN 8001mW/7916mW VDD_CPU_GPU_CV 2658mW/2565mW VDD_SOC 1828mW/1818mW
04-18-2026 14:29:12 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,0%@729,1%@729,1%@729,0%@729,54%@729] GR3D_FREQ 59% cpu@57.281C soc2@56.625C soc0@55.625C gpu@57.25C tj@57.281C soc1@56.656C VDD_IN 7961mW/7918mW VDD_CPU_GPU_CV 2618mW/2567mW VDD_SOC 1831mW/1818mW
04-18-2026 14:29:12 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,2%@1510,0%@729,0%@729,0%@729,52%@729] GR3D_FREQ 59% cpu@57.093C soc2@56.687C soc0@55.593C gpu@57.593C tj@57.312C soc1@56.593C VDD_IN 8001mW/7921mW VDD_CPU_GPU_CV 2618mW/2568mW VDD_SOC 1828mW/1819mW
04-18-2026 14:29:13 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,0%@729,1%@729,1%@729,1%@729,51%@729] GR3D_FREQ 59% cpu@57.531C soc2@56.625C soc0@55.593C gpu@57.218C tj@57.531C soc1@56.625C VDD_IN 8041mW/7924mW VDD_CPU_GPU_CV 2618mW/2570mW VDD_SOC 1828mW/1819mW
04-18-2026 14:29:13 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,1%@1510,0%@729,0%@729,53%@729,0%@729] GR3D_FREQ 59% cpu@57.031C soc2@56.625C soc0@55.531C gpu@57.25C tj@57.25C soc1@56.531C VDD_IN 8041mW/7928mW VDD_CPU_GPU_CV 2618mW/2571mW VDD_SOC 1828mW/1819mW
04-18-2026 14:29:14 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,1%@1510,1%@729,1%@729,52%@729,0%@729] GR3D_FREQ 59% cpu@57.281C soc2@56.687C soc0@55.531C gpu@57.437C tj@57.437C soc1@56.5C VDD_IN 8041mW/7931mW VDD_CPU_GPU_CV 2618mW/2573mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:14 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,2%@1510,0%@729,1%@729,54%@729,0%@729] GR3D_FREQ 63% cpu@57.406C soc2@56.656C soc0@55.625C gpu@57.5C tj@57.5C soc1@56.468C VDD_IN 8001mW/7933mW VDD_CPU_GPU_CV 2618mW/2574mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:15 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,1%@1510,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 59% cpu@57.343C soc2@56.656C soc0@55.531C gpu@57.281C tj@57.343C soc1@56.5C VDD_IN 8041mW/7936mW VDD_CPU_GPU_CV 2618mW/2575mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:15 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [36%@1183,2%@1189,1%@729,0%@729,17%@729,0%@729] GR3D_FREQ 74% cpu@57.281C soc2@56.687C soc0@55.531C gpu@57.5C tj@57.5C soc1@56.437C VDD_IN 8001mW/7938mW VDD_CPU_GPU_CV 2618mW/2576mW VDD_SOC 1831mW/1820mW
04-18-2026 14:29:16 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [55%@1510,0%@1510,2%@729,1%@729,0%@729,0%@729] GR3D_FREQ 88% cpu@57.281C soc2@56.843C soc0@55.531C gpu@57.718C tj@57.718C soc1@56.5C VDD_IN 7961mW/7938mW VDD_CPU_GPU_CV 2618mW/2577mW VDD_SOC 1831mW/1821mW
04-18-2026 14:29:16 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,52%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@57.375C soc2@56.781C soc0@55.531C gpu@57.218C tj@57.375C soc1@56.468C VDD_IN 7961mW/7939mW VDD_CPU_GPU_CV 2618mW/2578mW VDD_SOC 1831mW/1821mW
04-18-2026 14:29:17 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,19%@1510,3%@1510,0%@1510,34%@729,0%@729] GR3D_FREQ 58% cpu@57.25C soc2@56.625C soc0@55.781C gpu@57.187C tj@57.25C soc1@56.5C VDD_IN 7961mW/7940mW VDD_CPU_GPU_CV 2618mW/2579mW VDD_SOC 1831mW/1821mW
04-18-2026 14:29:17 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,3%@1510,1%@1510,51%@729,0%@729] GR3D_FREQ 60% cpu@57.281C soc2@56.687C soc0@55.687C gpu@57.156C tj@57.281C soc1@56.406C VDD_IN 7961mW/7940mW VDD_CPU_GPU_CV 2618mW/2580mW VDD_SOC 1831mW/1821mW
04-18-2026 14:29:18 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,56%@729,1%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.718C soc0@55.593C gpu@57.187C tj@57.187C soc1@56.437C VDD_IN 7961mW/7941mW VDD_CPU_GPU_CV 2579mW/2580mW VDD_SOC 1791mW/1821mW
04-18-2026 14:29:18 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,52%@729,0%@729] GR3D_FREQ 59% cpu@57.218C soc2@56.718C soc0@55.656C gpu@57.5C tj@57.5C soc1@56.343C VDD_IN 8001mW/7942mW VDD_CPU_GPU_CV 2618mW/2581mW VDD_SOC 1791mW/1820mW
04-18-2026 14:29:19 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,1%@1510,0%@729,0%@729,52%@729,0%@729] GR3D_FREQ 58% cpu@57.593C soc2@56.656C soc0@55.656C gpu@57.281C tj@57.593C soc1@56.593C VDD_IN 8001mW/7943mW VDD_CPU_GPU_CV 2618mW/2582mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:19 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [3%@1510,1%@729,0%@729,2%@729,6%@729,46%@729] GR3D_FREQ 72% cpu@57.218C soc2@56.656C soc0@55.531C gpu@57.281C tj@57.281C soc1@56.656C VDD_IN 8001mW/7945mW VDD_CPU_GPU_CV 2618mW/2583mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:20 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,3%@729,1%@729,1%@729,55%@729] GR3D_FREQ 64% cpu@57.281C soc2@56.687C soc0@55.531C gpu@57.562C tj@57.562C soc1@56.562C VDD_IN 8001mW/7946mW VDD_CPU_GPU_CV 2618mW/2584mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:20 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 71% cpu@57.406C soc2@56.687C soc0@55.531C gpu@57.343C tj@57.406C soc1@56.531C VDD_IN 8001mW/7947mW VDD_CPU_GPU_CV 2618mW/2584mW VDD_SOC 1828mW/1820mW
04-18-2026 14:29:21 RAM 5871/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@914,3%@729,1%@729,1%@729,54%@729] GR3D_FREQ 69% cpu@57.625C soc2@56.718C soc0@55.5C gpu@57.218C tj@57.625C soc1@56.562C VDD_IN 8041mW/7949mW VDD_CPU_GPU_CV 2618mW/2585mW VDD_SOC 1828mW/1821mW
04-18-2026 14:29:21 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [7%@1510,0%@1510,1%@1510,3%@729,15%@729,37%@729] GR3D_FREQ 63% cpu@57.187C soc2@56.656C soc0@55.531C gpu@57.406C tj@57.406C soc1@56.531C VDD_IN 8001mW/7950mW VDD_CPU_GPU_CV 2618mW/2586mW VDD_SOC 1828mW/1821mW
04-18-2026 14:29:22 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 79% cpu@57.343C soc2@56.718C soc0@55.593C gpu@57.531C tj@57.531C soc1@56.562C VDD_IN 8001mW/7951mW VDD_CPU_GPU_CV 2658mW/2587mW VDD_SOC 1831mW/1821mW
