04-18-2026 17:39:27 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,3%@1510,5%@1510,1%@1510,100%@1510] GR3D_FREQ 64% cpu@59.437C soc2@58.406C soc0@57.156C gpu@59.343C tj@59.343C soc1@57.875C VDD_IN 8967mW/8916mW VDD_CPU_GPU_CV 3401mW/3325mW VDD_SOC 1901mW/1920mW
04-18-2026 17:39:27 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59C soc2@58.406C soc0@57.125C gpu@59.031C tj@59.031C soc1@57.906C VDD_IN 9047mW/8920mW VDD_CPU_GPU_CV 3441mW/3330mW VDD_SOC 1941mW/1921mW
04-18-2026 17:39:28 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@59.031C soc2@58.375C soc0@57.156C gpu@59.093C tj@59.093C soc1@57.875C VDD_IN 9086mW/8926mW VDD_CPU_GPU_CV 3480mW/3335mW VDD_SOC 1941mW/1922mW
04-18-2026 17:39:28 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 57% cpu@59.343C soc2@58.375C soc0@57.156C gpu@59.187C tj@59.187C soc1@58.093C VDD_IN 9047mW/8930mW VDD_CPU_GPU_CV 3441mW/3339mW VDD_SOC 1941mW/1922mW
04-18-2026 17:39:29 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.406C soc2@58.343C soc0@57.156C gpu@59.187C tj@59.406C soc1@58.187C VDD_IN 8967mW/8932mW VDD_CPU_GPU_CV 3361mW/3339mW VDD_SOC 1904mW/1922mW
04-18-2026 17:39:29 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@58.968C soc2@58.343C soc0@57.062C gpu@58.968C tj@58.968C soc1@58.093C VDD_IN 9047mW/8935mW VDD_CPU_GPU_CV 3361mW/3340mW VDD_SOC 1941mW/1922mW
04-18-2026 17:39:30 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,3%@1510,100%@1510] GR3D_FREQ 59% cpu@59.218C soc2@58.406C soc0@57.093C gpu@59.343C tj@59.218C soc1@58.062C VDD_IN 9047mW/8939mW VDD_CPU_GPU_CV 3441mW/3343mW VDD_SOC 1941mW/1923mW
04-18-2026 17:39:30 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.343C soc2@58.312C soc0@57.125C gpu@59.156C tj@59.343C soc1@58.062C VDD_IN 9047mW/8942mW VDD_CPU_GPU_CV 3401mW/3345mW VDD_SOC 1941mW/1923mW
04-18-2026 17:39:31 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@729,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@59.437C soc2@58.343C soc0@57.187C gpu@59.031C tj@59.437C soc1@58.125C VDD_IN 9007mW/8944mW VDD_CPU_GPU_CV 3401mW/3347mW VDD_SOC 1941mW/1924mW
04-18-2026 17:39:31 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.218C soc2@58.375C soc0@57.093C gpu@59.062C tj@59.062C soc1@58.062C VDD_IN 8928mW/8944mW VDD_CPU_GPU_CV 3401mW/3348mW VDD_SOC 1944mW/1924mW
04-18-2026 17:39:32 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.218C soc2@58.375C soc0@57.156C gpu@59.156C tj@59.218C soc1@57.968C VDD_IN 9047mW/8946mW VDD_CPU_GPU_CV 3441mW/3351mW VDD_SOC 1941mW/1925mW
04-18-2026 17:39:32 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@914,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.281C soc2@58.5C soc0@57.125C gpu@59.375C tj@59.375C soc1@58.031C VDD_IN 9047mW/8949mW VDD_CPU_GPU_CV 3435mW/3353mW VDD_SOC 1941mW/1925mW
04-18-2026 17:39:33 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.218C soc2@58.406C soc0@57.125C gpu@58.968C tj@59.531C soc1@57.968C VDD_IN 9086mW/8953mW VDD_CPU_GPU_CV 3441mW/3355mW VDD_SOC 1941mW/1926mW
