04-18-2026 17:37:20 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.156C soc2@58.375C soc0@57.25C gpu@58.968C tj@59.156C soc1@57.937C VDD_IN 9086mW/8955mW VDD_CPU_GPU_CV 3441mW/3362mW VDD_SOC 1941mW/1923mW
04-18-2026 17:37:20 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 64% cpu@59.062C soc2@58.343C soc0@57.187C gpu@59C tj@59.062C soc1@57.937C VDD_IN 9086mW/8959mW VDD_CPU_GPU_CV 3441mW/3364mW VDD_SOC 1941mW/1923mW
04-18-2026 17:37:21 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [7%@1510,1%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.031C soc2@58.375C soc0@57.187C gpu@59.031C tj@59.031C soc1@57.937C VDD_IN 9047mW/8962mW VDD_CPU_GPU_CV 3401mW/3365mW VDD_SOC 1901mW/1923mW
04-18-2026 17:37:21 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 72% cpu@59.093C soc2@58.406C soc0@57.125C gpu@59.25C tj@59.25C soc1@57.937C VDD_IN 8967mW/8962mW VDD_CPU_GPU_CV 3401mW/3366mW VDD_SOC 1901mW/1922mW
04-18-2026 17:37:22 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.406C soc2@58.375C soc0@57.156C gpu@59.031C tj@59.406C soc1@58.156C VDD_IN 9047mW/8964mW VDD_CPU_GPU_CV 3441mW/3368mW VDD_SOC 1941mW/1922mW
04-18-2026 17:37:22 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59C soc2@58.312C soc0@57.093C gpu@59.187C tj@59.187C soc1@58.093C VDD_IN 9086mW/8967mW VDD_CPU_GPU_CV 3480mW/3371mW VDD_SOC 1941mW/1923mW
04-18-2026 17:37:23 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.25C soc2@58.343C soc0@57.125C gpu@59.281C tj@59.281C soc1@58C VDD_IN 9047mW/8969mW VDD_CPU_GPU_CV 3441mW/3373mW VDD_SOC 1901mW/1922mW
04-18-2026 17:37:23 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.281C soc2@58.312C soc0@57C gpu@59.187C tj@59.281C soc1@58.031C VDD_IN 9007mW/8970mW VDD_CPU_GPU_CV 3361mW/3373mW VDD_SOC 1901mW/1922mW
04-18-2026 17:37:24 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [5%@1510,0%@1510,0%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 61% cpu@59.187C soc2@58.468C soc0@57.093C gpu@59.406C tj@59.406C soc1@58C VDD_IN 9047mW/8972mW VDD_CPU_GPU_CV 3441mW/3375mW VDD_SOC 1941mW/1922mW
04-18-2026 17:37:24 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.218C soc2@58.468C soc0@57.125C gpu@58.968C tj@59.218C soc1@57.906C VDD_IN 9086mW/8975mW VDD_CPU_GPU_CV 3441mW/3376mW VDD_SOC 1941mW/1923mW
04-18-2026 17:37:25 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59C soc2@58.437C soc0@57.375C gpu@59.312C tj@59.312C soc1@57.843C VDD_IN 9047mW/8977mW VDD_CPU_GPU_CV 3441mW/3378mW VDD_SOC 1941mW/1923mW
04-18-2026 17:37:25 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1509,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.062C soc2@58.437C soc0@57.25C gpu@58.968C tj@59.062C soc1@57.937C VDD_IN 8967mW/8976mW VDD_CPU_GPU_CV 3401mW/3378mW VDD_SOC 1904mW/1923mW
04-18-2026 17:37:26 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@59.125C soc2@58.375C soc0@57.25C gpu@59.031C tj@59.125C soc1@57.937C VDD_IN 9007mW/8977mW VDD_CPU_GPU_CV 3401mW/3379mW VDD_SOC 1941mW/1923mW
04-18-2026 17:37:26 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 64% cpu@59.062C soc2@58.375C soc0@57.156C gpu@59.031C tj@59.062C soc1@57.937C VDD_IN 9086mW/8980mW VDD_CPU_GPU_CV 3480mW/3381mW VDD_SOC 1941mW/1923mW
