04-18-2026 17:38:09 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@883,0%@883,1%@883,1%@883,0%@1510,82%@1510] GR3D_FREQ 99% cpu@59.031C soc2@57.937C soc0@56.906C gpu@58.281C tj@59.031C soc1@57.625C VDD_IN 7028mW/7028mW VDD_CPU_GPU_CV 1950mW/1950mW VDD_SOC 1754mW/1754mW
04-18-2026 17:38:17 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.093C soc2@58.343C soc0@57.187C gpu@59.125C tj@59.125C soc1@57.937C VDD_IN 9007mW/8851mW VDD_CPU_GPU_CV 3401mW/3278mW VDD_SOC 1901mW/1911mW
04-18-2026 17:38:18 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.937C soc2@58.343C soc0@57.25C gpu@58.968C tj@58.968C soc1@57.812C VDD_IN 9047mW/8862mW VDD_CPU_GPU_CV 3441mW/3287mW VDD_SOC 1941mW/1913mW
04-18-2026 17:38:18 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59C soc2@58.312C soc0@57.25C gpu@59.156C tj@59.156C soc1@57.843C VDD_IN 9086mW/8874mW VDD_CPU_GPU_CV 3480mW/3297mW VDD_SOC 1941mW/1914mW
04-18-2026 17:38:19 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@59.062C soc2@58.437C soc0@57.25C gpu@59.187C tj@59.187C soc1@57.875C VDD_IN 9086mW/8884mW VDD_CPU_GPU_CV 3441mW/3305mW VDD_SOC 1941mW/1916mW
04-18-2026 17:38:19 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [5%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@58.906C soc2@58.437C soc0@57.125C gpu@58.937C tj@58.937C soc1@57.906C VDD_IN 9047mW/8892mW VDD_CPU_GPU_CV 3401mW/3309mW VDD_SOC 1941mW/1917mW
04-18-2026 17:38:20 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@59C soc2@58.375C soc0@57.125C gpu@58.937C tj@59C soc1@57.812C VDD_IN 9047mW/8899mW VDD_CPU_GPU_CV 3401mW/3313mW VDD_SOC 1941mW/1918mW
04-18-2026 17:38:20 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.093C soc2@58.375C soc0@57.218C gpu@59.093C tj@59.093C soc1@57.875C VDD_IN 9166mW/8911mW VDD_CPU_GPU_CV 3441mW/3319mW VDD_SOC 1941mW/1919mW
04-18-2026 17:38:21 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.437C soc2@58.343C soc0@57.125C gpu@59.062C tj@59.437C soc1@57.875C VDD_IN 9047mW/8916mW VDD_CPU_GPU_CV 3441mW/3324mW VDD_SOC 1941mW/1920mW
04-18-2026 17:38:21 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,5%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 67% cpu@59C soc2@58.343C soc0@57.031C gpu@59.375C tj@59.375C soc1@58.031C VDD_IN 9047mW/8922mW VDD_CPU_GPU_CV 3401mW/3327mW VDD_SOC 1941mW/1921mW
04-18-2026 17:38:22 RAM 5734/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.093C soc2@58.375C soc0@57.093C gpu@58.968C tj@59.093C soc1@58C VDD_IN 9086mW/8928mW VDD_CPU_GPU_CV 3401mW/3330mW VDD_SOC 1901mW/1920mW
04-18-2026 17:38:22 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 65% cpu@59.281C soc2@58.406C soc0@57.093C gpu@59.375C tj@59.281C soc1@58.031C VDD_IN 9086mW/8934mW VDD_CPU_GPU_CV 3441mW/3334mW VDD_SOC 1941mW/1921mW
04-18-2026 17:38:23 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@59.437C soc2@58.312C soc0@57.093C gpu@59C tj@59.437C soc1@57.937C VDD_IN 9126mW/8941mW VDD_CPU_GPU_CV 3480mW/3339mW VDD_SOC 1941mW/1921mW
04-18-2026 17:38:23 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [5%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.093C soc2@58.343C soc0@57.093C gpu@59C tj@59.093C soc1@57.968C VDD_IN 9086mW/8946mW VDD_CPU_GPU_CV 3441mW/3343mW VDD_SOC 1941mW/1922mW
04-18-2026 17:38:24 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 59% cpu@59.25C soc2@58.406C soc0@57.031C gpu@59.156C tj@59.25C soc1@57.968C VDD_IN 9007mW/8948mW VDD_CPU_GPU_CV 3401mW/3345mW VDD_SOC 1901mW/1921mW
04-18-2026 17:38:24 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.312C soc2@58.375C soc0@57.125C gpu@59C tj@59.312C soc1@57.937C VDD_IN 8967mW/8948mW VDD_CPU_GPU_CV 3401mW/3346mW VDD_SOC 1901mW/1921mW
04-18-2026 17:38:25 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.218C soc2@58.437C soc0@57.125C gpu@59.125C tj@59.218C soc1@58.031C VDD_IN 9126mW/8954mW VDD_CPU_GPU_CV 3441mW/3349mW VDD_SOC 1941mW/1921mW
04-18-2026 17:38:25 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.156C soc2@58.437C soc0@57.031C gpu@59.312C tj@59.312C soc1@57.937C VDD_IN 9047mW/8957mW VDD_CPU_GPU_CV 3441mW/3352mW VDD_SOC 1941mW/1922mW
04-18-2026 17:38:26 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,2%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@59.218C soc2@58.468C soc0@57.062C gpu@59.468C tj@59.468C soc1@57.937C VDD_IN 9007mW/8958mW VDD_CPU_GPU_CV 3401mW/3353mW VDD_SOC 1941mW/1922mW
04-18-2026 17:38:26 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 64% cpu@59.093C soc2@58.468C soc0@57.312C gpu@59.031C tj@59.093C soc1@57.937C VDD_IN 8967mW/8958mW VDD_CPU_GPU_CV 3401mW/3355mW VDD_SOC 1901mW/1922mW
04-18-2026 17:38:27 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,5%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.031C soc2@58.468C soc0@57.312C gpu@59.093C tj@59.093C soc1@57.875C VDD_IN 9086mW/8962mW VDD_CPU_GPU_CV 3441mW/3357mW VDD_SOC 1941mW/1922mW
04-18-2026 17:38:27 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59C soc2@58.375C soc0@57.281C gpu@58.968C tj@59.218C soc1@57.937C VDD_IN 9086mW/8965mW VDD_CPU_GPU_CV 3441mW/3359mW VDD_SOC 1941mW/1923mW
04-18-2026 17:38:28 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,2%@1510,0%@1510,1%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59.093C soc2@58.437C soc0@57.156C gpu@59.093C tj@59.093C soc1@57.906C VDD_IN 9047mW/8967mW VDD_CPU_GPU_CV 3441mW/3362mW VDD_SOC 1941mW/1923mW
04-18-2026 17:38:28 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.406C soc2@58.375C soc0@57.187C gpu@59.125C tj@59.406C soc1@57.906C VDD_IN 8967mW/8967mW VDD_CPU_GPU_CV 3361mW/3362mW VDD_SOC 1944mW/1924mW
04-18-2026 17:38:29 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59.093C soc2@58.406C soc0@57.187C gpu@59.375C tj@59.375C soc1@57.875C VDD_IN 9047mW/8969mW VDD_CPU_GPU_CV 3401mW/3363mW VDD_SOC 1941mW/1924mW
04-18-2026 17:38:29 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59C soc2@58.437C soc0@57.187C gpu@59C tj@59C soc1@57.875C VDD_IN 9126mW/8973mW VDD_CPU_GPU_CV 3480mW/3365mW VDD_SOC 1941mW/1925mW
04-18-2026 17:38:30 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.437C soc2@58.5C soc0@57.218C gpu@59.093C tj@59.437C soc1@58.218C VDD_IN 9086mW/8976mW VDD_CPU_GPU_CV 3480mW/3368mW VDD_SOC 1941mW/1925mW
04-18-2026 17:38:30 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,0%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59.531C soc2@58.468C soc0@57.187C gpu@59.125C tj@59.531C soc1@58.062C VDD_IN 9007mW/8976mW VDD_CPU_GPU_CV 3401mW/3369mW VDD_SOC 1941mW/1925mW
04-18-2026 17:38:31 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@59.062C soc2@58.343C soc0@57.125C gpu@59.031C tj@59.062C soc1@58.062C VDD_IN 9047mW/8978mW VDD_CPU_GPU_CV 3401mW/3370mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:31 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@59.343C soc2@58.343C soc0@57.156C gpu@59.125C tj@59.343C soc1@57.968C VDD_IN 9086mW/8980mW VDD_CPU_GPU_CV 3480mW/3372mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:32 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@59.437C soc2@58.406C soc0@57.218C gpu@59.375C tj@59.437C soc1@58.062C VDD_IN 9047mW/8982mW VDD_CPU_GPU_CV 3435mW/3373mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:32 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.5C soc2@58.375C soc0@57.093C gpu@59.468C tj@59.5C soc1@58.031C VDD_IN 9007mW/8982mW VDD_CPU_GPU_CV 3441mW/3375mW VDD_SOC 1901mW/1926mW
04-18-2026 17:38:33 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 72% cpu@59.218C soc2@58.406C soc0@57.093C gpu@59.062C tj@59.218C soc1@58.062C VDD_IN 9007mW/8983mW VDD_CPU_GPU_CV 3441mW/3376mW VDD_SOC 1901mW/1925mW
04-18-2026 17:38:34 RAM 5735/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,0%@729,3%@1510,100%@1510] GR3D_FREQ 72% cpu@59.218C soc2@58.5C soc0@57.187C gpu@59.218C tj@59.218C soc1@58.031C VDD_IN 9086mW/8985mW VDD_CPU_GPU_CV 3480mW/3378mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:34 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@729,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@59.218C soc2@58.562C soc0@57.156C gpu@59.062C tj@59.218C soc1@58.031C VDD_IN 9086mW/8987mW VDD_CPU_GPU_CV 3480mW/3380mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:35 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.218C soc2@58.5C soc0@57.093C gpu@59.093C tj@59.218C soc1@57.937C VDD_IN 9126mW/8990mW VDD_CPU_GPU_CV 3441mW/3381mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:35 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@59.218C soc2@58.562C soc0@57.406C gpu@59.218C tj@59.218C soc1@57.937C VDD_IN 8967mW/8989mW VDD_CPU_GPU_CV 3401mW/3382mW VDD_SOC 1901mW/1926mW
04-18-2026 17:38:36 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.093C soc2@58.375C soc0@57.312C gpu@59.468C tj@59.468C soc1@58.062C VDD_IN 8928mW/8988mW VDD_CPU_GPU_CV 3361mW/3381mW VDD_SOC 1944mW/1926mW
04-18-2026 17:38:36 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,0%@1510,1%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59.187C soc2@58.5C soc0@57.218C gpu@59.093C tj@59.187C soc1@57.937C VDD_IN 9047mW/8989mW VDD_CPU_GPU_CV 3441mW/3383mW VDD_SOC 1941mW/1926mW
04-18-2026 17:38:37 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.093C soc2@58.406C soc0@57.281C gpu@59.406C tj@59.406C soc1@58C VDD_IN 9047mW/8990mW VDD_CPU_GPU_CV 3441mW/3384mW VDD_SOC 1941mW/1927mW
04-18-2026 17:38:37 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 65% cpu@59.093C soc2@58.437C soc0@57.25C gpu@59.125C tj@59.125C soc1@58.156C VDD_IN 9047mW/8991mW VDD_CPU_GPU_CV 3401mW/3384mW VDD_SOC 1941mW/1927mW
04-18-2026 17:38:38 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@59.156C soc2@58.5C soc0@57.25C gpu@59.156C tj@59.156C soc1@58.156C VDD_IN 8967mW/8991mW VDD_CPU_GPU_CV 3401mW/3384mW VDD_SOC 1904mW/1926mW
04-18-2026 17:38:38 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 50% cpu@59.406C soc2@58.5C soc0@57.218C gpu@59.156C tj@59.406C soc1@58.218C VDD_IN 9047mW/8992mW VDD_CPU_GPU_CV 3441mW/3385mW VDD_SOC 1941mW/1927mW
04-18-2026 17:38:39 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.218C soc2@58.5C soc0@57.218C gpu@59.375C tj@59.375C soc1@58.062C VDD_IN 9086mW/8993mW VDD_CPU_GPU_CV 3435mW/3386mW VDD_SOC 1941mW/1927mW
04-18-2026 17:38:39 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.125C soc2@58.562C soc0@57.187C gpu@59.406C tj@59.406C soc1@58.125C VDD_IN 9047mW/8994mW VDD_CPU_GPU_CV 3441mW/3387mW VDD_SOC 1941mW/1927mW
04-18-2026 17:38:40 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,0%@729,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 74% cpu@59.343C soc2@58.5C soc0@57.187C gpu@59.031C tj@59.343C soc1@58.093C VDD_IN 8967mW/8994mW VDD_CPU_GPU_CV 3361mW/3386mW VDD_SOC 1941mW/1927mW
04-18-2026 17:38:40 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.468C soc2@58.5C soc0@57.187C gpu@59.5C tj@59.5C soc1@58.187C VDD_IN 9047mW/8995mW VDD_CPU_GPU_CV 3401mW/3387mW VDD_SOC 1941mW/1928mW
04-18-2026 17:38:41 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@729,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@59.343C soc2@58.406C soc0@57.218C gpu@59.031C tj@59.125C soc1@58.093C VDD_IN 9047mW/8995mW VDD_CPU_GPU_CV 3480mW/3388mW VDD_SOC 1941mW/1928mW
04-18-2026 17:38:41 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@59.312C soc2@58.406C soc0@57.156C gpu@59.156C tj@59.312C soc1@58.125C VDD_IN 9086mW/8997mW VDD_CPU_GPU_CV 3480mW/3390mW VDD_SOC 1941mW/1928mW
04-18-2026 17:38:42 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,5%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.375C soc2@58.5C soc0@57.156C gpu@59.25C tj@59.375C soc1@58.062C VDD_IN 9007mW/8997mW VDD_CPU_GPU_CV 3361mW/3389mW VDD_SOC 1941mW/1928mW
