04-18-2026 18:13:07 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,5%@1510,3%@1064,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@59.625C soc2@58.781C soc0@57.531C gpu@59.687C tj@59.687C soc1@58.312C VDD_IN 9666mW/9594mW VDD_CPU_GPU_CV 3711mW/3641mW VDD_SOC 2056mW/2058mW
04-18-2026 18:13:08 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@729,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@59.656C soc2@58.781C soc0@57.531C gpu@60C tj@60C soc1@58.375C VDD_IN 9666mW/9596mW VDD_CPU_GPU_CV 3632mW/3641mW VDD_SOC 2056mW/2058mW
04-18-2026 18:13:08 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.812C soc2@58.843C soc0@57.5C gpu@59.812C tj@59.812C soc1@58.437C VDD_IN 9705mW/9599mW VDD_CPU_GPU_CV 3672mW/3642mW VDD_SOC 2096mW/2059mW
04-18-2026 18:13:09 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.593C soc2@58.968C soc0@57.5C gpu@59.937C tj@59.937C soc1@58.343C VDD_IN 9666mW/9600mW VDD_CPU_GPU_CV 3672mW/3643mW VDD_SOC 2056mW/2059mW
04-18-2026 18:13:09 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,1%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@59.625C soc2@58.906C soc0@57.468C gpu@59.5C tj@59.625C soc1@58.437C VDD_IN 9666mW/9602mW VDD_CPU_GPU_CV 3711mW/3644mW VDD_SOC 2056mW/2059mW
04-18-2026 18:13:10 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,3%@932,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.843C soc2@58.906C soc0@57.562C gpu@59.468C tj@59.843C soc1@58.281C VDD_IN 9626mW/9603mW VDD_CPU_GPU_CV 3672mW/3645mW VDD_SOC 2056mW/2059mW
04-18-2026 18:13:10 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [2%@1510,3%@1510,0%@1510,6%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.531C soc2@59C soc0@57.531C gpu@59.781C tj@59.781C soc1@58.437C VDD_IN 9626mW/9603mW VDD_CPU_GPU_CV 3711mW/3646mW VDD_SOC 2056mW/2059mW
04-18-2026 18:13:11 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 83% cpu@59.687C soc2@58.968C soc0@57.75C gpu@59.906C tj@59.906C soc1@58.312C VDD_IN 9666mW/9604mW VDD_CPU_GPU_CV 3705mW/3648mW VDD_SOC 2096mW/2059mW
04-18-2026 18:13:11 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.5C soc2@58.968C soc0@57.718C gpu@59.531C tj@59.531C soc1@58.375C VDD_IN 9666mW/9606mW VDD_CPU_GPU_CV 3666mW/3648mW VDD_SOC 2056mW/2059mW
04-18-2026 18:13:12 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.531C soc2@58.968C soc0@57.75C gpu@59.875C tj@59.875C soc1@58.25C VDD_IN 9705mW/9608mW VDD_CPU_GPU_CV 3711mW/3649mW VDD_SOC 2096mW/2060mW
04-18-2026 18:13:12 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,1%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@59.625C soc2@58.968C soc0@57.781C gpu@59.5C tj@59.625C soc1@58.25C VDD_IN 9705mW/9610mW VDD_CPU_GPU_CV 3672mW/3650mW VDD_SOC 2056mW/2060mW
04-18-2026 18:13:13 RAM 5475/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@947,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 79% cpu@59.531C soc2@58.906C soc0@57.718C gpu@59.562C tj@59.562C soc1@58.281C VDD_IN 9666mW/9611mW VDD_CPU_GPU_CV 3672mW/3650mW VDD_SOC 2056mW/2060mW
04-18-2026 18:13:13 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 59% cpu@59.5C soc2@58.906C soc0@57.687C gpu@59.718C tj@59.718C soc1@58.312C VDD_IN 9626mW/9611mW VDD_CPU_GPU_CV 3672mW/3651mW VDD_SOC 2056mW/2060mW
04-18-2026 18:13:14 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.687C soc2@59C soc0@57.625C gpu@59.687C tj@59.687C soc1@58.343C VDD_IN 9587mW/9611mW VDD_CPU_GPU_CV 3672mW/3651mW VDD_SOC 2056mW/2060mW
04-18-2026 18:13:14 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 48% cpu@59.531C soc2@58.937C soc0@57.781C gpu@60.062C tj@60.062C soc1@58.281C VDD_IN 9626mW/9611mW VDD_CPU_GPU_CV 3711mW/3652mW VDD_SOC 2096mW/2060mW
04-18-2026 18:13:15 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.562C soc2@58.968C soc0@57.687C gpu@59.468C tj@59.562C soc1@58.375C VDD_IN 9666mW/9612mW VDD_CPU_GPU_CV 3711mW/3653mW VDD_SOC 2056mW/2060mW
04-18-2026 18:13:15 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@926,1%@729,0%@1510,100%@1510] GR3D_FREQ 73% cpu@59.531C soc2@58.968C soc0@57.687C gpu@59.562C tj@59.562C soc1@58.593C VDD_IN 9705mW/9614mW VDD_CPU_GPU_CV 3672mW/3653mW VDD_SOC 2056mW/2060mW
