04-18-2026 18:10:54 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,2%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 91% cpu@58.437C soc2@57.781C soc0@56.531C gpu@58.5C tj@58.5C soc1@57.25C VDD_IN 9626mW/9565mW VDD_CPU_GPU_CV 3672mW/3625mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:55 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@870,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@58.437C soc2@57.843C soc0@56.625C gpu@58.531C tj@58.531C soc1@57.312C VDD_IN 9626mW/9567mW VDD_CPU_GPU_CV 3672mW/3627mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:55 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@58.781C soc2@57.875C soc0@56.593C gpu@58.625C tj@58.625C soc1@57.25C VDD_IN 9626mW/9568mW VDD_CPU_GPU_CV 3672mW/3628mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:56 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,0%@1070,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@58.312C soc2@57.843C soc0@56.656C gpu@58.875C tj@58.875C soc1@57.312C VDD_IN 9587mW/9569mW VDD_CPU_GPU_CV 3672mW/3629mW VDD_SOC 2056mW/2049mW
04-18-2026 18:10:56 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,7%@915,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@58.375C soc2@57.843C soc0@56.593C gpu@58.468C tj@58.468C soc1@57.343C VDD_IN 9705mW/9573mW VDD_CPU_GPU_CV 3711mW/3631mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:57 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@58.437C soc2@57.843C soc0@56.625C gpu@58.593C tj@58.593C soc1@57.562C VDD_IN 9666mW/9575mW VDD_CPU_GPU_CV 3711mW/3633mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:57 RAM 5469/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 50% cpu@58.906C soc2@57.968C soc0@56.625C gpu@58.531C tj@58.906C soc1@57.562C VDD_IN 9666mW/9577mW VDD_CPU_GPU_CV 3711mW/3635mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:58 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@58.5C soc2@57.875C soc0@56.656C gpu@58.656C tj@58.656C soc1@57.593C VDD_IN 9705mW/9581mW VDD_CPU_GPU_CV 3672mW/3636mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:58 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [2%@1510,1%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 88% cpu@58.75C soc2@57.906C soc0@56.593C gpu@58.687C tj@58.687C soc1@57.531C VDD_IN 9626mW/9582mW VDD_CPU_GPU_CV 3711mW/3638mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:59 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@58.875C soc2@57.937C soc0@56.593C gpu@58.781C tj@58.875C soc1@57.531C VDD_IN 9587mW/9582mW VDD_CPU_GPU_CV 3672mW/3639mW VDD_SOC 2056mW/2050mW
04-18-2026 18:10:59 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.031C soc2@57.906C soc0@56.625C gpu@59.031C tj@59.031C soc1@57.5C VDD_IN 9587mW/9582mW VDD_CPU_GPU_CV 3672mW/3640mW VDD_SOC 2056mW/2050mW
04-18-2026 18:11:00 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@58.75C soc2@57.937C soc0@56.625C gpu@58.687C tj@58.75C soc1@57.562C VDD_IN 9666mW/9584mW VDD_CPU_GPU_CV 3672mW/3640mW VDD_SOC 2056mW/2050mW
04-18-2026 18:11:00 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@58.75C soc2@57.968C soc0@56.718C gpu@58.593C tj@58.75C soc1@57.468C VDD_IN 9666mW/9586mW VDD_CPU_GPU_CV 3632mW/3640mW VDD_SOC 2056mW/2051mW
04-18-2026 18:11:01 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@58.843C soc2@58C soc0@56.625C gpu@58.687C tj@58.843C soc1@57.5C VDD_IN 9626mW/9586mW VDD_CPU_GPU_CV 3672mW/3641mW VDD_SOC 2056mW/2051mW
04-18-2026 18:11:01 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@58.593C soc2@58.031C soc0@56.625C gpu@58.906C tj@58.906C soc1@57.5C VDD_IN 9745mW/9590mW VDD_CPU_GPU_CV 3751mW/3643mW VDD_SOC 2096mW/2052mW
04-18-2026 18:11:02 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 88% cpu@58.75C soc2@58.093C soc0@56.656C gpu@58.812C tj@58.812C soc1@57.468C VDD_IN 9666mW/9591mW VDD_CPU_GPU_CV 3711mW/3645mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:02 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@58.75C soc2@58.031C soc0@56.937C gpu@59C tj@59C soc1@57.468C VDD_IN 9626mW/9592mW VDD_CPU_GPU_CV 3672mW/3645mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:03 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@58.562C soc2@58C soc0@56.625C gpu@58.75C tj@58.75C soc1@57.531C VDD_IN 9666mW/9594mW VDD_CPU_GPU_CV 3711mW/3646mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:03 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@58.718C soc2@58.093C soc0@56.75C gpu@58.781C tj@58.781C soc1@57.468C VDD_IN 9705mW/9596mW VDD_CPU_GPU_CV 3672mW/3647mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:04 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@58.687C soc2@58C soc0@56.968C gpu@58.75C tj@58.75C soc1@57.468C VDD_IN 9626mW/9596mW VDD_CPU_GPU_CV 3672mW/3647mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:04 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@58.656C soc2@58.031C soc0@56.906C gpu@58.968C tj@58.968C soc1@57.468C VDD_IN 9626mW/9597mW VDD_CPU_GPU_CV 3632mW/3647mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:05 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 49% cpu@58.718C soc2@58.125C soc0@56.906C gpu@58.812C tj@58.812C soc1@57.531C VDD_IN 9587mW/9597mW VDD_CPU_GPU_CV 3672mW/3648mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:05 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@58.656C soc2@58.062C soc0@56.843C gpu@58.968C tj@58.968C soc1@57.468C VDD_IN 9705mW/9599mW VDD_CPU_GPU_CV 3711mW/3649mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:06 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,1%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@58.625C soc2@58.093C soc0@56.843C gpu@59.062C tj@59.062C soc1@57.468C VDD_IN 9666mW/9600mW VDD_CPU_GPU_CV 3711mW/3650mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:06 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 52% cpu@58.75C soc2@58.093C soc0@56.781C gpu@58.781C tj@58.781C soc1@57.75C VDD_IN 9666mW/9601mW VDD_CPU_GPU_CV 3711mW/3651mW VDD_SOC 2056mW/2052mW
04-18-2026 18:11:07 RAM 5470/7620MB (lfb 9x4MB) SWAP 3285/3810MB (cached 18MB) CPU [3%@1510,3%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 65% cpu@59.031C soc2@58C soc0@56.781C gpu@58.906C tj@59.031C soc1@57.718C VDD_IN 9705mW/9603mW VDD_CPU_GPU_CV 3711mW/3652mW VDD_SOC 2056mW/2052mW
