04-18-2026 13:21:25 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,1%@1510,2%@1510,0%@1510,65%@729,3%@729] GR3D_FREQ 59% cpu@55.468C soc2@55.093C soc0@53.781C gpu@55.093C tj@55.843C soc1@54.968C VDD_IN 6360mW/6362mW VDD_CPU_GPU_CV 1517mW/1486mW VDD_SOC 1640mW/1635mW
04-18-2026 13:21:25 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,68%@729,0%@729] GR3D_FREQ 65% cpu@55.468C soc2@54.906C soc0@53.968C gpu@55.156C tj@55.468C soc1@54.875C VDD_IN 6320mW/6361mW VDD_CPU_GPU_CV 1477mW/1486mW VDD_SOC 1640mW/1635mW
04-18-2026 13:21:26 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,64%@729,0%@729] GR3D_FREQ 73% cpu@55.468C soc2@54.906C soc0@53.968C gpu@55.093C tj@55.656C soc1@54.75C VDD_IN 6400mW/6362mW VDD_CPU_GPU_CV 1517mW/1487mW VDD_SOC 1640mW/1635mW
04-18-2026 13:21:26 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,63%@729,0%@729] GR3D_FREQ 68% cpu@55.468C soc2@54.906C soc0@54C gpu@55.093C tj@55.468C soc1@54.812C VDD_IN 6440mW/6365mW VDD_CPU_GPU_CV 1517mW/1488mW VDD_SOC 1640mW/1635mW
04-18-2026 13:21:27 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,3%@1510,3%@1510,1%@1510,68%@729,0%@729] GR3D_FREQ 62% cpu@55.875C soc2@54.875C soc0@53.906C gpu@55.093C tj@55.875C soc1@54.812C VDD_IN 6360mW/6365mW VDD_CPU_GPU_CV 1517mW/1489mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:27 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,64%@729,1%@729] GR3D_FREQ 60% cpu@55.406C soc2@54.781C soc0@53.906C gpu@55.156C tj@55.406C soc1@55.031C VDD_IN 6360mW/6365mW VDD_CPU_GPU_CV 1477mW/1488mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:28 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@1510,1%@927,63%@729,0%@729] GR3D_FREQ 73% cpu@55.593C soc2@54.875C soc0@53.906C gpu@55.218C tj@55.406C soc1@54.937C VDD_IN 6440mW/6367mW VDD_CPU_GPU_CV 1557mW/1490mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:28 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,66%@729,0%@729] GR3D_FREQ 60% cpu@55.687C soc2@54.843C soc0@53.843C gpu@55.437C tj@55.687C soc1@55C VDD_IN 6400mW/6368mW VDD_CPU_GPU_CV 1517mW/1491mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:29 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [2%@1510,2%@1510,1%@1510,1%@1510,66%@729,0%@729] GR3D_FREQ 64% cpu@55.906C soc2@54.812C soc0@53.812C gpu@55.218C tj@55.906C soc1@54.843C VDD_IN 6360mW/6368mW VDD_CPU_GPU_CV 1477mW/1491mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:29 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,66%@729,0%@729] GR3D_FREQ 67% cpu@55.531C soc2@54.968C soc0@53.843C gpu@55.375C tj@55.531C soc1@54.843C VDD_IN 6400mW/6369mW VDD_CPU_GPU_CV 1517mW/1492mW VDD_SOC 1640mW/1636mW
