04-18-2026 16:54:04 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@729,70%@729] GR3D_FREQ 68% cpu@56.812C soc2@56.375C soc0@55.312C gpu@57.031C tj@57.031C soc1@56.125C VDD_IN 7961mW/7821mW VDD_CPU_GPU_CV 2658mW/2561mW VDD_SOC 1788mW/1778mW
04-18-2026 16:54:05 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1231,0%@1237,2%@1510,0%@1508,2%@806,70%@806] GR3D_FREQ 78% cpu@56.875C soc2@56.343C soc0@55.375C gpu@57.125C tj@57.125C soc1@56.156C VDD_IN 7961mW/7826mW VDD_CPU_GPU_CV 2662mW/2564mW VDD_SOC 1788mW/1778mW
04-18-2026 16:54:05 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,69%@806] GR3D_FREQ 75% cpu@57.156C soc2@56.343C soc0@55.312C gpu@56.968C tj@57.156C soc1@56.406C VDD_IN 8001mW/7832mW VDD_CPU_GPU_CV 2658mW/2567mW VDD_SOC 1791mW/1778mW
04-18-2026 16:54:06 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@729,2%@729,0%@729,0%@806,72%@806] GR3D_FREQ 72% cpu@57.343C soc2@56.437C soc0@55.312C gpu@57.093C tj@57.343C soc1@56.343C VDD_IN 7961mW/7836mW VDD_CPU_GPU_CV 2662mW/2571mW VDD_SOC 1791mW/1779mW
04-18-2026 16:54:06 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1241,1%@1510,0%@1510,0%@1510,2%@806,70%@806] GR3D_FREQ 67% cpu@56.906C soc2@56.375C soc0@55.281C gpu@57.343C tj@57.343C soc1@56.281C VDD_IN 7961mW/7840mW VDD_CPU_GPU_CV 2658mW/2573mW VDD_SOC 1791mW/1779mW
04-18-2026 16:54:07 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 71% cpu@57.031C soc2@56.343C soc0@55.312C gpu@57C tj@57.031C soc1@56.187C VDD_IN 7961mW/7844mW VDD_CPU_GPU_CV 2658mW/2576mW VDD_SOC 1791mW/1779mW
04-18-2026 16:54:07 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@806,71%@806] GR3D_FREQ 59% cpu@57.25C soc2@56.562C soc0@55.281C gpu@57.25C tj@57.25C soc1@56.125C VDD_IN 7961mW/7847mW VDD_CPU_GPU_CV 2658mW/2578mW VDD_SOC 1791mW/1780mW
04-18-2026 16:54:08 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@1510,3%@1510,1%@1510,2%@806,69%@806] GR3D_FREQ 59% cpu@56.937C soc2@56.562C soc0@55.468C gpu@57.031C tj@57.031C soc1@56.156C VDD_IN 8001mW/7852mW VDD_CPU_GPU_CV 2698mW/2582mW VDD_SOC 1788mW/1780mW
04-18-2026 16:54:08 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,4%@806,70%@806] GR3D_FREQ 54% cpu@57.031C soc2@56.437C soc0@55.468C gpu@57.062C tj@57.062C soc1@56.093C VDD_IN 7961mW/7855mW VDD_CPU_GPU_CV 2658mW/2584mW VDD_SOC 1791mW/1780mW
04-18-2026 16:54:09 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,2%@806,70%@806] GR3D_FREQ 65% cpu@56.906C soc2@56.531C soc0@55.437C gpu@56.968C tj@56.968C soc1@56.125C VDD_IN 7961mW/7858mW VDD_CPU_GPU_CV 2658mW/2586mW VDD_SOC 1791mW/1781mW
04-18-2026 16:54:09 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1235,1%@1059,2%@729,0%@729,2%@806,70%@806] GR3D_FREQ 75% cpu@57C soc2@56.468C soc0@55.406C gpu@57.031C tj@57.031C soc1@56.156C VDD_IN 7961mW/7861mW VDD_CPU_GPU_CV 2658mW/2588mW VDD_SOC 1791mW/1781mW
04-18-2026 16:54:10 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,1%@1510,3%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 78% cpu@56.843C soc2@56.437C soc0@55.312C gpu@57.187C tj@57.187C soc1@56.125C VDD_IN 7961mW/7863mW VDD_CPU_GPU_CV 2658mW/2590mW VDD_SOC 1791mW/1781mW
04-18-2026 16:54:10 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [7%@1510,2%@1510,1%@1510,1%@1510,2%@806,70%@806] GR3D_FREQ 78% cpu@57.125C soc2@56.375C soc0@55.312C gpu@56.968C tj@57.125C soc1@56.437C VDD_IN 8001mW/7867mW VDD_CPU_GPU_CV 2698mW/2593mW VDD_SOC 1788mW/1781mW
04-18-2026 16:54:11 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,0%@806,70%@806] GR3D_FREQ 75% cpu@57.156C soc2@56.375C soc0@55.312C gpu@57.125C tj@57.156C soc1@56.281C VDD_IN 7961mW/7869mW VDD_CPU_GPU_CV 2658mW/2594mW VDD_SOC 1791mW/1782mW
04-18-2026 16:54:11 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@729,69%@729] GR3D_FREQ 73% cpu@57.312C soc2@56.437C soc0@55.25C gpu@57.25C tj@57.312C soc1@56.281C VDD_IN 8001mW/7872mW VDD_CPU_GPU_CV 2658mW/2596mW VDD_SOC 1791mW/1782mW
04-18-2026 16:54:12 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,0%@1510,4%@1510,0%@729,70%@729] GR3D_FREQ 61% cpu@57.125C soc2@56.375C soc0@55.375C gpu@57.156C tj@57.156C soc1@56.312C VDD_IN 8001mW/7875mW VDD_CPU_GPU_CV 2698mW/2598mW VDD_SOC 1791mW/1782mW
04-18-2026 16:54:12 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,3%@1510,0%@1510,1%@1510,2%@806,70%@729] GR3D_FREQ 64% cpu@57.156C soc2@56.531C soc0@55.375C gpu@57.218C tj@57.218C soc1@56.25C VDD_IN 7961mW/7877mW VDD_CPU_GPU_CV 2658mW/2600mW VDD_SOC 1791mW/1782mW
