04-18-2026 15:57:56 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [5%@1510,0%@1510,0%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 50% cpu@55.656C soc2@54.656C soc0@53.75C gpu@55.312C tj@55.656C soc1@54.812C VDD_IN 6440mW/6450mW VDD_CPU_GPU_CV 1517mW/1516mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:56 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 75% cpu@55.406C soc2@54.625C soc0@53.656C gpu@54.906C tj@55.406C soc1@54.75C VDD_IN 6440mW/6449mW VDD_CPU_GPU_CV 1517mW/1516mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:57 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,1%@1510,1%@1510,3%@1510,2%@883,70%@883] GR3D_FREQ 61% cpu@55.531C soc2@54.718C soc0@53.625C gpu@54.968C tj@55.531C soc1@54.75C VDD_IN 6480mW/6450mW VDD_CPU_GPU_CV 1557mW/1517mW VDD_SOC 1680mW/1654mW
04-18-2026 15:57:57 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,3%@883,75%@883] GR3D_FREQ 75% cpu@55.343C soc2@54.656C soc0@53.781C gpu@54.937C tj@55.343C soc1@54.656C VDD_IN 6440mW/6450mW VDD_CPU_GPU_CV 1517mW/1517mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:58 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [2%@1510,1%@1510,2%@1510,0%@1510,0%@883,70%@883] GR3D_FREQ 75% cpu@55.468C soc2@54.687C soc0@53.937C gpu@55C tj@55.468C soc1@54.625C VDD_IN 6520mW/6451mW VDD_CPU_GPU_CV 1557mW/1517mW VDD_SOC 1640mW/1654mW
04-18-2026 15:57:58 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,1%@883,72%@883] GR3D_FREQ 55% cpu@55.312C soc2@54.75C soc0@53.75C gpu@54.843C tj@55.312C soc1@54.656C VDD_IN 6440mW/6451mW VDD_CPU_GPU_CV 1517mW/1517mW VDD_SOC 1640mW/1653mW
04-18-2026 15:57:59 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.343C soc2@54.687C soc0@53.781C gpu@54.875C tj@55.343C soc1@54.843C VDD_IN 6440mW/6451mW VDD_CPU_GPU_CV 1517mW/1517mW VDD_SOC 1640mW/1653mW
04-18-2026 15:57:59 RAM 5198/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,68%@806] GR3D_FREQ 55% cpu@55.625C soc2@54.625C soc0@53.781C gpu@55.062C tj@55.625C soc1@54.843C VDD_IN 6520mW/6452mW VDD_CPU_GPU_CV 1557mW/1518mW VDD_SOC 1680mW/1654mW
04-18-2026 15:58:00 RAM 5199/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [0%@1510,3%@1510,2%@1510,3%@1510,0%@883,74%@883] GR3D_FREQ 65% cpu@55.281C soc2@54.625C soc0@53.687C gpu@54.906C tj@55.281C soc1@54.687C VDD_IN 6440mW/6452mW VDD_CPU_GPU_CV 1517mW/1518mW VDD_SOC 1640mW/1653mW
04-18-2026 15:58:00 RAM 5199/7620MB (lfb 25x4MB) SWAP 2448/3810MB (cached 13MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@883,72%@883] GR3D_FREQ 58% cpu@55.437C soc2@54.656C soc0@53.718C gpu@55.062C tj@55.437C soc1@54.812C VDD_IN 6440mW/6452mW VDD_CPU_GPU_CV 1517mW/1518mW VDD_SOC 1640mW/1653mW
