04-18-2026 23:16:05 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,3%@1510,5%@1510,0%@1510,54%@729,4%@729] GR3D_FREQ 56% cpu@54.875C soc2@54.468C soc0@53.437C gpu@55.562C tj@55.562C soc1@53.937C VDD_IN 9166mW/9092mW VDD_CPU_GPU_CV 3441mW/3374mW VDD_SOC 1941mW/1944mW
04-18-2026 23:16:06 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,1%@729,56%@729,1%@729] GR3D_FREQ 97% cpu@54.875C soc2@54.468C soc0@53.281C gpu@55.593C tj@55.593C soc1@53.875C VDD_IN 9086mW/9092mW VDD_CPU_GPU_CV 3401mW/3375mW VDD_SOC 1944mW/1944mW
04-18-2026 23:16:06 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 98% cpu@55.187C soc2@54.468C soc0@53.312C gpu@55.343C tj@55.343C soc1@54.25C VDD_IN 9166mW/9094mW VDD_CPU_GPU_CV 3441mW/3377mW VDD_SOC 1941mW/1944mW
04-18-2026 23:16:07 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,51%@729,1%@729] GR3D_FREQ 97% cpu@54.968C soc2@54.531C soc0@53.375C gpu@55.656C tj@55.406C soc1@54.156C VDD_IN 9364mW/9103mW VDD_CPU_GPU_CV 3553mW/3383mW VDD_SOC 1980mW/1945mW
04-18-2026 23:16:07 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,52%@729,0%@729] GR3D_FREQ 61% cpu@55.062C soc2@54.468C soc0@53.312C gpu@55.375C tj@55.375C soc1@54.125C VDD_IN 9245mW/9107mW VDD_CPU_GPU_CV 3520mW/3387mW VDD_SOC 1980mW/1946mW
04-18-2026 23:16:08 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,56%@729,1%@729] GR3D_FREQ 75% cpu@55.125C soc2@54.5C soc0@53.25C gpu@55.437C tj@55.437C soc1@54.062C VDD_IN 9245mW/9111mW VDD_CPU_GPU_CV 3480mW/3390mW VDD_SOC 1941mW/1946mW
04-18-2026 23:16:09 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,55%@729,0%@729] GR3D_FREQ 97% cpu@54.968C soc2@54.625C soc0@53.25C gpu@55.281C tj@55.281C soc1@54.093C VDD_IN 9166mW/9113mW VDD_CPU_GPU_CV 3441mW/3392mW VDD_SOC 1941mW/1946mW
04-18-2026 23:16:09 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,54%@729,0%@729] GR3D_FREQ 55% cpu@55.125C soc2@54.531C soc0@53.406C gpu@55.468C tj@55.468C soc1@54.062C VDD_IN 9126mW/9113mW VDD_CPU_GPU_CV 3441mW/3393mW VDD_SOC 1941mW/1946mW
04-18-2026 23:16:10 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,56%@729,0%@729] GR3D_FREQ 93% cpu@54.875C soc2@54.562C soc0@53.531C gpu@55.562C tj@55.562C soc1@54.031C VDD_IN 9126mW/9114mW VDD_CPU_GPU_CV 3401mW/3393mW VDD_SOC 1941mW/1945mW
04-18-2026 23:16:10 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,3%@1510,1%@1510,6%@1510,51%@729,0%@729] GR3D_FREQ 87% cpu@55.125C soc2@54.625C soc0@53.468C gpu@55.656C tj@55.656C soc1@54.031C VDD_IN 9364mW/9120mW VDD_CPU_GPU_CV 3553mW/3398mW VDD_SOC 1980mW/1946mW
04-18-2026 23:16:11 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,13%@729,41%@729] GR3D_FREQ 85% cpu@55C soc2@54.625C soc0@53.437C gpu@55.437C tj@55.437C soc1@54.093C VDD_IN 9285mW/9125mW VDD_CPU_GPU_CV 3480mW/3400mW VDD_SOC 1980mW/1947mW
04-18-2026 23:16:11 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,2%@729,0%@729,1%@729,0%@729,55%@729] GR3D_FREQ 56% cpu@54.875C soc2@54.531C soc0@53.468C gpu@55.656C tj@55.656C soc1@54.062C VDD_IN 9245mW/9128mW VDD_CPU_GPU_CV 3441mW/3401mW VDD_SOC 1941mW/1947mW
04-18-2026 23:16:12 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@729,54%@729] GR3D_FREQ 56% cpu@54.937C soc2@54.562C soc0@53.5C gpu@55.843C tj@55.843C soc1@54.062C VDD_IN 9205mW/9130mW VDD_CPU_GPU_CV 3480mW/3403mW VDD_SOC 1941mW/1947mW
04-18-2026 23:16:12 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,3%@1510,3%@729,3%@729,1%@729,55%@729] GR3D_FREQ 95% cpu@55.062C soc2@54.625C soc0@53.5C gpu@55.593C tj@55.593C soc1@54.093C VDD_IN 9126mW/9130mW VDD_CPU_GPU_CV 3401mW/3403mW VDD_SOC 1941mW/1947mW
04-18-2026 23:16:13 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,0%@729,1%@729,55%@729] GR3D_FREQ 80% cpu@54.937C soc2@54.687C soc0@53.468C gpu@55.406C tj@55.406C soc1@54.156C VDD_IN 9086mW/9128mW VDD_CPU_GPU_CV 3361mW/3402mW VDD_SOC 1941mW/1947mW
04-18-2026 23:16:13 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,52%@729] GR3D_FREQ 97% cpu@55C soc2@54.625C soc0@53.5C gpu@55.625C tj@55.625C soc1@54.093C VDD_IN 9324mW/9133mW VDD_CPU_GPU_CV 3520mW/3404mW VDD_SOC 1980mW/1947mW
04-18-2026 23:16:14 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@729,51%@729] GR3D_FREQ 98% cpu@54.968C soc2@54.625C soc0@53.562C gpu@55.843C tj@55.843C soc1@54.468C VDD_IN 9349mW/9138mW VDD_CPU_GPU_CV 3553mW/3408mW VDD_SOC 1980mW/1948mW
04-18-2026 23:16:14 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@729,55%@729] GR3D_FREQ 56% cpu@55.5C soc2@54.656C soc0@53.562C gpu@55.468C tj@55.5C soc1@54.156C VDD_IN 9205mW/9139mW VDD_CPU_GPU_CV 3441mW/3408mW VDD_SOC 1980mW/1949mW
