04-18-2026 12:17:25 RAM 3847/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,5%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.437C soc2@56.687C soc0@55.687C gpu@56.75C tj@57.437C soc1@56.5C VDD_IN 6760mW/6782mW VDD_CPU_GPU_CV 1913mW/1909mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:25 RAM 3847/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,2%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@57.5C soc2@56.625C soc0@55.75C gpu@56.812C tj@57.5C soc1@56.843C VDD_IN 6800mW/6783mW VDD_CPU_GPU_CV 1913mW/1910mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:26 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 45% cpu@57.437C soc2@56.718C soc0@55.656C gpu@57.343C tj@57.437C soc1@56.781C VDD_IN 6800mW/6784mW VDD_CPU_GPU_CV 1913mW/1910mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:26 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,5%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.75C soc2@56.656C soc0@55.593C gpu@56.812C tj@57.75C soc1@56.843C VDD_IN 6789mW/6784mW VDD_CPU_GPU_CV 1913mW/1910mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:27 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.375C soc2@56.593C soc0@55.656C gpu@56.906C tj@57.375C soc1@56.812C VDD_IN 6800mW/6784mW VDD_CPU_GPU_CV 1913mW/1910mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:27 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@57.562C soc2@56.593C soc0@55.562C gpu@57C tj@57.562C soc1@56.687C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1910mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:28 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,2%@1510,3%@1510,2%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@57.593C soc2@56.625C soc0@55.562C gpu@57.218C tj@57.593C soc1@56.625C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1953mW/1911mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:28 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.781C soc2@56.687C soc0@55.593C gpu@56.687C tj@57.781C soc1@56.625C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1911mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:29 RAM 3846/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.5C soc2@56.687C soc0@55.531C gpu@56.812C tj@57.5C soc1@56.562C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1911mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:29 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@57.593C soc2@56.75C soc0@55.531C gpu@56.875C tj@57.593C soc1@56.625C VDD_IN 6800mW/6787mW VDD_CPU_GPU_CV 1913mW/1911mW VDD_SOC 1637mW/1635mW
