04-18-2026 12:19:22 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@883,1%@883,1%@883,0%@883,0%@1510,97%@1510] GR3D_FREQ 66% cpu@55.968C soc2@55.125C soc0@54.062C gpu@55.437C tj@55.968C soc1@55.187C VDD_IN 6089mW/6089mW VDD_CPU_GPU_CV 1440mW/1440mW VDD_SOC 1560mW/1560mW
04-18-2026 12:19:30 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 47% cpu@56.187C soc2@55.25C soc0@54.156C gpu@55.687C tj@56.187C soc1@55.187C VDD_IN 6760mW/6701mW VDD_CPU_GPU_CV 1913mW/1871mW VDD_SOC 1597mW/1594mW
04-18-2026 12:19:31 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.125C soc2@55.25C soc0@54.093C gpu@55.812C tj@56.125C soc1@55.281C VDD_IN 6760mW/6704mW VDD_CPU_GPU_CV 1913mW/1873mW VDD_SOC 1597mW/1594mW
04-18-2026 12:19:31 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56.031C soc2@55.218C soc0@54.062C gpu@55.656C tj@56.031C soc1@55.093C VDD_IN 6760mW/6707mW VDD_CPU_GPU_CV 1913mW/1875mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:32 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 45% cpu@55.968C soc2@55.218C soc0@54.093C gpu@55.781C tj@55.968C soc1@55.093C VDD_IN 6760mW/6710mW VDD_CPU_GPU_CV 1913mW/1877mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:32 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56.156C soc2@55.25C soc0@54.187C gpu@55.281C tj@56.156C soc1@55.093C VDD_IN 6760mW/6712mW VDD_CPU_GPU_CV 1913mW/1879mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:33 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.968C soc2@55.187C soc0@54.312C gpu@55.343C tj@55.968C soc1@55.156C VDD_IN 6760mW/6714mW VDD_CPU_GPU_CV 1913mW/1880mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:33 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@56.031C soc2@55.25C soc0@54.218C gpu@55.593C tj@56.031C soc1@55.125C VDD_IN 6760mW/6716mW VDD_CPU_GPU_CV 1913mW/1882mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:34 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.937C soc2@55.156C soc0@54.218C gpu@55.625C tj@56.031C soc1@55.031C VDD_IN 6760mW/6718mW VDD_CPU_GPU_CV 1913mW/1883mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:34 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 51% cpu@56C soc2@55.218C soc0@54.156C gpu@55.5C tj@56C soc1@55.031C VDD_IN 6760mW/6720mW VDD_CPU_GPU_CV 1913mW/1884mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:35 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 45% cpu@56.062C soc2@55.156C soc0@54.093C gpu@55.656C tj@56.062C soc1@55.375C VDD_IN 6760mW/6721mW VDD_CPU_GPU_CV 1913mW/1885mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:35 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.343C soc2@55.187C soc0@54.156C gpu@55.312C tj@56.343C soc1@55.312C VDD_IN 6760mW/6723mW VDD_CPU_GPU_CV 1913mW/1886mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:36 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@885,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.937C soc2@55.218C soc0@54.156C gpu@55.375C tj@55.937C soc1@55.25C VDD_IN 6760mW/6724mW VDD_CPU_GPU_CV 1913mW/1887mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:36 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.937C soc2@55.093C soc0@54.062C gpu@55.437C tj@55.937C soc1@55.312C VDD_IN 6760mW/6725mW VDD_CPU_GPU_CV 1913mW/1888mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:37 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 49% cpu@56.281C soc2@55.187C soc0@54.062C gpu@55.312C tj@56.281C soc1@55.25C VDD_IN 6760mW/6726mW VDD_CPU_GPU_CV 1913mW/1889mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:37 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@56.312C soc2@55.093C soc0@54.093C gpu@55.375C tj@56.312C soc1@55.218C VDD_IN 6760mW/6728mW VDD_CPU_GPU_CV 1913mW/1890mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:38 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@56.156C soc2@55.125C soc0@54.031C gpu@55.531C tj@56.156C soc1@55.218C VDD_IN 6760mW/6729mW VDD_CPU_GPU_CV 1913mW/1890mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:38 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.093C soc2@55.062C soc0@54.187C gpu@55.687C tj@56.093C soc1@55.093C VDD_IN 6760mW/6729mW VDD_CPU_GPU_CV 1913mW/1891mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:39 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,5%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.25C soc2@55.25C soc0@54.093C gpu@55.281C tj@56.25C soc1@55.125C VDD_IN 6800mW/6732mW VDD_CPU_GPU_CV 1913mW/1892mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:39 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.937C soc2@55.218C soc0@54.031C gpu@55.312C tj@55.937C soc1@55.062C VDD_IN 6760mW/6732mW VDD_CPU_GPU_CV 1913mW/1892mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:40 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56.156C soc2@55.25C soc0@54.25C gpu@55.281C tj@56.156C soc1@55.031C VDD_IN 6760mW/6733mW VDD_CPU_GPU_CV 1913mW/1893mW VDD_SOC 1597mW/1595mW
04-18-2026 12:19:40 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.937C soc2@55.25C soc0@54.25C gpu@55.375C tj@55.937C soc1@55.125C VDD_IN 6760mW/6734mW VDD_CPU_GPU_CV 1913mW/1893mW VDD_SOC 1597mW/1596mW
04-18-2026 12:19:41 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56.031C soc2@55.093C soc0@54.187C gpu@55.406C tj@56.031C soc1@55.062C VDD_IN 6760mW/6734mW VDD_CPU_GPU_CV 1913mW/1894mW VDD_SOC 1597mW/1596mW
04-18-2026 12:19:41 RAM 3840/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@901,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@55.937C soc2@55.156C soc0@54.093C gpu@55.625C tj@55.906C soc1@55.031C VDD_IN 6760mW/6735mW VDD_CPU_GPU_CV 1913mW/1894mW VDD_SOC 1597mW/1596mW
04-18-2026 12:19:42 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.031C soc2@55.156C soc0@54.156C gpu@55.531C tj@56.031C soc1@55.031C VDD_IN 6760mW/6736mW VDD_CPU_GPU_CV 1913mW/1895mW VDD_SOC 1597mW/1596mW
04-18-2026 12:19:42 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.906C soc2@55.125C soc0@54.125C gpu@55.531C tj@55.906C soc1@55.218C VDD_IN 6760mW/6736mW VDD_CPU_GPU_CV 1913mW/1895mW VDD_SOC 1597mW/1596mW
04-18-2026 12:19:43 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.375C soc2@55.125C soc0@54.093C gpu@55.687C tj@56.375C soc1@55.343C VDD_IN 6760mW/6737mW VDD_CPU_GPU_CV 1913mW/1896mW VDD_SOC 1637mW/1597mW
04-18-2026 12:19:43 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@846,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.906C soc2@55.156C soc0@54.156C gpu@55.281C tj@55.906C soc1@55.218C VDD_IN 6760mW/6737mW VDD_CPU_GPU_CV 1913mW/1896mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:44 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@56.093C soc2@55.093C soc0@54.093C gpu@55.375C tj@55.875C soc1@55.218C VDD_IN 6760mW/6738mW VDD_CPU_GPU_CV 1913mW/1896mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:44 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,3%@919,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.187C soc2@55.093C soc0@54.093C gpu@55.281C tj@56.187C soc1@55.218C VDD_IN 6800mW/6739mW VDD_CPU_GPU_CV 1913mW/1897mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:45 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@56.281C soc2@55.125C soc0@54.093C gpu@55.437C tj@56.281C soc1@55.218C VDD_IN 6760mW/6740mW VDD_CPU_GPU_CV 1913mW/1897mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:45 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,3%@1510,100%@1510] GR3D_FREQ 56% cpu@55.968C soc2@55.281C soc0@54.062C gpu@55.468C tj@55.968C soc1@55.156C VDD_IN 6760mW/6740mW VDD_CPU_GPU_CV 1913mW/1897mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:46 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56.218C soc2@55.156C soc0@54.093C gpu@55.687C tj@56.218C soc1@55.031C VDD_IN 6760mW/6741mW VDD_CPU_GPU_CV 1913mW/1898mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:46 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@56.187C soc2@55.218C soc0@54.031C gpu@55.25C tj@56.187C soc1@55.031C VDD_IN 6760mW/6741mW VDD_CPU_GPU_CV 1913mW/1898mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:47 RAM 3839/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56C soc2@55.187C soc0@54.218C gpu@55.593C tj@56C soc1@55.031C VDD_IN 6760mW/6741mW VDD_CPU_GPU_CV 1913mW/1898mW VDD_SOC 1637mW/1597mW
04-18-2026 12:19:47 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 57% cpu@56.062C soc2@55.187C soc0@54.218C gpu@55.281C tj@56.062C soc1@55.031C VDD_IN 6760mW/6742mW VDD_CPU_GPU_CV 1913mW/1899mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:48 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 49% cpu@55.843C soc2@55.125C soc0@54.218C gpu@55.375C tj@55.843C soc1@55C VDD_IN 6760mW/6742mW VDD_CPU_GPU_CV 1913mW/1899mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:48 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.937C soc2@55.187C soc0@54.156C gpu@55.312C tj@55.937C soc1@55.031C VDD_IN 6760mW/6742mW VDD_CPU_GPU_CV 1913mW/1899mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:49 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 51% cpu@56.406C soc2@55.125C soc0@54.093C gpu@55.281C tj@56.406C soc1@55C VDD_IN 6760mW/6743mW VDD_CPU_GPU_CV 1913mW/1899mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:49 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 48% cpu@55.937C soc2@55.093C soc0@54.156C gpu@55.406C tj@55.937C soc1@55.031C VDD_IN 6760mW/6743mW VDD_CPU_GPU_CV 1913mW/1900mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:50 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56.031C soc2@55.093C soc0@54.062C gpu@55.5C tj@56.031C soc1@55.25C VDD_IN 6760mW/6743mW VDD_CPU_GPU_CV 1913mW/1900mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:50 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@56.218C soc2@55.125C soc0@54.093C gpu@55.656C tj@56.218C soc1@55.187C VDD_IN 6760mW/6744mW VDD_CPU_GPU_CV 1913mW/1900mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:51 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@885,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.843C soc2@55.093C soc0@54.031C gpu@55.312C tj@55.843C soc1@55.187C VDD_IN 6760mW/6744mW VDD_CPU_GPU_CV 1913mW/1900mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:51 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,5%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@56.031C soc2@55.093C soc0@54.031C gpu@55.343C tj@55.875C soc1@55.218C VDD_IN 6760mW/6744mW VDD_CPU_GPU_CV 1913mW/1900mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:52 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@56.156C soc2@55.031C soc0@54.031C gpu@55.187C tj@56.156C soc1@55.156C VDD_IN 6760mW/6744mW VDD_CPU_GPU_CV 1913mW/1901mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:53 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56.218C soc2@55.093C soc0@54C gpu@55.281C tj@56.218C soc1@55.062C VDD_IN 6760mW/6745mW VDD_CPU_GPU_CV 1913mW/1901mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:53 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,2%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56C soc2@55.281C soc0@53.968C gpu@55.437C tj@56C soc1@55.125C VDD_IN 6760mW/6745mW VDD_CPU_GPU_CV 1913mW/1901mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:54 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56.031C soc2@55.156C soc0@53.968C gpu@55.5C tj@56.031C soc1@55.093C VDD_IN 6760mW/6745mW VDD_CPU_GPU_CV 1913mW/1901mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:54 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.875C soc2@55.125C soc0@54.25C gpu@55.437C tj@55.875C soc1@55.031C VDD_IN 6760mW/6745mW VDD_CPU_GPU_CV 1913mW/1901mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:55 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,2%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 50% cpu@55.906C soc2@55.093C soc0@54.156C gpu@55.5C tj@55.906C soc1@54.968C VDD_IN 6760mW/6745mW VDD_CPU_GPU_CV 1913mW/1902mW VDD_SOC 1597mW/1597mW
04-18-2026 12:19:55 RAM 3838/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@56C soc2@55.125C soc0@54.187C gpu@55.718C tj@56C soc1@55.031C VDD_IN 6760mW/6746mW VDD_CPU_GPU_CV 1913mW/1902mW VDD_SOC 1597mW/1597mW
