04-18-2026 16:41:50 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 84% cpu@59.718C soc2@59.093C soc0@57.75C gpu@60.031C tj@60.031C soc1@58.437C VDD_IN 9848mW/9797mW VDD_CPU_GPU_CV 4139mW/4020mW VDD_SOC 2017mW/1999mW
04-18-2026 16:41:50 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.625C soc2@59.125C soc0@57.656C gpu@60.312C tj@60.312C soc1@58.437C VDD_IN 9967mW/9803mW VDD_CPU_GPU_CV 4139mW/4024mW VDD_SOC 2013mW/1999mW
04-18-2026 16:41:51 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [2%@1510,0%@729,1%@729,4%@729,1%@1510,100%@1510] GR3D_FREQ 79% cpu@59.593C soc2@59.093C soc0@57.906C gpu@59.75C tj@59.75C soc1@58.375C VDD_IN 9927mW/9808mW VDD_CPU_GPU_CV 4139mW/4028mW VDD_SOC 1977mW/1998mW
04-18-2026 16:41:51 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 97% cpu@59.718C soc2@59.062C soc0@57.843C gpu@59.937C tj@59.937C soc1@58.437C VDD_IN 9888mW/9811mW VDD_CPU_GPU_CV 4100mW/4031mW VDD_SOC 2017mW/1999mW
04-18-2026 16:41:52 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [5%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.656C soc2@59.125C soc0@57.875C gpu@60.062C tj@60.062C soc1@58.437C VDD_IN 9927mW/9814mW VDD_CPU_GPU_CV 4139mW/4034mW VDD_SOC 1977mW/1998mW
04-18-2026 16:41:52 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@59.625C soc2@59.093C soc0@57.781C gpu@60.156C tj@60.156C soc1@58.437C VDD_IN 9967mW/9819mW VDD_CPU_GPU_CV 4139mW/4038mW VDD_SOC 2013mW/1999mW
04-18-2026 16:41:53 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 97% cpu@59.718C soc2@59.093C soc0@57.906C gpu@59.875C tj@59.875C soc1@58.437C VDD_IN 9967mW/9824mW VDD_CPU_GPU_CV 4139mW/4041mW VDD_SOC 1974mW/1998mW
04-18-2026 16:41:53 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [2%@1510,1%@1510,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.656C soc2@59.093C soc0@57.812C gpu@59.968C tj@59.968C soc1@58.437C VDD_IN 9967mW/9828mW VDD_CPU_GPU_CV 4178mW/4045mW VDD_SOC 1974mW/1997mW
04-18-2026 16:41:54 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,1%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 73% cpu@59.656C soc2@59.031C soc0@57.937C gpu@59.875C tj@59.875C soc1@58.468C VDD_IN 9967mW/9832mW VDD_CPU_GPU_CV 4100mW/4047mW VDD_SOC 1974mW/1997mW
04-18-2026 16:41:54 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.625C soc2@59.031C soc0@57.812C gpu@59.937C tj@59.937C soc1@58.5C VDD_IN 9927mW/9835mW VDD_CPU_GPU_CV 4100mW/4048mW VDD_SOC 2013mW/1997mW
