04-18-2026 12:44:37 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 53% cpu@59.031C soc2@58.343C soc0@57C gpu@59C tj@59.031C soc1@57.968C VDD_IN 9190mW/9174mW VDD_CPU_GPU_CV 3520mW/3456mW VDD_SOC 1980mW/1971mW
04-18-2026 12:44:38 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 97% cpu@59.218C soc2@58.375C soc0@57.062C gpu@58.968C tj@59.218C soc1@57.968C VDD_IN 9270mW/9177mW VDD_CPU_GPU_CV 3514mW/3458mW VDD_SOC 1980mW/1971mW
04-18-2026 12:44:38 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@911,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@59.343C soc2@58.406C soc0@57.125C gpu@59.062C tj@59.343C soc1@58C VDD_IN 9245mW/9180mW VDD_CPU_GPU_CV 3520mW/3461mW VDD_SOC 1980mW/1972mW
04-18-2026 12:44:39 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.437C soc2@58.406C soc0@57.125C gpu@59.375C tj@59.437C soc1@58C VDD_IN 9309mW/9184mW VDD_CPU_GPU_CV 3553mW/3464mW VDD_SOC 1980mW/1972mW
04-18-2026 12:44:39 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 32% cpu@59.156C soc2@58.437C soc0@57.093C gpu@59.406C tj@59.406C soc1@57.968C VDD_IN 9245mW/9186mW VDD_CPU_GPU_CV 3514mW/3465mW VDD_SOC 1980mW/1972mW
04-18-2026 12:44:40 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.218C soc2@58.406C soc0@57.187C gpu@59.187C tj@59.218C soc1@57.968C VDD_IN 9205mW/9187mW VDD_CPU_GPU_CV 3480mW/3466mW VDD_SOC 1980mW/1972mW
04-18-2026 12:44:40 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@59.343C soc2@58.5C soc0@57.062C gpu@59.468C tj@59.468C soc1@58.031C VDD_IN 9270mW/9189mW VDD_CPU_GPU_CV 3514mW/3467mW VDD_SOC 1980mW/1973mW
04-18-2026 12:44:41 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.125C soc2@58.468C soc0@57.093C gpu@58.968C tj@59.125C soc1@57.968C VDD_IN 9205mW/9190mW VDD_CPU_GPU_CV 3514mW/3469mW VDD_SOC 1980mW/1973mW
04-18-2026 12:44:41 RAM 4165/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 76% cpu@59.187C soc2@58.593C soc0@57.156C gpu@59.156C tj@59.187C soc1@57.937C VDD_IN 9309mW/9193mW VDD_CPU_GPU_CV 3553mW/3471mW VDD_SOC 1980mW/1973mW
04-18-2026 12:44:42 RAM 4167/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,6%@1510,3%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 75% cpu@59.187C soc2@58.5C soc0@57.156C gpu@59.125C tj@59.187C soc1@57.937C VDD_IN 9245mW/9195mW VDD_CPU_GPU_CV 3520mW/3473mW VDD_SOC 1980mW/1973mW
