04-18-2026 15:26:46 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@729,1%@729,100%@1510,3%@1510] GR3D_FREQ 65% cpu@58.437C soc2@57.812C soc0@56.625C gpu@58.406C tj@58.437C soc1@57.25C VDD_IN 9468mW/9433mW VDD_CPU_GPU_CV 3632mW/3589mW VDD_SOC 2017mW/2008mW
04-18-2026 15:26:46 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,3%@1510,3%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 77% cpu@58.437C soc2@57.781C soc0@56.593C gpu@58.531C tj@58.531C soc1@57.281C VDD_IN 9547mW/9437mW VDD_CPU_GPU_CV 3672mW/3592mW VDD_SOC 2017mW/2009mW
04-18-2026 15:26:47 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 49% cpu@58.406C soc2@57.75C soc0@56.625C gpu@58.718C tj@58.718C soc1@57.25C VDD_IN 9547mW/9441mW VDD_CPU_GPU_CV 3672mW/3594mW VDD_SOC 2017mW/2009mW
04-18-2026 15:26:47 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [5%@1510,1%@1510,0%@1510,0%@913,100%@1510,0%@1510] GR3D_FREQ 58% cpu@58.312C soc2@57.75C soc0@56.562C gpu@58.656C tj@58.656C soc1@57.312C VDD_IN 9507mW/9444mW VDD_CPU_GPU_CV 3632mW/3596mW VDD_SOC 2017mW/2009mW
04-18-2026 15:26:48 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [3%@1510,3%@1510,0%@1510,3%@1510,100%@1510,0%@1510] GR3D_FREQ 68% cpu@58.562C soc2@57.781C soc0@56.593C gpu@58.593C tj@58.593C soc1@57.25C VDD_IN 9547mW/9447mW VDD_CPU_GPU_CV 3672mW/3598mW VDD_SOC 2017mW/2009mW
04-18-2026 15:26:48 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,2%@1510,1%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 63% cpu@58.812C soc2@57.781C soc0@56.562C gpu@58.812C tj@58.812C soc1@57.531C VDD_IN 9468mW/9448mW VDD_CPU_GPU_CV 3672mW/3601mW VDD_SOC 2017mW/2010mW
04-18-2026 15:26:49 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 72% cpu@58.437C soc2@57.781C soc0@56.562C gpu@58.625C tj@58.5C soc1@57.531C VDD_IN 9547mW/9451mW VDD_CPU_GPU_CV 3672mW/3603mW VDD_SOC 2017mW/2010mW
04-18-2026 15:26:49 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,3%@1510,3%@1510,100%@1510,1%@1510] GR3D_FREQ 69% cpu@58.687C soc2@57.843C soc0@56.5C gpu@58.875C tj@58.875C soc1@57.437C VDD_IN 9507mW/9452mW VDD_CPU_GPU_CV 3666mW/3605mW VDD_SOC 2020mW/2010mW
04-18-2026 15:26:50 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 61% cpu@58.75C soc2@57.812C soc0@56.562C gpu@58.437C tj@58.75C soc1@57.343C VDD_IN 9547mW/9455mW VDD_CPU_GPU_CV 3632mW/3606mW VDD_SOC 2017mW/2010mW
04-18-2026 15:26:50 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 72% cpu@58.593C soc2@57.812C soc0@56.5C gpu@58.562C tj@58.593C soc1@57.5C VDD_IN 9587mW/9459mW VDD_CPU_GPU_CV 3672mW/3607mW VDD_SOC 2017mW/2011mW
04-18-2026 15:26:51 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [3%@1510,1%@729,3%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 55% cpu@58.656C soc2@58C soc0@56.562C gpu@58.531C tj@58.656C soc1@57.281C VDD_IN 9547mW/9461mW VDD_CPU_GPU_CV 3711mW/3610mW VDD_SOC 2017mW/2011mW
04-18-2026 15:26:51 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,1%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 54% cpu@58.75C soc2@57.937C soc0@56.781C gpu@58.437C tj@58.75C soc1@57.312C VDD_IN 9507mW/9463mW VDD_CPU_GPU_CV 3593mW/3610mW VDD_SOC 2017mW/2011mW
04-18-2026 15:26:52 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 84% cpu@58.562C soc2@57.937C soc0@56.843C gpu@58.625C tj@58.625C soc1@57.375C VDD_IN 9507mW/9464mW VDD_CPU_GPU_CV 3632mW/3610mW VDD_SOC 2017mW/2011mW
