04-18-2026 13:51:31 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1036,56%@1036] GR3D_FREQ 99% cpu@60.718C soc2@60.218C soc0@58.812C gpu@61.062C tj@61.062C soc1@59.5C VDD_IN 10841mW/10713mW VDD_CPU_GPU_CV 4204mW/4113mW VDD_SOC 2326mW/2303mW
04-18-2026 13:51:31 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@729,0%@729,1%@1267,53%@1267] GR3D_FREQ 70% cpu@60.562C soc2@60.218C soc0@58.968C gpu@61.156C tj@61.156C soc1@59.468C VDD_IN 10841mW/10717mW VDD_CPU_GPU_CV 4204mW/4116mW VDD_SOC 2322mW/2303mW
04-18-2026 13:51:32 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,1%@1267,52%@1267] GR3D_FREQ 99% cpu@60.593C soc2@60.25C soc0@59C gpu@60.968C tj@60.968C soc1@59.437C VDD_IN 10841mW/10722mW VDD_CPU_GPU_CV 4165mW/4118mW VDD_SOC 2322mW/2304mW
04-18-2026 13:51:32 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,2%@1510,0%@729,0%@729,1%@729,52%@729] GR3D_FREQ 99% cpu@60.468C soc2@60.218C soc0@58.937C gpu@61.156C tj@61.156C soc1@59.437C VDD_IN 10881mW/10727mW VDD_CPU_GPU_CV 4243mW/4122mW VDD_SOC 2322mW/2305mW
04-18-2026 13:51:33 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,0%@729,1%@883,54%@883] GR3D_FREQ 99% cpu@60.468C soc2@60.218C soc0@58.937C gpu@61.343C tj@61.343C soc1@59.468C VDD_IN 10881mW/10732mW VDD_CPU_GPU_CV 4243mW/4126mW VDD_SOC 2322mW/2305mW
04-18-2026 13:51:33 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1267,54%@1267] GR3D_FREQ 69% cpu@60.687C soc2@60.281C soc0@58.937C gpu@61.437C tj@61.437C soc1@59.468C VDD_IN 10841mW/10736mW VDD_CPU_GPU_CV 4243mW/4130mW VDD_SOC 2322mW/2306mW
04-18-2026 13:51:34 RAM 5644/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,0%@1267,52%@1267] GR3D_FREQ 98% cpu@60.656C soc2@60.187C soc0@58.968C gpu@61.218C tj@61.218C soc1@59.468C VDD_IN 10802mW/10738mW VDD_CPU_GPU_CV 4204mW/4132mW VDD_SOC 2322mW/2306mW
04-18-2026 13:51:34 RAM 5645/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@729,1%@729,0%@729,50%@729] GR3D_FREQ 99% cpu@60.437C soc2@60.25C soc0@58.937C gpu@61.406C tj@61.406C soc1@59.687C VDD_IN 10881mW/10742mW VDD_CPU_GPU_CV 4204mW/4135mW VDD_SOC 2322mW/2307mW
04-18-2026 13:51:35 RAM 5645/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@883,54%@883] GR3D_FREQ 99% cpu@60.875C soc2@60.187C soc0@58.906C gpu@61.125C tj@61.125C soc1@59.718C VDD_IN 10841mW/10745mW VDD_CPU_GPU_CV 4204mW/4137mW VDD_SOC 2322mW/2307mW
04-18-2026 13:51:35 RAM 5645/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,5%@1510,0%@1510,1%@1510,0%@1267,56%@1267] GR3D_FREQ 98% cpu@60.968C soc2@60.218C soc0@58.937C gpu@61.406C tj@61.406C soc1@59.593C VDD_IN 10920mW/10750mW VDD_CPU_GPU_CV 4243mW/4140mW VDD_SOC 2322mW/2307mW
04-18-2026 13:51:36 RAM 5645/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1267,52%@1267] GR3D_FREQ 77% cpu@60.781C soc2@60.375C soc0@58.875C gpu@61.031C tj@61.031C soc1@59.656C VDD_IN 10841mW/10753mW VDD_CPU_GPU_CV 4204mW/4141mW VDD_SOC 2322mW/2308mW
04-18-2026 13:51:36 RAM 5645/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,1%@1267,50%@1267] GR3D_FREQ 99% cpu@60.718C soc2@60.25C soc0@58.906C gpu@61.062C tj@61.062C soc1@59.5C VDD_IN 10841mW/10755mW VDD_CPU_GPU_CV 4165mW/4142mW VDD_SOC 2326mW/2308mW
