04-18-2026 13:53:53 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,1%@729,1%@1267,52%@1267] GR3D_FREQ 70% cpu@61.093C soc2@60.812C soc0@59.468C gpu@61.718C tj@61.718C soc1@60.031C VDD_IN 10881mW/10774mW VDD_CPU_GPU_CV 4243mW/4144mW VDD_SOC 2322mW/2311mW
04-18-2026 13:53:54 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,3%@1510,0%@729,0%@729,1%@1267,52%@1267] GR3D_FREQ 99% cpu@61.093C soc2@60.718C soc0@59.375C gpu@61.812C tj@61.812C soc1@59.937C VDD_IN 10802mW/10775mW VDD_CPU_GPU_CV 4204mW/4145mW VDD_SOC 2322mW/2311mW
04-18-2026 13:53:54 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,53%@729] GR3D_FREQ 99% cpu@61.062C soc2@60.718C soc0@59.406C gpu@61.562C tj@61.562C soc1@60C VDD_IN 10841mW/10776mW VDD_CPU_GPU_CV 4197mW/4146mW VDD_SOC 2322mW/2311mW
04-18-2026 13:53:55 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,3%@1510,1%@729,2%@729,0%@960,56%@960] GR3D_FREQ 99% cpu@61.375C soc2@60.812C soc0@59.406C gpu@61.875C tj@61.875C soc1@59.937C VDD_IN 10881mW/10778mW VDD_CPU_GPU_CV 4197mW/4147mW VDD_SOC 2322mW/2311mW
04-18-2026 13:53:55 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1267,54%@1267] GR3D_FREQ 69% cpu@61.5C soc2@60.812C soc0@59.5C gpu@62.031C tj@62.031C soc1@60.187C VDD_IN 10881mW/10780mW VDD_CPU_GPU_CV 4204mW/4148mW VDD_SOC 2322mW/2312mW
04-18-2026 13:53:56 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@1267,50%@1267] GR3D_FREQ 99% cpu@61.187C soc2@60.718C soc0@59.406C gpu@61.593C tj@61.593C soc1@60.218C VDD_IN 10841mW/10781mW VDD_CPU_GPU_CV 4204mW/4149mW VDD_SOC 2322mW/2312mW
04-18-2026 13:53:56 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [2%@1510,1%@1510,0%@729,0%@729,1%@729,52%@729] GR3D_FREQ 99% cpu@61.25C soc2@60.75C soc0@59.406C gpu@61.625C tj@61.625C soc1@60.125C VDD_IN 10920mW/10783mW VDD_CPU_GPU_CV 4204mW/4150mW VDD_SOC 2322mW/2312mW
04-18-2026 13:53:57 RAM 5642/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1036,54%@1036] GR3D_FREQ 99% cpu@61.375C soc2@60.718C soc0@59.406C gpu@61.75C tj@61.75C soc1@60.125C VDD_IN 10920mW/10786mW VDD_CPU_GPU_CV 4204mW/4151mW VDD_SOC 2322mW/2312mW
04-18-2026 13:53:57 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,1%@1267,54%@1267] GR3D_FREQ 99% cpu@61.25C soc2@60.875C soc0@59.437C gpu@61.781C tj@61.781C soc1@60C VDD_IN 10959mW/10789mW VDD_CPU_GPU_CV 4204mW/4152mW VDD_SOC 2322mW/2312mW
04-18-2026 13:53:58 RAM 5643/7620MB (lfb 7x4MB) SWAP 1369/3810MB (cached 16MB) CPU [5%@1510,3%@1510,1%@1510,0%@1510,3%@1267,53%@1267] GR3D_FREQ 77% cpu@61.281C soc2@60.843C soc0@59.5C gpu@61.875C tj@61.875C soc1@60.031C VDD_IN 10920mW/10791mW VDD_CPU_GPU_CV 4243mW/4153mW VDD_SOC 2322mW/2312mW
