04-18-2026 17:34:53 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1235,0%@729,0%@729,0%@729,60%@729,1%@729] GR3D_FREQ 82% cpu@58.812C soc2@58.406C soc0@57.375C gpu@59.312C tj@59.312C soc1@58C VDD_IN 9166mW/9137mW VDD_CPU_GPU_CV 3203mW/3182mW VDD_SOC 2060mW/2054mW
04-18-2026 17:34:53 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@1510,0%@1510,0%@729,0%@729,60%@729,0%@729] GR3D_FREQ 98% cpu@58.937C soc2@58.5C soc0@57.312C gpu@59.375C tj@59.375C soc1@57.968C VDD_IN 9126mW/9136mW VDD_CPU_GPU_CV 3164mW/3181mW VDD_SOC 2060mW/2054mW
04-18-2026 17:34:54 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,3%@729,1%@729,58%@729,0%@729] GR3D_FREQ 98% cpu@58.875C soc2@58.468C soc0@57.312C gpu@59.718C tj@59.718C soc1@57.937C VDD_IN 9270mW/9140mW VDD_CPU_GPU_CV 3277mW/3184mW VDD_SOC 2060mW/2054mW
04-18-2026 17:34:54 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@729,1%@729,54%@729,0%@729] GR3D_FREQ 70% cpu@58.812C soc2@58.5C soc0@57.375C gpu@59.187C tj@59.187C soc1@57.968C VDD_IN 9388mW/9147mW VDD_CPU_GPU_CV 3356mW/3189mW VDD_SOC 2096mW/2055mW
04-18-2026 17:34:55 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,3%@1510,1%@729,0%@729,57%@729,0%@729] GR3D_FREQ 98% cpu@58.843C soc2@58.437C soc0@57.375C gpu@59.656C tj@59.656C soc1@57.937C VDD_IN 9309mW/9151mW VDD_CPU_GPU_CV 3316mW/3192mW VDD_SOC 2060mW/2055mW
04-18-2026 17:34:55 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@729,1%@729,60%@729,0%@729] GR3D_FREQ 98% cpu@59.187C soc2@58.5C soc0@57.343C gpu@59.031C tj@59.031C soc1@58.25C VDD_IN 9166mW/9152mW VDD_CPU_GPU_CV 3203mW/3193mW VDD_SOC 2060mW/2055mW
04-18-2026 17:34:56 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,60%@729,0%@729] GR3D_FREQ 98% cpu@59.281C soc2@58.468C soc0@57.25C gpu@59.218C tj@59.281C soc1@58.093C VDD_IN 9086mW/9150mW VDD_CPU_GPU_CV 3203mW/3193mW VDD_SOC 2060mW/2056mW
04-18-2026 17:34:56 RAM 5850/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,1%@1510,3%@729,1%@729,60%@729,0%@729] GR3D_FREQ 87% cpu@58.937C soc2@58.468C soc0@57.312C gpu@59.343C tj@59.343C soc1@58.125C VDD_IN 9126mW/9149mW VDD_CPU_GPU_CV 3203mW/3193mW VDD_SOC 2060mW/2056mW
04-18-2026 17:34:57 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [2%@1510,0%@1510,1%@729,0%@729,56%@729,0%@729] GR3D_FREQ 68% cpu@59.125C soc2@58.5C soc0@57.343C gpu@59.625C tj@59.625C soc1@58.125C VDD_IN 9309mW/9153mW VDD_CPU_GPU_CV 3316mW/3196mW VDD_SOC 2060mW/2056mW
04-18-2026 17:34:57 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,56%@729,0%@729] GR3D_FREQ 98% cpu@59.218C soc2@58.593C soc0@57.281C gpu@59.468C tj@59.468C soc1@58.156C VDD_IN 9388mW/9159mW VDD_CPU_GPU_CV 3356mW/3200mW VDD_SOC 2096mW/2057mW
