04-18-2026 17:31:34 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,60%@729] GR3D_FREQ 98% cpu@58.031C soc2@57.468C soc0@56.25C gpu@58.187C tj@58.187C soc1@57.156C VDD_IN 9166mW/9081mW VDD_CPU_GPU_CV 3203mW/3156mW VDD_SOC 2060mW/2031mW
04-18-2026 17:31:35 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 88% cpu@58.156C soc2@57.437C soc0@56.156C gpu@58.343C tj@58.343C soc1@57.187C VDD_IN 9086mW/9081mW VDD_CPU_GPU_CV 3164mW/3156mW VDD_SOC 2060mW/2032mW
04-18-2026 17:31:35 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@729,58%@729] GR3D_FREQ 77% cpu@57.843C soc2@57.343C soc0@56.187C gpu@58.562C tj@58.562C soc1@57.187C VDD_IN 9086mW/9081mW VDD_CPU_GPU_CV 3164mW/3157mW VDD_SOC 2020mW/2032mW
04-18-2026 17:31:36 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,0%@887,3%@729,0%@729,0%@729,58%@729] GR3D_FREQ 86% cpu@58.093C soc2@57.375C soc0@56.25C gpu@58.468C tj@58.468C soc1@57.093C VDD_IN 9285mW/9088mW VDD_CPU_GPU_CV 3238mW/3160mW VDD_SOC 2060mW/2033mW
04-18-2026 17:31:36 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 85% cpu@58C soc2@57.437C soc0@56.25C gpu@58.531C tj@58.531C soc1@57.062C VDD_IN 9388mW/9098mW VDD_CPU_GPU_CV 3316mW/3165mW VDD_SOC 2096mW/2035mW
04-18-2026 17:31:37 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [3%@1510,3%@1510,1%@1510,1%@1510,0%@729,56%@729] GR3D_FREQ 77% cpu@57.843C soc2@57.468C soc0@56.187C gpu@58.125C tj@58.125C soc1@57.031C VDD_IN 9349mW/9106mW VDD_CPU_GPU_CV 3316mW/3170mW VDD_SOC 2060mW/2035mW
04-18-2026 17:31:37 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@729,59%@729] GR3D_FREQ 64% cpu@57.937C soc2@57.531C soc0@56.281C gpu@58.5C tj@58.5C soc1@57C VDD_IN 9205mW/9109mW VDD_CPU_GPU_CV 3203mW/3171mW VDD_SOC 2060mW/2036mW
04-18-2026 17:31:38 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [5%@1510,2%@1510,0%@1510,0%@1510,0%@729,60%@729] GR3D_FREQ 54% cpu@58.031C soc2@57.5C soc0@56.375C gpu@58.281C tj@58.281C soc1@56.968C VDD_IN 9126mW/9110mW VDD_CPU_GPU_CV 3203mW/3172mW VDD_SOC 2060mW/2037mW
04-18-2026 17:31:38 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@729,60%@729] GR3D_FREQ 55% cpu@57.906C soc2@57.437C soc0@56.375C gpu@58.218C tj@58.218C soc1@56.968C VDD_IN 9126mW/9110mW VDD_CPU_GPU_CV 3203mW/3172mW VDD_SOC 2060mW/2038mW
04-18-2026 17:31:39 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@729,58%@729] GR3D_FREQ 69% cpu@57.937C soc2@57.468C soc0@56.343C gpu@58.25C tj@58.25C soc1@57.031C VDD_IN 9270mW/9115mW VDD_CPU_GPU_CV 3277mW/3175mW VDD_SOC 2060mW/2038mW
