04-18-2026 17:50:24 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@729,2%@729,52%@729,14%@729,3%@729,0%@729] GR3D_FREQ 55% cpu@55.562C soc2@55.031C soc0@53.812C gpu@55.125C tj@55.562C soc1@54.937C VDD_IN 6600mW/6530mW VDD_CPU_GPU_CV 1637mW/1585mW VDD_SOC 1677mW/1668mW
04-18-2026 17:50:25 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@883,0%@883,72%@883,0%@883,0%@729,0%@729] GR3D_FREQ 46% cpu@55.656C soc2@54.875C soc0@54.062C gpu@55.593C tj@55.656C soc1@54.875C VDD_IN 6520mW/6529mW VDD_CPU_GPU_CV 1597mW/1585mW VDD_SOC 1680mW/1668mW
04-18-2026 17:50:25 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@1510,3%@1510,70%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 47% cpu@55.531C soc2@55.062C soc0@54.093C gpu@55.093C tj@55.531C soc1@54.843C VDD_IN 6600mW/6532mW VDD_CPU_GPU_CV 1597mW/1586mW VDD_SOC 1677mW/1668mW
04-18-2026 17:50:26 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@1510,0%@1510,71%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@55.531C soc2@54.937C soc0@54.031C gpu@55.187C tj@55.531C soc1@54.781C VDD_IN 6520mW/6531mW VDD_CPU_GPU_CV 1557mW/1585mW VDD_SOC 1680mW/1669mW
04-18-2026 17:50:26 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@806,0%@806,68%@806,0%@806,0%@729,0%@729] GR3D_FREQ 68% cpu@55.406C soc2@54.937C soc0@53.937C gpu@55.218C tj@55.406C soc1@54.781C VDD_IN 6560mW/6532mW VDD_CPU_GPU_CV 1597mW/1585mW VDD_SOC 1677mW/1669mW
04-18-2026 17:50:27 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,0%@1510,69%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 72% cpu@55.468C soc2@54.906C soc0@53.937C gpu@55.218C tj@55.468C soc1@55.125C VDD_IN 6560mW/6533mW VDD_CPU_GPU_CV 1597mW/1586mW VDD_SOC 1677mW/1669mW
04-18-2026 17:50:27 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [6%@1510,0%@1510,72%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 52% cpu@55.843C soc2@54.875C soc0@53.968C gpu@55.343C tj@55.843C soc1@55.093C VDD_IN 6560mW/6533mW VDD_CPU_GPU_CV 1597mW/1586mW VDD_SOC 1677mW/1669mW
04-18-2026 17:50:28 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@1510,1%@1510,69%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 71% cpu@55.531C soc2@54.906C soc0@53.906C gpu@55.312C tj@55.531C soc1@55C VDD_IN 6600mW/6535mW VDD_CPU_GPU_CV 1597mW/1586mW VDD_SOC 1677mW/1669mW
04-18-2026 17:50:28 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@883,3%@883,31%@883,43%@883,0%@729,1%@729] GR3D_FREQ 65% cpu@55.625C soc2@54.875C soc0@53.843C gpu@55.375C tj@55.625C soc1@54.875C VDD_IN 6560mW/6536mW VDD_CPU_GPU_CV 1597mW/1586mW VDD_SOC 1677mW/1670mW
04-18-2026 17:50:29 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@806,0%@806,3%@806,69%@806,0%@729,0%@729] GR3D_FREQ 62% cpu@55.656C soc2@55.031C soc0@53.906C gpu@55.187C tj@55.656C soc1@54.968C VDD_IN 6520mW/6535mW VDD_CPU_GPU_CV 1597mW/1587mW VDD_SOC 1677mW/1670mW
