04-18-2026 16:59:46 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.187C soc2@55.312C soc0@54.406C gpu@55.656C tj@56.187C soc1@55.312C VDD_IN 6988mW/6921mW VDD_CPU_GPU_CV 2033mW/2008mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:46 RAM 5299/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 61% cpu@56.125C soc2@55.343C soc0@54.343C gpu@55.593C tj@56.125C soc1@55.218C VDD_IN 6988mW/6924mW VDD_CPU_GPU_CV 2073mW/2010mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:47 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56.25C soc2@55.343C soc0@54.312C gpu@55.625C tj@56.25C soc1@55.531C VDD_IN 6948mW/6924mW VDD_CPU_GPU_CV 2033mW/2011mW VDD_SOC 1637mW/1634mW
04-18-2026 16:59:47 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,3%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@56.187C soc2@55.343C soc0@54.312C gpu@55.718C tj@56.187C soc1@55.531C VDD_IN 6948mW/6925mW VDD_CPU_GPU_CV 2033mW/2012mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:48 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@56.531C soc2@55.375C soc0@54.312C gpu@55.843C tj@56.531C soc1@55.531C VDD_IN 6988mW/6927mW VDD_CPU_GPU_CV 2033mW/2012mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:48 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@56.187C soc2@55.375C soc0@54.343C gpu@56C tj@56.187C soc1@55.406C VDD_IN 6988mW/6929mW VDD_CPU_GPU_CV 2073mW/2014mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:49 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,3%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@56.343C soc2@55.343C soc0@54.312C gpu@55.468C tj@56.343C soc1@55.406C VDD_IN 6948mW/6930mW VDD_CPU_GPU_CV 2033mW/2015mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:49 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.468C soc2@55.343C soc0@54.375C gpu@55.625C tj@56.468C soc1@55.437C VDD_IN 6948mW/6930mW VDD_CPU_GPU_CV 2033mW/2015mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:50 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,1%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@56.562C soc2@55.312C soc0@54.281C gpu@55.562C tj@56.562C soc1@55.437C VDD_IN 6988mW/6932mW VDD_CPU_GPU_CV 2033mW/2016mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:50 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 61% cpu@56.281C soc2@55.25C soc0@54.25C gpu@55.656C tj@56.281C soc1@55.437C VDD_IN 6988mW/6934mW VDD_CPU_GPU_CV 2073mW/2018mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:51 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.406C soc2@55.406C soc0@54.312C gpu@55.812C tj@56.406C soc1@55.437C VDD_IN 6988mW/6935mW VDD_CPU_GPU_CV 2073mW/2019mW VDD_SOC 1634mW/1635mW
04-18-2026 16:59:51 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,0%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.406C soc2@55.375C soc0@54.218C gpu@55.812C tj@56.406C soc1@55.343C VDD_IN 6948mW/6935mW VDD_CPU_GPU_CV 2033mW/2019mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:52 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.312C soc2@55.5C soc0@54.5C gpu@55.718C tj@56.312C soc1@55.312C VDD_IN 6988mW/6937mW VDD_CPU_GPU_CV 2033mW/2020mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:52 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,1%@920,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@56.25C soc2@55.375C soc0@54.468C gpu@55.906C tj@56.25C soc1@55.281C VDD_IN 6988mW/6938mW VDD_CPU_GPU_CV 2073mW/2021mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:53 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,3%@1510,100%@1510] GR3D_FREQ 69% cpu@56.218C soc2@55.375C soc0@54.406C gpu@55.562C tj@56.218C soc1@55.281C VDD_IN 6988mW/6939mW VDD_CPU_GPU_CV 2073mW/2022mW VDD_SOC 1634mW/1635mW
04-18-2026 16:59:53 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,4%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.25C soc2@55.312C soc0@54.406C gpu@55.562C tj@56.25C soc1@55.281C VDD_IN 6948mW/6940mW VDD_CPU_GPU_CV 2033mW/2023mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:54 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,1%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 58% cpu@56.656C soc2@55.343C soc0@54.375C gpu@56.093C tj@56.656C soc1@55.531C VDD_IN 6948mW/6940mW VDD_CPU_GPU_CV 2033mW/2023mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:54 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@1510,1%@983,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@56.281C soc2@55.312C soc0@54.312C gpu@55.593C tj@56.281C soc1@55.562C VDD_IN 6988mW/6941mW VDD_CPU_GPU_CV 2073mW/2024mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:55 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@56.406C soc2@55.375C soc0@54.343C gpu@55.718C tj@56.406C soc1@55.437C VDD_IN 6988mW/6942mW VDD_CPU_GPU_CV 2073mW/2025mW VDD_SOC 1634mW/1635mW
04-18-2026 16:59:55 RAM 5298/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@56.5C soc2@55.281C soc0@54.218C gpu@55.531C tj@56.5C soc1@55.437C VDD_IN 6948mW/6942mW VDD_CPU_GPU_CV 2033mW/2025mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:56 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,1%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 57% cpu@56.312C soc2@55.5C soc0@54.218C gpu@55.625C tj@56.312C soc1@55.343C VDD_IN 6948mW/6942mW VDD_CPU_GPU_CV 2033mW/2025mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:56 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@56.375C soc2@55.406C soc0@54.25C gpu@55.781C tj@56.375C soc1@55.343C VDD_IN 6988mW/6943mW VDD_CPU_GPU_CV 2033mW/2026mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:57 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,1%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 60% cpu@56.218C soc2@55.468C soc0@54.468C gpu@55.625C tj@56.218C soc1@55.312C VDD_IN 6988mW/6944mW VDD_CPU_GPU_CV 2073mW/2027mW VDD_SOC 1634mW/1635mW
04-18-2026 16:59:57 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.25C soc2@55.406C soc0@54.5C gpu@55.718C tj@56.25C soc1@55.25C VDD_IN 6988mW/6945mW VDD_CPU_GPU_CV 2033mW/2027mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:58 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.125C soc2@55.406C soc0@54.437C gpu@55.875C tj@56.281C soc1@55.187C VDD_IN 6948mW/6945mW VDD_CPU_GPU_CV 2033mW/2027mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:58 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,5%@1510,100%@1510] GR3D_FREQ 55% cpu@56.156C soc2@55.25C soc0@54.281C gpu@55.781C tj@56.156C soc1@55.218C VDD_IN 6948mW/6945mW VDD_CPU_GPU_CV 2033mW/2027mW VDD_SOC 1637mW/1635mW
04-18-2026 16:59:59 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,2%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 56% cpu@56.156C soc2@55.375C soc0@54.375C gpu@55.906C tj@56.156C soc1@55.531C VDD_IN 6988mW/6946mW VDD_CPU_GPU_CV 2073mW/2028mW VDD_SOC 1634mW/1635mW
