04-18-2026 13:11:03 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,70%@1510,0%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 63% cpu@57.25C soc2@56.75C soc0@55.687C gpu@57.281C tj@57.281C soc1@56.5C VDD_IN 7842mW/7622mW VDD_CPU_GPU_CV 2543mW/2387mW VDD_SOC 1791mW/1770mW
04-18-2026 13:11:04 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,68%@1510,1%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 76% cpu@57.281C soc2@56.781C soc0@55.593C gpu@57.406C tj@57.406C soc1@56.718C VDD_IN 7881mW/7631mW VDD_CPU_GPU_CV 2579mW/2394mW VDD_SOC 1791mW/1771mW
04-18-2026 13:11:04 RAM 4462/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@729,70%@729,1%@729,0%@729,0%@729,1%@729] GR3D_FREQ 67% cpu@57.593C soc2@56.843C soc0@55.625C gpu@57.312C tj@57.593C soc1@56.718C VDD_IN 7961mW/7643mW VDD_CPU_GPU_CV 2618mW/2402mW VDD_SOC 1791mW/1771mW
04-18-2026 13:11:05 RAM 4463/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,70%@1510,3%@1510,3%@1510,3%@729,1%@729] GR3D_FREQ 62% cpu@57.281C soc2@56.812C soc0@55.625C gpu@57.406C tj@57.406C soc1@56.625C VDD_IN 7842mW/7650mW VDD_CPU_GPU_CV 2543mW/2407mW VDD_SOC 1791mW/1772mW
04-18-2026 13:11:05 RAM 4463/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,71%@1510,1%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 65% cpu@57.406C soc2@56.625C soc0@55.656C gpu@57.531C tj@57.531C soc1@56.593C VDD_IN 7842mW/7656mW VDD_CPU_GPU_CV 2543mW/2412mW VDD_SOC 1791mW/1773mW
04-18-2026 13:11:06 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [16%@1510,15%@1510,36%@1510,0%@1510,3%@729,1%@729] GR3D_FREQ 73% cpu@57.437C soc2@56.937C soc0@55.531C gpu@57.375C tj@57.437C soc1@56.562C VDD_IN 8001mW/7667mW VDD_CPU_GPU_CV 2658mW/2419mW VDD_SOC 1788mW/1773mW
04-18-2026 13:11:06 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@883,0%@883,70%@883,1%@883,1%@729,1%@729] GR3D_FREQ 64% cpu@57.25C soc2@56.875C soc0@55.593C gpu@57.531C tj@57.531C soc1@56.593C VDD_IN 7842mW/7673mW VDD_CPU_GPU_CV 2543mW/2423mW VDD_SOC 1791mW/1774mW
04-18-2026 13:11:07 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,72%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 64% cpu@57.343C soc2@56.812C soc0@55.687C gpu@57.781C tj@57.781C soc1@56.593C VDD_IN 7775mW/7676mW VDD_CPU_GPU_CV 2503mW/2426mW VDD_SOC 1791mW/1774mW
04-18-2026 13:11:07 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@729,0%@729,69%@729,1%@729,0%@729,0%@729] GR3D_FREQ 66% cpu@57.281C soc2@56.875C soc0@55.781C gpu@57.593C tj@57.593C soc1@56.437C VDD_IN 7961mW/7684mW VDD_CPU_GPU_CV 2618mW/2431mW VDD_SOC 1791mW/1775mW
04-18-2026 13:11:08 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,73%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 64% cpu@57.218C soc2@56.812C soc0@55.781C gpu@57.687C tj@57.687C soc1@56.406C VDD_IN 7842mW/7689mW VDD_CPU_GPU_CV 2543mW/2435mW VDD_SOC 1791mW/1775mW
