04-18-2026 15:04:49 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1232,2%@1510,0%@1510,0%@1510,1%@729,68%@729] GR3D_FREQ 71% cpu@57.625C soc2@56.968C soc0@55.687C gpu@57.343C tj@57.625C soc1@56.593C VDD_IN 8240mW/8012mW VDD_CPU_GPU_CV 2737mW/2593mW VDD_SOC 1867mW/1845mW
04-18-2026 15:04:50 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,0%@1510,1%@729,0%@729,0%@729,59%@729] GR3D_FREQ 63% cpu@57.375C soc2@56.968C soc0@55.656C gpu@57.406C tj@57.406C soc1@56.5C VDD_IN 8319mW/8023mW VDD_CPU_GPU_CV 2817mW/2601mW VDD_SOC 1867mW/1846mW
04-18-2026 15:04:50 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,5%@1510,0%@1510,1%@1510,1%@729,68%@729] GR3D_FREQ 61% cpu@57.5C soc2@57C soc0@55.718C gpu@57.593C tj@57.593C soc1@56.531C VDD_IN 8160mW/8028mW VDD_CPU_GPU_CV 2698mW/2605mW VDD_SOC 1867mW/1846mW
04-18-2026 15:04:51 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@806,66%@806] GR3D_FREQ 63% cpu@57.312C soc2@56.937C soc0@55.875C gpu@57.406C tj@57.406C soc1@56.562C VDD_IN 8160mW/8033mW VDD_CPU_GPU_CV 2698mW/2608mW VDD_SOC 1867mW/1847mW
04-18-2026 15:04:51 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,3%@1510,3%@729,1%@729,0%@729,66%@729] GR3D_FREQ 64% cpu@57.343C soc2@56.843C soc0@55.875C gpu@57.562C tj@57.562C soc1@56.593C VDD_IN 8280mW/8041mW VDD_CPU_GPU_CV 2777mW/2614mW VDD_SOC 1867mW/1848mW
04-18-2026 15:04:52 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1231,1%@729,0%@729,0%@729,1%@806,66%@806] GR3D_FREQ 61% cpu@57.437C soc2@56.843C soc0@55.843C gpu@57.656C tj@57.656C soc1@56.5C VDD_IN 8200mW/8046mW VDD_CPU_GPU_CV 2698mW/2616mW VDD_SOC 1867mW/1848mW
04-18-2026 15:04:52 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,2%@806,68%@806] GR3D_FREQ 63% cpu@57.312C soc2@56.937C soc0@55.843C gpu@57.343C tj@57.343C soc1@56.593C VDD_IN 8160mW/8050mW VDD_CPU_GPU_CV 2698mW/2619mW VDD_SOC 1867mW/1849mW
04-18-2026 15:04:53 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [7%@1510,1%@1510,43%@1510,1%@1510,11%@729,16%@729] GR3D_FREQ 70% cpu@57.375C soc2@56.906C soc0@55.843C gpu@57.562C tj@57.562C soc1@56.468C VDD_IN 8160mW/8053mW VDD_CPU_GPU_CV 2698mW/2621mW VDD_SOC 1867mW/1849mW
04-18-2026 15:04:53 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,1%@1510,66%@1510,2%@1510,1%@729,0%@729] GR3D_FREQ 60% cpu@57.343C soc2@56.968C soc0@55.875C gpu@57.531C tj@57.531C soc1@56.531C VDD_IN 8240mW/8059mW VDD_CPU_GPU_CV 2777mW/2626mW VDD_SOC 1867mW/1850mW
04-18-2026 15:04:54 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,0%@1510,67%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 64% cpu@57.281C soc2@56.906C soc0@55.812C gpu@57.468C tj@57.468C soc1@56.5C VDD_IN 8160mW/8061mW VDD_CPU_GPU_CV 2698mW/2628mW VDD_SOC 1867mW/1850mW
