04-18-2026 12:33:02 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.843C soc2@54.875C soc0@53.812C gpu@54.875C tj@55.843C soc1@54.875C VDD_IN 6680mW/6663mW VDD_CPU_GPU_CV 1834mW/1826mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:03 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@55.75C soc2@54.968C soc0@53.812C gpu@55.031C tj@55.75C soc1@54.906C VDD_IN 6720mW/6665mW VDD_CPU_GPU_CV 1873mW/1828mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:03 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.812C soc2@54.906C soc0@53.687C gpu@55.156C tj@55.812C soc1@54.812C VDD_IN 6720mW/6667mW VDD_CPU_GPU_CV 1873mW/1829mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:04 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.843C soc2@54.906C soc0@54C gpu@55.343C tj@55.843C soc1@54.75C VDD_IN 6720mW/6669mW VDD_CPU_GPU_CV 1834mW/1829mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:04 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@55.687C soc2@54.875C soc0@53.937C gpu@55.187C tj@55.687C soc1@54.812C VDD_IN 6680mW/6669mW VDD_CPU_GPU_CV 1834mW/1829mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:05 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.812C soc2@54.812C soc0@53.968C gpu@55.312C tj@55.812C soc1@54.687C VDD_IN 6680mW/6669mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1595mW
04-18-2026 12:33:05 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.656C soc2@54.812C soc0@53.968C gpu@55.531C tj@55.656C soc1@54.812C VDD_IN 6680mW/6670mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:06 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.687C soc2@54.875C soc0@53.875C gpu@55.25C tj@55.687C soc1@54.75C VDD_IN 6720mW/6671mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:06 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@56C soc2@54.812C soc0@53.843C gpu@55.5C tj@55.843C soc1@54.75C VDD_IN 6680mW/6672mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:07 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.656C soc2@54.843C soc0@53.875C gpu@55.093C tj@55.625C soc1@54.75C VDD_IN 6680mW/6672mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:07 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.781C soc2@54.937C soc0@53.843C gpu@55.125C tj@55.781C soc1@55.031C VDD_IN 6680mW/6672mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:08 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.968C soc2@54.812C soc0@53.906C gpu@55.156C tj@55.968C soc1@55.031C VDD_IN 6680mW/6672mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:08 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.968C soc2@54.843C soc0@53.812C gpu@55.375C tj@55.968C soc1@55.062C VDD_IN 6720mW/6673mW VDD_CPU_GPU_CV 1834mW/1830mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:09 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@924,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.625C soc2@54.875C soc0@53.906C gpu@54.937C tj@55.625C soc1@55.031C VDD_IN 6720mW/6675mW VDD_CPU_GPU_CV 1873mW/1831mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:09 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.843C soc2@54.812C soc0@53.843C gpu@55.031C tj@55.843C soc1@54.906C VDD_IN 6680mW/6675mW VDD_CPU_GPU_CV 1873mW/1832mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:10 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@729,5%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.906C soc2@54.843C soc0@53.906C gpu@55.125C tj@55.906C soc1@54.968C VDD_IN 6720mW/6676mW VDD_CPU_GPU_CV 1873mW/1833mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:10 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@56.156C soc2@54.843C soc0@53.843C gpu@55.062C tj@56.156C soc1@54.906C VDD_IN 6720mW/6677mW VDD_CPU_GPU_CV 1873mW/1834mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:11 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@918,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.843C soc2@54.906C soc0@53.812C gpu@55.468C tj@55.75C soc1@54.906C VDD_IN 6720mW/6678mW VDD_CPU_GPU_CV 1873mW/1835mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:12 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.843C soc2@54.843C soc0@53.812C gpu@55.312C tj@55.843C soc1@54.906C VDD_IN 6720mW/6679mW VDD_CPU_GPU_CV 1873mW/1836mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:12 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@55.875C soc2@55C soc0@53.781C gpu@55.562C tj@55.875C soc1@54.812C VDD_IN 6720mW/6680mW VDD_CPU_GPU_CV 1873mW/1837mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:13 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@883,1%@883,0%@883,0%@883,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.75C soc2@55C soc0@53.781C gpu@54.906C tj@55.75C soc1@54.875C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:13 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.843C soc2@54.875C soc0@54.093C gpu@55.093C tj@55.843C soc1@54.875C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1596mW
