04-18-2026 12:28:42 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.156C soc2@54.125C soc0@53.281C gpu@54.437C tj@55.156C soc1@54.062C VDD_IN 6680mW/6676mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:43 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55C soc2@54.187C soc0@53.25C gpu@54.5C tj@55C soc1@54.062C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:43 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.125C soc2@54.187C soc0@53.218C gpu@54.406C tj@55.125C soc1@54.062C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:44 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@911,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@54.906C soc2@54.156C soc0@53.218C gpu@54.531C tj@54.906C soc1@54.062C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:44 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@54.968C soc2@54.218C soc0@53.218C gpu@54.781C tj@54.968C soc1@54.062C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:45 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@55.031C soc2@54.25C soc0@53.218C gpu@54.312C tj@55.031C soc1@54.062C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:45 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.343C soc2@54.093C soc0@53.281C gpu@54.406C tj@55.187C soc1@54.093C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:46 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1509,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@55C soc2@54.156C soc0@53.281C gpu@54.437C tj@55C soc1@54.156C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:46 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.031C soc2@54.218C soc0@53.312C gpu@54.625C tj@55.031C soc1@54.093C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:47 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.281C soc2@54.125C soc0@53.125C gpu@54.25C tj@55.031C soc1@54.125C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
