04-18-2026 17:17:09 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,1%@729,0%@729,0%@729,94%@1510,0%@1510] GR3D_FREQ 97% cpu@61.406C soc2@60.656C soc0@59.218C gpu@61.875C tj@61.875C soc1@59.843C VDD_IN 11296mW/11123mW VDD_CPU_GPU_CV 4668mW/4563mW VDD_SOC 2322mW/2304mW
04-18-2026 17:17:09 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,0%@729,0%@729,96%@1510,0%@1510] GR3D_FREQ 78% cpu@61.25C soc2@60.656C soc0@59.281C gpu@61.593C tj@61.593C soc1@59.843C VDD_IN 11296mW/11128mW VDD_CPU_GPU_CV 4668mW/4566mW VDD_SOC 2318mW/2305mW
04-18-2026 17:17:10 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,3%@729,0%@729,94%@1510,0%@1510] GR3D_FREQ 85% cpu@61.187C soc2@60.687C soc0@59.375C gpu@61.687C tj@61.687C soc1@59.875C VDD_IN 11256mW/11132mW VDD_CPU_GPU_CV 4668mW/4569mW VDD_SOC 2322mW/2305mW
04-18-2026 17:17:10 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,0%@1510,11%@1510,0%@1510,96%@1510,0%@1510] GR3D_FREQ 98% cpu@61.281C soc2@60.718C soc0@59.375C gpu@61.531C tj@61.531C soc1@59.843C VDD_IN 11335mW/11138mW VDD_CPU_GPU_CV 4668mW/4572mW VDD_SOC 2357mW/2307mW
04-18-2026 17:17:11 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,0%@729,0%@729,0%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.25C soc2@60.687C soc0@59.343C gpu@61.562C tj@61.562C soc1@59.843C VDD_IN 11256mW/11141mW VDD_CPU_GPU_CV 4629mW/4574mW VDD_SOC 2322mW/2307mW
04-18-2026 17:17:11 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,3%@1510,1%@729,3%@729,95%@1510,0%@1510] GR3D_FREQ 98% cpu@61.25C soc2@60.718C soc0@59.375C gpu@61.718C tj@61.718C soc1@59.875C VDD_IN 11217mW/11144mW VDD_CPU_GPU_CV 4629mW/4575mW VDD_SOC 2322mW/2308mW
04-18-2026 17:17:12 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,1%@1510,1%@729,96%@1510,0%@1510] GR3D_FREQ 98% cpu@61.156C soc2@60.625C soc0@59.406C gpu@61.843C tj@61.843C soc1@59.843C VDD_IN 11217mW/11146mW VDD_CPU_GPU_CV 4629mW/4577mW VDD_SOC 2322mW/2308mW
04-18-2026 17:17:12 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,1%@1510,1%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.218C soc2@60.656C soc0@59.375C gpu@61.843C tj@61.843C soc1@59.875C VDD_IN 11256mW/11148mW VDD_CPU_GPU_CV 4629mW/4578mW VDD_SOC 2322mW/2308mW
04-18-2026 17:17:13 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,0%@729,1%@729,0%@729,95%@1510,0%@1510] GR3D_FREQ 98% cpu@61.468C soc2@60.718C soc0@59.375C gpu@61.875C tj@61.875C soc1@60.031C VDD_IN 11217mW/11150mW VDD_CPU_GPU_CV 4590mW/4578mW VDD_SOC 2322mW/2309mW
04-18-2026 17:17:13 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,1%@1510,1%@916,1%@729,96%@1510,0%@1510] GR3D_FREQ 98% cpu@61.593C soc2@60.593C soc0@59.375C gpu@61.531C tj@61.593C soc1@60.062C VDD_IN 11256mW/11153mW VDD_CPU_GPU_CV 4629mW/4579mW VDD_SOC 2322mW/2309mW
04-18-2026 17:17:14 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,94%@1510,0%@1510] GR3D_FREQ 98% cpu@61.187C soc2@60.718C soc0@59.375C gpu@61.593C tj@61.593C soc1@60.031C VDD_IN 11217mW/11154mW VDD_CPU_GPU_CV 4629mW/4581mW VDD_SOC 2322mW/2309mW
04-18-2026 17:17:14 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,3%@729,0%@729,96%@1510,1%@1510] GR3D_FREQ 98% cpu@61.437C soc2@60.718C soc0@59.375C gpu@61.593C tj@61.593C soc1@60C VDD_IN 11217mW/11156mW VDD_CPU_GPU_CV 4629mW/4582mW VDD_SOC 2322mW/2310mW
