04-18-2026 18:34:17 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,1%@1510,0%@729,3%@729,0%@1510,77%@1510] GR3D_FREQ 98% cpu@61.625C soc2@61.187C soc0@59.906C gpu@62.218C tj@62.218C soc1@60.343C VDD_IN 11571mW/11450mW VDD_CPU_GPU_CV 4817mW/4729mW VDD_SOC 2357mW/2342mW
04-18-2026 18:34:17 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,78%@1510] GR3D_FREQ 71% cpu@61.687C soc2@61.281C soc0@59.906C gpu@62.25C tj@62.25C soc1@60.312C VDD_IN 11532mW/11452mW VDD_CPU_GPU_CV 4778mW/4731mW VDD_SOC 2357mW/2343mW
04-18-2026 18:34:18 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,3%@1510,2%@729,3%@729,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.625C soc2@61.281C soc0@59.843C gpu@62.531C tj@62.531C soc1@60.312C VDD_IN 11571mW/11456mW VDD_CPU_GPU_CV 4817mW/4733mW VDD_SOC 2357mW/2343mW
04-18-2026 18:34:18 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,80%@1510] GR3D_FREQ 99% cpu@61.656C soc2@61.281C soc0@59.843C gpu@62.281C tj@62.281C soc1@60.375C VDD_IN 11592mW/11459mW VDD_CPU_GPU_CV 4856mW/4736mW VDD_SOC 2357mW/2344mW
04-18-2026 18:34:19 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [5%@1510,1%@1510,1%@729,0%@729,0%@1510,76%@1510] GR3D_FREQ 79% cpu@61.656C soc2@61.281C soc0@59.781C gpu@62.468C tj@62.468C soc1@60.281C VDD_IN 11611mW/11463mW VDD_CPU_GPU_CV 4856mW/4740mW VDD_SOC 2357mW/2344mW
04-18-2026 18:34:19 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [0%@1510,1%@1510,1%@1510,0%@729,0%@1510,76%@1510] GR3D_FREQ 98% cpu@62.093C soc2@61.312C soc0@59.875C gpu@62.125C tj@62.125C soc1@60.312C VDD_IN 11650mW/11468mW VDD_CPU_GPU_CV 4817mW/4742mW VDD_SOC 2357mW/2344mW
04-18-2026 18:34:20 RAM 5677/7620MB (lfb 5x4MB) SWAP 3242/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@729,1%@729,0%@1510,78%@1510] GR3D_FREQ 99% cpu@61.687C soc2@61.25C soc0@59.843C gpu@62.218C tj@62.218C soc1@60.375C VDD_IN 11650mW/11473mW VDD_CPU_GPU_CV 4856mW/4744mW VDD_SOC 2357mW/2344mW
04-18-2026 18:34:20 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@1510,1%@1510,0%@1510,76%@1510] GR3D_FREQ 72% cpu@61.656C soc2@61.25C soc0@59.843C gpu@62.281C tj@62.281C soc1@60.531C VDD_IN 11611mW/11476mW VDD_CPU_GPU_CV 4817mW/4746mW VDD_SOC 2357mW/2345mW
04-18-2026 18:34:21 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1510,79%@1510] GR3D_FREQ 98% cpu@62C soc2@61.312C soc0@59.812C gpu@62.218C tj@62.218C soc1@60.531C VDD_IN 11571mW/11478mW VDD_CPU_GPU_CV 4856mW/4749mW VDD_SOC 2357mW/2345mW
04-18-2026 18:34:21 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,77%@1510] GR3D_FREQ 73% cpu@61.625C soc2@61.156C soc0@59.812C gpu@62.218C tj@62.218C soc1@60.468C VDD_IN 11532mW/11480mW VDD_CPU_GPU_CV 4778mW/4749mW VDD_SOC 2357mW/2345mW
