04-18-2026 12:36:32 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,3%@1190,76%@1190] GR3D_FREQ 66% cpu@54.593C soc2@53.968C soc0@53.031C gpu@54.125C tj@54.593C soc1@53.937C VDD_IN 6089mW/6093mW VDD_CPU_GPU_CV 1360mW/1341mW VDD_SOC 1602mW/1596mW
04-18-2026 12:36:32 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,2%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 64% cpu@55.031C soc2@53.906C soc0@53.031C gpu@54C tj@55.031C soc1@53.937C VDD_IN 6129mW/6094mW VDD_CPU_GPU_CV 1360mW/1341mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:33 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,0%@1190,76%@1190] GR3D_FREQ 51% cpu@55.125C soc2@54C soc0@53.062C gpu@54.125C tj@55.125C soc1@54.218C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1342mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:34 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1211,1%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 62% cpu@54.75C soc2@53.968C soc0@53.031C gpu@54.187C tj@54.75C soc1@54.156C VDD_IN 6129mW/6095mW VDD_CPU_GPU_CV 1360mW/1342mW VDD_SOC 1600mW/1596mW
04-18-2026 12:36:34 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 47% cpu@54.937C soc2@53.906C soc0@53.093C gpu@54.312C tj@54.937C soc1@54.156C VDD_IN 6089mW/6095mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1600mW/1597mW
04-18-2026 12:36:35 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 55% cpu@54.937C soc2@54.125C soc0@53.062C gpu@54.156C tj@54.937C soc1@54.093C VDD_IN 6129mW/6096mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1600mW/1597mW
04-18-2026 12:36:35 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@729,0%@729,0%@1190,75%@1190] GR3D_FREQ 47% cpu@54.843C soc2@54.093C soc0@53.031C gpu@54.25C tj@54.843C soc1@53.968C VDD_IN 6129mW/6097mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1597mW
04-18-2026 12:36:36 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 64% cpu@54.75C soc2@54.031C soc0@53.031C gpu@54.5C tj@54.75C soc1@54.093C VDD_IN 6089mW/6097mW VDD_CPU_GPU_CV 1320mW/1343mW VDD_SOC 1602mW/1597mW
04-18-2026 12:36:36 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 47% cpu@54.875C soc2@54.031C soc0@53C gpu@54.093C tj@54.875C soc1@54.062C VDD_IN 6089mW/6096mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1602mW/1597mW
04-18-2026 12:36:37 RAM 4035/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1510,5%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 51% cpu@54.781C soc2@54.062C soc0@53.156C gpu@54.062C tj@54.781C soc1@54C VDD_IN 6129mW/6097mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1597mW
