04-18-2026 12:35:23 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,3%@1510,3%@1510,0%@1190,73%@1190] GR3D_FREQ 55% cpu@54.812C soc2@54.125C soc0@53.187C gpu@54.625C tj@54.812C soc1@54.375C VDD_IN 6089mW/6087mW VDD_CPU_GPU_CV 1360mW/1338mW VDD_SOC 1600mW/1595mW
04-18-2026 12:35:23 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,2%@1510,0%@1113,74%@1113] GR3D_FREQ 56% cpu@55C soc2@54C soc0@53.156C gpu@54.218C tj@55C soc1@54.25C VDD_IN 6129mW/6089mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1595mW
04-18-2026 12:35:24 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@729,5%@729,0%@729,0%@1190,76%@1190] GR3D_FREQ 52% cpu@55.031C soc2@54.187C soc0@53.093C gpu@54.281C tj@55.031C soc1@54.25C VDD_IN 6089mW/6089mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1600mW/1595mW
04-18-2026 12:35:24 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@1510,0%@1510,0%@1113,73%@1113] GR3D_FREQ 63% cpu@54.812C soc2@54.218C soc0@53.093C gpu@54.687C tj@54.812C soc1@54.25C VDD_IN 6129mW/6090mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:25 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@729,1%@729,0%@729,0%@1190,75%@1190] GR3D_FREQ 63% cpu@54.906C soc2@54.156C soc0@53.343C gpu@54.312C tj@54.906C soc1@54.093C VDD_IN 6089mW/6090mW VDD_CPU_GPU_CV 1360mW/1341mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:25 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 64% cpu@54.812C soc2@54.187C soc0@53.281C gpu@54.375C tj@54.812C soc1@54.156C VDD_IN 6129mW/6091mW VDD_CPU_GPU_CV 1360mW/1341mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:26 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1247,2%@729,1%@729,1%@729,18%@1190,58%@1190] GR3D_FREQ 50% cpu@54.812C soc2@54.125C soc0@53.25C gpu@54.25C tj@54.812C soc1@54.062C VDD_IN 6089mW/6091mW VDD_CPU_GPU_CV 1360mW/1342mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:26 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,1%@1190,74%@1190] GR3D_FREQ 56% cpu@54.875C soc2@54.093C soc0@53.25C gpu@54.375C tj@54.875C soc1@54.125C VDD_IN 6129mW/6092mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:27 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,3%@1510,1%@1510,2%@1190,75%@1190] GR3D_FREQ 53% cpu@54.843C soc2@54.125C soc0@53.218C gpu@54.375C tj@54.843C soc1@54.062C VDD_IN 6089mW/6092mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:27 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,3%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 48% cpu@54.875C soc2@54.125C soc0@53.281C gpu@54.625C tj@54.875C soc1@54.375C VDD_IN 6129mW/6093mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1596mW
