04-18-2026 12:37:33 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,74%@1190,2%@1190,0%@729,0%@729] GR3D_FREQ 65% cpu@54.718C soc2@54.125C soc0@53.031C gpu@54.406C tj@54.718C soc1@54.062C VDD_IN 6129mW/6087mW VDD_CPU_GPU_CV 1360mW/1338mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:33 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,74%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 65% cpu@54.656C soc2@54.093C soc0@53.187C gpu@54.593C tj@54.656C soc1@54.062C VDD_IN 6129mW/6089mW VDD_CPU_GPU_CV 1360mW/1339mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:34 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,3%@1510,76%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 62% cpu@54.625C soc2@54.093C soc0@53.25C gpu@54.312C tj@54.625C soc1@54.125C VDD_IN 6089mW/6089mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1602mW/1597mW
04-18-2026 12:37:34 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,74%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 63% cpu@54.718C soc2@54.031C soc0@53.187C gpu@54.531C tj@54.718C soc1@54C VDD_IN 6129mW/6090mW VDD_CPU_GPU_CV 1360mW/1340mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:35 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,76%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 54% cpu@55.062C soc2@54.093C soc0@53.093C gpu@54.343C tj@55.062C soc1@54.281C VDD_IN 6089mW/6090mW VDD_CPU_GPU_CV 1360mW/1341mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:35 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1113,0%@1113,73%@1113,0%@1113,0%@729,0%@729] GR3D_FREQ 63% cpu@54.625C soc2@54.062C soc0@53.031C gpu@54.562C tj@54.625C soc1@54.312C VDD_IN 6129mW/6091mW VDD_CPU_GPU_CV 1360mW/1341mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:36 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,58%@1510,17%@1510,5%@729,1%@729] GR3D_FREQ 48% cpu@54.875C soc2@54C soc0@53.093C gpu@54.375C tj@54.875C soc1@54.062C VDD_IN 6089mW/6091mW VDD_CPU_GPU_CV 1360mW/1342mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:36 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1113,0%@1113,1%@1113,74%@1113,0%@729,0%@729] GR3D_FREQ 64% cpu@54.906C soc2@54.156C soc0@53.062C gpu@54.531C tj@54.906C soc1@54.031C VDD_IN 6129mW/6092mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:37 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,75%@1510,1%@729,0%@729] GR3D_FREQ 49% cpu@54.75C soc2@54.156C soc0@53.281C gpu@54.312C tj@54.75C soc1@54.062C VDD_IN 6129mW/6093mW VDD_CPU_GPU_CV 1360mW/1343mW VDD_SOC 1600mW/1597mW
04-18-2026 12:37:37 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,19%@1510,56%@1510,1%@729,1%@729] GR3D_FREQ 57% cpu@54.781C soc2@54.125C soc0@53.25C gpu@54.468C tj@54.781C soc1@54.093C VDD_IN 6129mW/6094mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1597mW
