04-18-2026 13:06:28 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@917,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 78% cpu@59.75C soc2@59.125C soc0@57.875C gpu@59.812C tj@59.812C soc1@58.468C VDD_IN 10046mW/9901mW VDD_CPU_GPU_CV 4178mW/4020mW VDD_SOC 2053mW/2023mW
04-18-2026 13:06:28 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 81% cpu@59.656C soc2@59.031C soc0@57.906C gpu@59.812C tj@59.843C soc1@58.375C VDD_IN 10125mW/9909mW VDD_CPU_GPU_CV 4100mW/4023mW VDD_SOC 2013mW/2023mW
04-18-2026 13:06:29 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,100%@1510,1%@1510] GR3D_FREQ 72% cpu@59.687C soc2@59.125C soc0@57.812C gpu@59.875C tj@59.875C soc1@58.437C VDD_IN 10085mW/9916mW VDD_CPU_GPU_CV 4060mW/4024mW VDD_SOC 2013mW/2022mW
04-18-2026 13:06:29 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@729,2%@729,98%@1510,0%@1510] GR3D_FREQ 71% cpu@59.656C soc2@59.031C soc0@57.75C gpu@59.937C tj@59.937C soc1@58.437C VDD_IN 9967mW/9917mW VDD_CPU_GPU_CV 4060mW/4026mW VDD_SOC 2013mW/2022mW
04-18-2026 13:06:30 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@729,3%@729,100%@1510,0%@1510] GR3D_FREQ 74% cpu@59.687C soc2@59C soc0@57.812C gpu@60C tj@60C soc1@58.406C VDD_IN 9967mW/9919mW VDD_CPU_GPU_CV 4139mW/4029mW VDD_SOC 2017mW/2022mW
04-18-2026 13:06:30 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,98%@1510,0%@1510] GR3D_FREQ 75% cpu@59.687C soc2@59.062C soc0@57.875C gpu@60.25C tj@60.25C soc1@58.406C VDD_IN 9967mW/9921mW VDD_CPU_GPU_CV 4100mW/4032mW VDD_SOC 2013mW/2021mW
04-18-2026 13:06:31 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,2%@1510,100%@1510,1%@1510] GR3D_FREQ 80% cpu@59.968C soc2@59.031C soc0@57.75C gpu@59.906C tj@59.968C soc1@58.625C VDD_IN 10046mW/9924mW VDD_CPU_GPU_CV 4060mW/4032mW VDD_SOC 2013mW/2021mW
04-18-2026 13:06:31 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,3%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 75% cpu@59.687C soc2@59.093C soc0@57.843C gpu@60.218C tj@60.218C soc1@58.593C VDD_IN 10085mW/9929mW VDD_CPU_GPU_CV 4172mW/4037mW VDD_SOC 2053mW/2022mW
04-18-2026 13:06:32 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,3%@1510,98%@1510,0%@1510] GR3D_FREQ 68% cpu@59.843C soc2@59C soc0@57.656C gpu@59.812C tj@59.843C soc1@58.593C VDD_IN 10085mW/9934mW VDD_CPU_GPU_CV 4132mW/4039mW VDD_SOC 2053mW/2023mW
04-18-2026 13:06:32 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,3%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 80% cpu@59.843C soc2@59.062C soc0@57.75C gpu@59.937C tj@59.937C soc1@58.625C VDD_IN 10046mW/9937mW VDD_CPU_GPU_CV 4139mW/4042mW VDD_SOC 2053mW/2024mW
