04-18-2026 13:03:13 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,1%@1510,98%@1510] GR3D_FREQ 74% cpu@56.968C soc2@55.906C soc0@54.625C gpu@56.75C tj@56.968C soc1@55.531C VDD_IN 10006mW/9923mW VDD_CPU_GPU_CV 4060mW/4070mW VDD_SOC 2013mW/2013mW
04-18-2026 13:03:13 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@56.718C soc2@55.968C soc0@54.656C gpu@56.937C tj@56.937C soc1@55.5C VDD_IN 9967mW/9924mW VDD_CPU_GPU_CV 4100mW/4071mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:14 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@729,1%@1510,98%@1510] GR3D_FREQ 70% cpu@56.843C soc2@56.156C soc0@54.687C gpu@57.125C tj@57.125C soc1@55.468C VDD_IN 9927mW/9924mW VDD_CPU_GPU_CV 4060mW/4071mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:14 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@56.968C soc2@56.125C soc0@54.687C gpu@56.812C tj@56.968C soc1@55.468C VDD_IN 9927mW/9924mW VDD_CPU_GPU_CV 4021mW/4069mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:15 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 82% cpu@56.718C soc2@56.125C soc0@54.718C gpu@56.968C tj@56.968C soc1@55.562C VDD_IN 9943mW/9925mW VDD_CPU_GPU_CV 4021mW/4068mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:15 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@729,0%@729,1%@1510,98%@1510] GR3D_FREQ 69% cpu@56.812C soc2@56.156C soc0@55.031C gpu@57.031C tj@57.031C soc1@55.531C VDD_IN 9888mW/9924mW VDD_CPU_GPU_CV 4060mW/4067mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:16 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@56.687C soc2@56.125C soc0@55.031C gpu@56.968C tj@56.968C soc1@55.562C VDD_IN 10006mW/9926mW VDD_CPU_GPU_CV 4100mW/4068mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:16 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,1%@1510,1%@729,0%@1510,98%@1510] GR3D_FREQ 79% cpu@56.843C soc2@56.281C soc0@54.937C gpu@57.156C tj@57.156C soc1@55.531C VDD_IN 10125mW/9932mW VDD_CPU_GPU_CV 4139mW/4070mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:17 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@56.812C soc2@56.187C soc0@55C gpu@57.343C tj@57.343C soc1@55.625C VDD_IN 10125mW/9938mW VDD_CPU_GPU_CV 4139mW/4072mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:17 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,3%@1510,98%@1510] GR3D_FREQ 74% cpu@56.781C soc2@56.25C soc0@54.937C gpu@57.343C tj@57.343C soc1@55.656C VDD_IN 9927mW/9938mW VDD_CPU_GPU_CV 4060mW/4072mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:18 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 75% cpu@56.781C soc2@56.25C soc0@55.062C gpu@57C tj@57C soc1@55.656C VDD_IN 10006mW/9940mW VDD_CPU_GPU_CV 4021mW/4071mW VDD_SOC 2013mW/2014mW
