04-18-2026 14:06:36 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [3%@1510,3%@729,0%@729,50%@729,0%@729,0%@729] GR3D_FREQ 57% cpu@58.437C soc2@57.875C soc0@56.625C gpu@58.781C tj@58.781C soc1@57.343C VDD_IN 9745mW/9580mW VDD_CPU_GPU_CV 3902mW/3779mW VDD_SOC 1977mW/1958mW
04-18-2026 14:06:36 RAM 5811/7620MB (lfb 6x4MB) SWAP 3513/3810MB (cached 47MB) CPU [0%@1510,0%@1510,2%@729,51%@729,0%@729,1%@729] GR3D_FREQ 58% cpu@58.593C soc2@57.968C soc0@56.656C gpu@59C tj@59C soc1@57.437C VDD_IN 9769mW/9587mW VDD_CPU_GPU_CV 3942mW/3785mW VDD_SOC 1977mW/1959mW
04-18-2026 14:06:37 RAM 5811/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [5%@1510,26%@1510,1%@729,24%@729,1%@729,0%@729] GR3D_FREQ 93% cpu@58.312C soc2@57.937C soc0@56.593C gpu@59.218C tj@59.218C soc1@57.312C VDD_IN 9745mW/9592mW VDD_CPU_GPU_CV 3902mW/3789mW VDD_SOC 1977mW/1959mW
04-18-2026 14:06:37 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [3%@1510,52%@1510,3%@1510,1%@1510,0%@729,3%@729] GR3D_FREQ 58% cpu@58.531C soc2@58.031C soc0@56.5C gpu@58.968C tj@58.968C soc1@57.375C VDD_IN 9705mW/9596mW VDD_CPU_GPU_CV 3902mW/3793mW VDD_SOC 1977mW/1960mW
04-18-2026 14:06:38 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [0%@1510,13%@1510,2%@1510,0%@1510,35%@729,0%@729] GR3D_FREQ 58% cpu@58.25C soc2@58C soc0@56.75C gpu@59.218C tj@59.218C soc1@57.406C VDD_IN 9785mW/9603mW VDD_CPU_GPU_CV 3902mW/3796mW VDD_SOC 1977mW/1960mW
04-18-2026 14:06:38 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [7%@1510,0%@1510,0%@1510,0%@1510,2%@729,52%@729] GR3D_FREQ 85% cpu@58.25C soc2@57.968C soc0@56.718C gpu@58.75C tj@58.75C soc1@57.375C VDD_IN 9785mW/9608mW VDD_CPU_GPU_CV 3902mW/3800mW VDD_SOC 1977mW/1961mW
04-18-2026 14:06:39 RAM 5811/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [0%@1510,1%@1510,3%@1510,27%@1510,0%@729,25%@729] GR3D_FREQ 74% cpu@58.25C soc2@58C soc0@56.718C gpu@58.812C tj@58.812C soc1@57.375C VDD_IN 9745mW/9613mW VDD_CPU_GPU_CV 3902mW/3803mW VDD_SOC 1977mW/1961mW
04-18-2026 14:06:39 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [1%@1510,0%@1510,2%@1510,52%@1510,1%@729,0%@729] GR3D_FREQ 58% cpu@58.218C soc2@58.031C soc0@56.687C gpu@58.812C tj@58.812C soc1@57.406C VDD_IN 9729mW/9616mW VDD_CPU_GPU_CV 3902mW/3806mW VDD_SOC 1977mW/1962mW
04-18-2026 14:06:40 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [0%@1510,0%@1510,3%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 66% cpu@58.5C soc2@57.968C soc0@56.781C gpu@58.906C tj@58.906C soc1@57.406C VDD_IN 9769mW/9621mW VDD_CPU_GPU_CV 3942mW/3810mW VDD_SOC 1977mW/1962mW
04-18-2026 14:06:40 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [2%@1510,3%@1510,0%@1510,52%@1510,1%@729,0%@729] GR3D_FREQ 88% cpu@58.718C soc2@58C soc0@56.718C gpu@58.75C tj@58.75C soc1@57.531C VDD_IN 9745mW/9624mW VDD_CPU_GPU_CV 3902mW/3812mW VDD_SOC 1977mW/1963mW
04-18-2026 14:06:41 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [3%@1510,0%@1510,1%@1510,51%@1510,1%@729,0%@729] GR3D_FREQ 58% cpu@58.406C soc2@57.968C soc0@56.687C gpu@58.906C tj@58.906C soc1@57.593C VDD_IN 9705mW/9626mW VDD_CPU_GPU_CV 3863mW/3814mW VDD_SOC 1977mW/1963mW
04-18-2026 14:06:41 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [1%@1510,2%@1510,1%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@58.437C soc2@58.062C soc0@56.781C gpu@59.031C tj@59.031C soc1@57.468C VDD_IN 9785mW/9631mW VDD_CPU_GPU_CV 3902mW/3816mW VDD_SOC 1977mW/1963mW
04-18-2026 14:06:42 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [2%@1230,1%@1228,0%@1510,51%@1510,0%@729,0%@729] GR3D_FREQ 85% cpu@58.593C soc2@58.125C soc0@56.718C gpu@58.906C tj@58.906C soc1@57.531C VDD_IN 9785mW/9635mW VDD_CPU_GPU_CV 3863mW/3817mW VDD_SOC 1977mW/1964mW
04-18-2026 14:06:42 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [0%@1510,0%@1510,2%@1510,52%@1510,1%@729,0%@729] GR3D_FREQ 71% cpu@58.468C soc2@58.156C soc0@56.625C gpu@59C tj@59C soc1@57.5C VDD_IN 9745mW/9638mW VDD_CPU_GPU_CV 3863mW/3819mW VDD_SOC 1977mW/1964mW
04-18-2026 14:06:43 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [0%@1510,1%@1510,0%@1510,50%@1510,1%@729,0%@729] GR3D_FREQ 58% cpu@58.437C soc2@58.125C soc0@56.906C gpu@59C tj@59C soc1@57.593C VDD_IN 9785mW/9641mW VDD_CPU_GPU_CV 3902mW/3821mW VDD_SOC 1977mW/1964mW
04-18-2026 14:06:43 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [2%@1510,0%@1510,0%@729,50%@729,0%@729,1%@729] GR3D_FREQ 72% cpu@58.437C soc2@58.093C soc0@56.937C gpu@59.468C tj@59.468C soc1@57.5C VDD_IN 9769mW/9644mW VDD_CPU_GPU_CV 3942mW/3824mW VDD_SOC 1977mW/1965mW
04-18-2026 14:06:44 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [3%@1510,0%@1510,0%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 98% cpu@58.406C soc2@58.156C soc0@56.875C gpu@59.156C tj@59.156C soc1@57.468C VDD_IN 9769mW/9647mW VDD_CPU_GPU_CV 3902mW/3825mW VDD_SOC 1977mW/1965mW
04-18-2026 14:06:44 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [2%@1510,1%@1510,3%@729,51%@729,1%@729,0%@729] GR3D_FREQ 58% cpu@58.406C soc2@58.093C soc0@57C gpu@59.375C tj@59.375C soc1@57.468C VDD_IN 9729mW/9649mW VDD_CPU_GPU_CV 3909mW/3827mW VDD_SOC 1977mW/1965mW
04-18-2026 14:06:45 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [1%@1510,0%@1510,0%@1510,51%@1510,0%@729,0%@729] GR3D_FREQ 90% cpu@58.343C soc2@58.093C soc0@56.937C gpu@58.968C tj@58.968C soc1@57.468C VDD_IN 9745mW/9651mW VDD_CPU_GPU_CV 3902mW/3829mW VDD_SOC 1977mW/1966mW
04-18-2026 14:06:45 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [2%@1510,5%@1510,1%@1510,50%@1510,0%@729,0%@729] GR3D_FREQ 68% cpu@58.406C soc2@58C soc0@56.906C gpu@59.093C tj@59.093C soc1@57.5C VDD_IN 9769mW/9654mW VDD_CPU_GPU_CV 3942mW/3832mW VDD_SOC 1977mW/1966mW
04-18-2026 14:06:46 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [1%@1510,0%@1510,0%@729,51%@729,1%@729,0%@729] GR3D_FREQ 59% cpu@58.75C soc2@58.093C soc0@56.875C gpu@59.156C tj@59.156C soc1@57.375C VDD_IN 9785mW/9657mW VDD_CPU_GPU_CV 3902mW/3833mW VDD_SOC 1977mW/1966mW
04-18-2026 14:06:46 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [3%@1510,0%@729,3%@729,51%@729,0%@729,0%@729] GR3D_FREQ 74% cpu@58.375C soc2@58.125C soc0@56.875C gpu@59.281C tj@59.281C soc1@57.75C VDD_IN 9705mW/9658mW VDD_CPU_GPU_CV 3863mW/3834mW VDD_SOC 1977mW/1966mW
04-18-2026 14:06:47 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [0%@1510,0%@729,0%@729,51%@729,0%@729,3%@729] GR3D_FREQ 83% cpu@58.437C soc2@58.093C soc0@56.875C gpu@58.968C tj@58.968C soc1@57.687C VDD_IN 9729mW/9659mW VDD_CPU_GPU_CV 3902mW/3835mW VDD_SOC 1977mW/1966mW
04-18-2026 14:06:47 RAM 5812/7620MB (lfb 6x4MB) SWAP 3512/3810MB (cached 47MB) CPU [3%@1510,1%@1510,0%@729,50%@729,0%@729,0%@729] GR3D_FREQ 58% cpu@58.718C soc2@58.156C soc0@56.875C gpu@59.343C tj@59.343C soc1@57.656C VDD_IN 9785mW/9662mW VDD_CPU_GPU_CV 3902mW/3836mW VDD_SOC 1977mW/1967mW
