04-18-2026 14:47:32 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@729,64%@729] GR3D_FREQ 58% cpu@56.718C soc2@56.218C soc0@55.25C gpu@56.875C tj@56.875C soc1@56C VDD_IN 7535mW/7447mW VDD_CPU_GPU_CV 2305mW/2244mW VDD_SOC 1751mW/1745mW
04-18-2026 14:47:33 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,61%@729] GR3D_FREQ 59% cpu@56.843C soc2@56.187C soc0@55.218C gpu@56.687C tj@57.031C soc1@55.968C VDD_IN 7456mW/7447mW VDD_CPU_GPU_CV 2265mW/2245mW VDD_SOC 1754mW/1745mW
04-18-2026 14:47:33 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,2%@729,0%@729,0%@729,62%@729] GR3D_FREQ 71% cpu@56.687C soc2@56.218C soc0@55.218C gpu@56.968C tj@56.968C soc1@56C VDD_IN 7535mW/7450mW VDD_CPU_GPU_CV 2305mW/2247mW VDD_SOC 1751mW/1745mW
04-18-2026 14:47:34 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,0%@729,3%@729,2%@729,0%@729,60%@729] GR3D_FREQ 64% cpu@56.656C soc2@56.312C soc0@55.218C gpu@57.093C tj@57.093C soc1@55.937C VDD_IN 7535mW/7453mW VDD_CPU_GPU_CV 2305mW/2249mW VDD_SOC 1751mW/1745mW
04-18-2026 14:47:34 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@729,64%@729] GR3D_FREQ 63% cpu@56.75C soc2@56.218C soc0@55.218C gpu@56.562C tj@56.75C soc1@55.968C VDD_IN 7495mW/7454mW VDD_CPU_GPU_CV 2265mW/2249mW VDD_SOC 1754mW/1746mW
04-18-2026 14:47:35 RAM 5428/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,1%@1510,3%@729,2%@729,0%@729,64%@729] GR3D_FREQ 58% cpu@57.093C soc2@56.218C soc0@55.187C gpu@56.656C tj@57.093C soc1@56.25C VDD_IN 7495mW/7455mW VDD_CPU_GPU_CV 2265mW/2250mW VDD_SOC 1754mW/1746mW
04-18-2026 14:47:35 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,0%@1510,1%@729,1%@729,0%@729,59%@729] GR3D_FREQ 64% cpu@56.75C soc2@56.218C soc0@55.156C gpu@56.781C tj@56.781C soc1@56.156C VDD_IN 7575mW/7459mW VDD_CPU_GPU_CV 2305mW/2251mW VDD_SOC 1751mW/1746mW
04-18-2026 14:47:36 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,62%@729] GR3D_FREQ 64% cpu@56.718C soc2@56.218C soc0@55.187C gpu@57.031C tj@57.031C soc1@56.156C VDD_IN 7575mW/7462mW VDD_CPU_GPU_CV 2305mW/2253mW VDD_SOC 1751mW/1746mW
04-18-2026 14:47:36 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@729,63%@729] GR3D_FREQ 59% cpu@57.062C soc2@56.343C soc0@55.125C gpu@57.093C tj@57.093C soc1@56.218C VDD_IN 7456mW/7462mW VDD_CPU_GPU_CV 2269mW/2253mW VDD_SOC 1754mW/1746mW
04-18-2026 14:47:37 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@729,62%@729] GR3D_FREQ 72% cpu@57.156C soc2@56.218C soc0@55.093C gpu@56.687C tj@57.156C soc1@56.156C VDD_IN 7575mW/7465mW VDD_CPU_GPU_CV 2305mW/2255mW VDD_SOC 1751mW/1747mW
04-18-2026 14:47:37 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 64% cpu@56.781C soc2@56.218C soc0@55.062C gpu@56.718C tj@56.781C soc1@56.187C VDD_IN 7535mW/7467mW VDD_CPU_GPU_CV 2305mW/2256mW VDD_SOC 1751mW/1747mW
04-18-2026 14:47:38 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,64%@729] GR3D_FREQ 64% cpu@56.968C soc2@56.25C soc0@55.093C gpu@56.937C tj@56.968C soc1@56.093C VDD_IN 7456mW/7467mW VDD_CPU_GPU_CV 2269mW/2256mW VDD_SOC 1754mW/1747mW
04-18-2026 14:47:38 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@729,3%@729,0%@729,62%@729] GR3D_FREQ 63% cpu@57C soc2@56.25C soc0@55.156C gpu@57.093C tj@57.093C soc1@56.093C VDD_IN 7535mW/7469mW VDD_CPU_GPU_CV 2305mW/2258mW VDD_SOC 1751mW/1747mW
04-18-2026 14:47:39 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,1%@729,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 59% cpu@57.218C soc2@56.25C soc0@55.187C gpu@56.906C tj@56.906C soc1@55.968C VDD_IN 7535mW/7470mW VDD_CPU_GPU_CV 2305mW/2259mW VDD_SOC 1751mW/1747mW
04-18-2026 14:47:39 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@729,3%@729,0%@729,63%@729] GR3D_FREQ 59% cpu@56.781C soc2@56.218C soc0@55.156C gpu@57.093C tj@57.093C soc1@56.093C VDD_IN 7535mW/7472mW VDD_CPU_GPU_CV 2305mW/2260mW VDD_SOC 1754mW/1747mW
04-18-2026 14:47:40 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@729,63%@729] GR3D_FREQ 59% cpu@56.718C soc2@56.218C soc0@55.125C gpu@56.687C tj@56.718C soc1@56.031C VDD_IN 7456mW/7471mW VDD_CPU_GPU_CV 2269mW/2260mW VDD_SOC 1754mW/1747mW
04-18-2026 14:47:40 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,3%@1510,3%@1510,1%@1510,0%@729,59%@729] GR3D_FREQ 63% cpu@57.062C soc2@56.281C soc0@55.093C gpu@57.093C tj@57.093C soc1@56.218C VDD_IN 7575mW/7474mW VDD_CPU_GPU_CV 2344mW/2262mW VDD_SOC 1751mW/1747mW
