04-18-2026 14:43:18 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,62%@729,0%@729] GR3D_FREQ 59% cpu@55.875C soc2@55.218C soc0@54.125C gpu@55.843C tj@55.875C soc1@55.281C VDD_IN 7456mW/7473mW VDD_CPU_GPU_CV 2269mW/2261mW VDD_SOC 1754mW/1749mW
04-18-2026 14:43:18 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,1%@1510,1%@908,0%@729,61%@729,0%@729] GR3D_FREQ 72% cpu@55.937C soc2@55.187C soc0@54.156C gpu@56.031C tj@56.031C soc1@55.25C VDD_IN 7535mW/7475mW VDD_CPU_GPU_CV 2305mW/2262mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:19 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@729,0%@729,0%@729,62%@729,0%@729] GR3D_FREQ 64% cpu@56.125C soc2@55.187C soc0@54.156C gpu@55.531C tj@56.125C soc1@55.281C VDD_IN 7495mW/7475mW VDD_CPU_GPU_CV 2265mW/2262mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:19 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,3%@729,1%@729,63%@729,0%@729] GR3D_FREQ 63% cpu@55.781C soc2@55.25C soc0@54.093C gpu@55.75C tj@55.781C soc1@55.25C VDD_IN 7495mW/7476mW VDD_CPU_GPU_CV 2265mW/2262mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:20 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,62%@729,0%@729] GR3D_FREQ 59% cpu@55.906C soc2@55.125C soc0@54.125C gpu@55.593C tj@55.906C soc1@55.093C VDD_IN 7456mW/7475mW VDD_CPU_GPU_CV 2229mW/2261mW VDD_SOC 1754mW/1749mW
04-18-2026 14:43:20 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@729,0%@729,0%@729,61%@729,0%@729] GR3D_FREQ 64% cpu@55.968C soc2@55.375C soc0@54.093C gpu@55.812C tj@55.968C soc1@55.156C VDD_IN 7575mW/7478mW VDD_CPU_GPU_CV 2344mW/2263mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:21 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1182,1%@1510,0%@1510,0%@1510,60%@729,0%@729] GR3D_FREQ 65% cpu@55.843C soc2@55.375C soc0@54.093C gpu@55.843C tj@56.187C soc1@55.156C VDD_IN 7535mW/7479mW VDD_CPU_GPU_CV 2305mW/2264mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:21 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,3%@1510,1%@729,64%@729,1%@729] GR3D_FREQ 59% cpu@55.968C soc2@55.343C soc0@54.156C gpu@55.875C tj@55.968C soc1@55.187C VDD_IN 7416mW/7478mW VDD_CPU_GPU_CV 2229mW/2263mW VDD_SOC 1754mW/1749mW
04-18-2026 14:43:22 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@729,1%@729,60%@729,0%@729] GR3D_FREQ 72% cpu@55.906C soc2@55.375C soc0@54.093C gpu@56.218C tj@56.218C soc1@55.062C VDD_IN 7575mW/7480mW VDD_CPU_GPU_CV 2305mW/2264mW VDD_SOC 1751mW/1749mW
04-18-2026 14:43:22 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,2%@1510,1%@1510,62%@729,0%@729] GR3D_FREQ 72% cpu@55.781C soc2@55.343C soc0@54.437C gpu@55.906C tj@55.906C soc1@55.093C VDD_IN 7535mW/7481mW VDD_CPU_GPU_CV 2265mW/2264mW VDD_SOC 1754mW/1750mW
04-18-2026 14:43:23 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,61%@729,0%@729] GR3D_FREQ 59% cpu@55.937C soc2@55.281C soc0@54.312C gpu@56.062C tj@56.062C soc1@55.031C VDD_IN 7456mW/7480mW VDD_CPU_GPU_CV 2229mW/2264mW VDD_SOC 1754mW/1750mW
