04-18-2026 18:06:05 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,1%@1264,2%@729,1%@729,32%@960,42%@960] GR3D_FREQ 65% cpu@54.593C soc2@53.968C soc0@53.125C gpu@54.343C tj@54.593C soc1@53.937C VDD_IN 5969mW/5948mW VDD_CPU_GPU_CV 1280mW/1269mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:05 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,2%@883,72%@883] GR3D_FREQ 55% cpu@54.937C soc2@53.968C soc0@53.062C gpu@54.5C tj@54.937C soc1@54C VDD_IN 5969mW/5948mW VDD_CPU_GPU_CV 1280mW/1269mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:06 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,3%@1510,4%@1510,3%@1510,3%@960,71%@960] GR3D_FREQ 54% cpu@54.562C soc2@54C soc0@53C gpu@54.093C tj@54.562C soc1@54.125C VDD_IN 6009mW/5951mW VDD_CPU_GPU_CV 1280mW/1270mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:06 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,2%@960,72%@960] GR3D_FREQ 53% cpu@54.687C soc2@53.968C soc0@53.062C gpu@54.5C tj@54.687C soc1@54.156C VDD_IN 5969mW/5951mW VDD_CPU_GPU_CV 1280mW/1270mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:07 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,0%@883,70%@883] GR3D_FREQ 51% cpu@54.906C soc2@53.937C soc0@52.968C gpu@54.125C tj@54.906C soc1@54.125C VDD_IN 6009mW/5953mW VDD_CPU_GPU_CV 1320mW/1272mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:07 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,3%@883,73%@883] GR3D_FREQ 69% cpu@54.937C soc2@53.937C soc0@52.968C gpu@54.156C tj@54.937C soc1@54C VDD_IN 6009mW/5955mW VDD_CPU_GPU_CV 1280mW/1272mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:08 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,3%@1510,2%@1510,1%@1510,2%@960,72%@960] GR3D_FREQ 75% cpu@54.781C soc2@54.031C soc0@53.031C gpu@54.062C tj@54.781C soc1@54.031C VDD_IN 5969mW/5955mW VDD_CPU_GPU_CV 1280mW/1272mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:08 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,0%@1510,3%@1510,50%@1510,18%@1036,2%@1036] GR3D_FREQ 75% cpu@54.781C soc2@54.093C soc0@53.062C gpu@54.031C tj@54.781C soc1@54C VDD_IN 5969mW/5956mW VDD_CPU_GPU_CV 1280mW/1272mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:09 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,12%@960,60%@960] GR3D_FREQ 56% cpu@54.718C soc2@54.031C soc0@53.218C gpu@54.25C tj@54.718C soc1@54.062C VDD_IN 5969mW/5956mW VDD_CPU_GPU_CV 1280mW/1272mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:09 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,0%@806,73%@806] GR3D_FREQ 64% cpu@54.75C soc2@53.968C soc0@53.218C gpu@54.093C tj@54.75C soc1@53.968C VDD_IN 5969mW/5956mW VDD_CPU_GPU_CV 1280mW/1273mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:10 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1236,3%@1510,1%@1510,1%@1510,2%@806,72%@806] GR3D_FREQ 65% cpu@54.593C soc2@53.968C soc0@53.093C gpu@54.312C tj@54.593C soc1@53.937C VDD_IN 6009mW/5958mW VDD_CPU_GPU_CV 1320mW/1274mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:10 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,7%@1510,0%@1510,1%@1510,0%@960,72%@960] GR3D_FREQ 63% cpu@54.562C soc2@54.031C soc0@53.125C gpu@54.406C tj@54.562C soc1@54C VDD_IN 5969mW/5958mW VDD_CPU_GPU_CV 1280mW/1274mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:11 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,1%@1510,1%@1510,3%@1510,3%@883,71%@883] GR3D_FREQ 57% cpu@54.875C soc2@53.906C soc0@53.093C gpu@54.187C tj@54.687C soc1@54.187C VDD_IN 6009mW/5959mW VDD_CPU_GPU_CV 1320mW/1275mW VDD_SOC 1562mW/1559mW
04-18-2026 18:06:11 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 60% cpu@55.093C soc2@53.968C soc0@53.062C gpu@54.281C tj@55.093C soc1@54.156C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1275mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:12 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,1%@960,72%@960] GR3D_FREQ 64% cpu@54.718C soc2@54.031C soc0@53.031C gpu@54.593C tj@54.718C soc1@54.125C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:12 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@883,1%@883,48%@883,2%@883,0%@729,26%@729] GR3D_FREQ 62% cpu@54.75C soc2@54.156C soc0@53C gpu@54.343C tj@54.75C soc1@54.125C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
