04-18-2026 13:47:54 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 83% cpu@59.093C soc2@58.812C soc0@57.656C gpu@59.562C tj@59.562C soc1@58.218C VDD_IN 9547mW/9435mW VDD_CPU_GPU_CV 3790mW/3727mW VDD_SOC 1977mW/1942mW
04-18-2026 13:47:54 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,5%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 81% cpu@59.156C soc2@58.812C soc0@57.625C gpu@59.593C tj@59.593C soc1@58.218C VDD_IN 9587mW/9438mW VDD_CPU_GPU_CV 3830mW/3729mW VDD_SOC 1977mW/1943mW
04-18-2026 13:47:55 RAM 5693/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,2%@1510,0%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 90% cpu@59.093C soc2@58.75C soc0@57.625C gpu@59.718C tj@59.718C soc1@58.187C VDD_IN 9547mW/9440mW VDD_CPU_GPU_CV 3830mW/3730mW VDD_SOC 1977mW/1943mW
04-18-2026 13:47:56 RAM 5693/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@729,52%@729] GR3D_FREQ 86% cpu@59.218C soc2@58.843C soc0@57.531C gpu@59.687C tj@59.906C soc1@58.156C VDD_IN 9547mW/9441mW VDD_CPU_GPU_CV 3790mW/3731mW VDD_SOC 1977mW/1944mW
04-18-2026 13:47:56 RAM 5693/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,4%@1510,4%@1510,0%@729,54%@729] GR3D_FREQ 78% cpu@59.062C soc2@58.781C soc0@57.531C gpu@59.656C tj@59.656C soc1@58.187C VDD_IN 9547mW/9443mW VDD_CPU_GPU_CV 3790mW/3732mW VDD_SOC 1938mW/1944mW
04-18-2026 13:47:57 RAM 5693/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@729,52%@729] GR3D_FREQ 77% cpu@59.406C soc2@58.75C soc0@57.625C gpu@59.812C tj@59.812C soc1@58.437C VDD_IN 9547mW/9445mW VDD_CPU_GPU_CV 3790mW/3733mW VDD_SOC 1938mW/1944mW
04-18-2026 13:47:57 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@729,1%@729,0%@729,53%@729] GR3D_FREQ 77% cpu@59.156C soc2@58.75C soc0@57.562C gpu@60.062C tj@60.062C soc1@58.312C VDD_IN 9547mW/9446mW VDD_CPU_GPU_CV 3830mW/3735mW VDD_SOC 1977mW/1944mW
04-18-2026 13:47:58 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@729,52%@729] GR3D_FREQ 77% cpu@59.062C soc2@58.687C soc0@57.5C gpu@59.531C tj@59.531C soc1@58.468C VDD_IN 9547mW/9448mW VDD_CPU_GPU_CV 3830mW/3736mW VDD_SOC 1977mW/1945mW
04-18-2026 13:47:58 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@729,55%@729] GR3D_FREQ 85% cpu@59.218C soc2@58.75C soc0@57.5C gpu@60C tj@60C soc1@58.375C VDD_IN 9507mW/9449mW VDD_CPU_GPU_CV 3790mW/3737mW VDD_SOC 1938mW/1945mW
04-18-2026 13:47:59 RAM 5694/7620MB (lfb 3x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@729,5%@729,1%@729,0%@729,50%@729] GR3D_FREQ 87% cpu@59.437C soc2@58.906C soc0@57.593C gpu@59.625C tj@59.625C soc1@58.281C VDD_IN 9547mW/9450mW VDD_CPU_GPU_CV 3830mW/3739mW VDD_SOC 1977mW/1945mW
