04-18-2026 13:45:30 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,3%@1510,0%@729,3%@729,53%@729,0%@729] GR3D_FREQ 77% cpu@58.468C soc2@58.156C soc0@56.937C gpu@59.25C tj@59.25C soc1@57.593C VDD_IN 9507mW/9334mW VDD_CPU_GPU_CV 3790mW/3664mW VDD_SOC 1938mW/1925mW
04-18-2026 13:45:30 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 77% cpu@58.781C soc2@58.156C soc0@57C gpu@58.937C tj@58.937C soc1@57.562C VDD_IN 9468mW/9338mW VDD_CPU_GPU_CV 3790mW/3668mW VDD_SOC 1938mW/1925mW
04-18-2026 13:45:31 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,54%@729,1%@729] GR3D_FREQ 76% cpu@58.968C soc2@58.187C soc0@56.968C gpu@58.968C tj@58.968C soc1@57.718C VDD_IN 9428mW/9341mW VDD_CPU_GPU_CV 3751mW/3671mW VDD_SOC 1938mW/1925mW
04-18-2026 13:45:31 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1506,1%@729,1%@729,3%@729,50%@729] GR3D_FREQ 78% cpu@58.625C soc2@58.187C soc0@57C gpu@58.968C tj@58.968C soc1@57.718C VDD_IN 9468mW/9345mW VDD_CPU_GPU_CV 3751mW/3674mW VDD_SOC 1938mW/1926mW
04-18-2026 13:45:32 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [2%@1510,0%@1510,3%@729,1%@729,52%@729,0%@729] GR3D_FREQ 78% cpu@58.718C soc2@58.187C soc0@57C gpu@59C tj@59.281C soc1@57.718C VDD_IN 9468mW/9349mW VDD_CPU_GPU_CV 3751mW/3676mW VDD_SOC 1941mW/1926mW
04-18-2026 13:45:32 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,53%@729,1%@729] GR3D_FREQ 93% cpu@58.875C soc2@58.187C soc0@57C gpu@59.062C tj@59.062C soc1@57.75C VDD_IN 9468mW/9353mW VDD_CPU_GPU_CV 3751mW/3678mW VDD_SOC 1938mW/1927mW
04-18-2026 13:45:33 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 77% cpu@58.5C soc2@58.25C soc0@57C gpu@59.156C tj@59.156C soc1@57.781C VDD_IN 9468mW/9356mW VDD_CPU_GPU_CV 3751mW/3680mW VDD_SOC 1938mW/1927mW
04-18-2026 13:45:33 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,48%@729,4%@729] GR3D_FREQ 77% cpu@58.687C soc2@58.281C soc0@56.906C gpu@59.406C tj@59.406C soc1@57.75C VDD_IN 9468mW/9359mW VDD_CPU_GPU_CV 3790mW/3683mW VDD_SOC 1938mW/1927mW
04-18-2026 13:45:34 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [11%@1510,41%@729,3%@729,5%@729,5%@729,0%@729] GR3D_FREQ 87% cpu@58.75C soc2@58.218C soc0@57.031C gpu@59C tj@59C soc1@57.75C VDD_IN 9428mW/9361mW VDD_CPU_GPU_CV 3751mW/3685mW VDD_SOC 1941mW/1928mW
04-18-2026 13:45:34 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,52%@1510,1%@729,2%@729,0%@729,0%@729] GR3D_FREQ 76% cpu@58.906C soc2@58.187C soc0@57C gpu@59.062C tj@59.062C soc1@57.75C VDD_IN 9507mW/9365mW VDD_CPU_GPU_CV 3751mW/3687mW VDD_SOC 1938mW/1928mW
04-18-2026 13:45:35 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,34%@929,0%@729,1%@729,3%@729,15%@729] GR3D_FREQ 76% cpu@58.718C soc2@58.187C soc0@57C gpu@59.187C tj@59.187C soc1@57.781C VDD_IN 9468mW/9368mW VDD_CPU_GPU_CV 3751mW/3689mW VDD_SOC 1938mW/1928mW
04-18-2026 13:45:35 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,1%@729,53%@729,0%@729] GR3D_FREQ 87% cpu@58.75C soc2@58.406C soc0@57C gpu@59.281C tj@59.281C soc1@57.781C VDD_IN 9507mW/9371mW VDD_CPU_GPU_CV 3790mW/3691mW VDD_SOC 1938mW/1928mW
04-18-2026 13:45:36 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,55%@729,1%@729] GR3D_FREQ 77% cpu@58.75C soc2@58.312C soc0@57C gpu@59.031C tj@59.031C soc1@57.656C VDD_IN 9468mW/9374mW VDD_CPU_GPU_CV 3751mW/3693mW VDD_SOC 1938mW/1929mW
04-18-2026 13:45:36 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1505,1%@729,0%@729,51%@729,1%@729] GR3D_FREQ 77% cpu@58.593C soc2@58.343C soc0@57C gpu@59.125C tj@59.125C soc1@57.781C VDD_IN 9468mW/9376mW VDD_CPU_GPU_CV 3790mW/3695mW VDD_SOC 1938mW/1929mW
04-18-2026 13:45:37 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,54%@729,0%@729] GR3D_FREQ 83% cpu@58.625C soc2@58.437C soc0@57C gpu@59.156C tj@59.156C soc1@57.843C VDD_IN 9468mW/9378mW VDD_CPU_GPU_CV 3790mW/3697mW VDD_SOC 1938mW/1929mW
04-18-2026 13:45:37 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,0%@729,53%@729,0%@729] GR3D_FREQ 75% cpu@58.718C soc2@58.375C soc0@57C gpu@59.281C tj@59.281C soc1@57.687C VDD_IN 9507mW/9381mW VDD_CPU_GPU_CV 3790mW/3700mW VDD_SOC 1938mW/1929mW
04-18-2026 13:45:38 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [13%@1510,40%@1510,3%@729,0%@729,7%@729,0%@729] GR3D_FREQ 77% cpu@58.687C soc2@58.281C soc0@57.156C gpu@59.531C tj@59.531C soc1@57.781C VDD_IN 9468mW/9383mW VDD_CPU_GPU_CV 3790mW/3702mW VDD_SOC 1938mW/1929mW
04-18-2026 13:45:38 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@729,50%@729,3%@729,1%@729,1%@729,0%@729] GR3D_FREQ 90% cpu@58.687C soc2@58.343C soc0@57.312C gpu@59.218C tj@59.125C soc1@57.812C VDD_IN 9507mW/9386mW VDD_CPU_GPU_CV 3751mW/3703mW VDD_SOC 1938mW/1930mW
04-18-2026 13:45:39 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [5%@1510,1%@729,0%@729,0%@729,53%@729,0%@729] GR3D_FREQ 77% cpu@58.75C soc2@58.281C soc0@57.218C gpu@59.406C tj@59.406C soc1@57.812C VDD_IN 9507mW/9389mW VDD_CPU_GPU_CV 3790mW/3705mW VDD_SOC 1938mW/1930mW
04-18-2026 13:45:39 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@729,1%@729,52%@729,0%@729] GR3D_FREQ 76% cpu@58.562C soc2@58.25C soc0@57.187C gpu@59.093C tj@59.093C soc1@57.75C VDD_IN 9507mW/9391mW VDD_CPU_GPU_CV 3790mW/3706mW VDD_SOC 1938mW/1930mW
04-18-2026 13:45:40 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,0%@729,54%@729,1%@729] GR3D_FREQ 93% cpu@58.75C soc2@58.25C soc0@57.125C gpu@59.125C tj@59.125C soc1@57.75C VDD_IN 9468mW/9393mW VDD_CPU_GPU_CV 3790mW/3708mW VDD_SOC 1938mW/1930mW
04-18-2026 13:45:40 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,52%@729,0%@729] GR3D_FREQ 79% cpu@58.687C soc2@58.281C soc0@57.187C gpu@59.281C tj@59.281C soc1@57.75C VDD_IN 9507mW/9395mW VDD_CPU_GPU_CV 3790mW/3710mW VDD_SOC 1938mW/1930mW
04-18-2026 13:45:41 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@729,0%@729,50%@729,1%@729] GR3D_FREQ 77% cpu@58.593C soc2@58.25C soc0@57.218C gpu@59.375C tj@59.375C soc1@57.656C VDD_IN 9507mW/9397mW VDD_CPU_GPU_CV 3751mW/3711mW VDD_SOC 1941mW/1930mW
04-18-2026 13:45:41 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,3%@1510,1%@729,1%@729,32%@729,18%@729] GR3D_FREQ 77% cpu@58.687C soc2@58.312C soc0@57.093C gpu@59.218C tj@59.218C soc1@57.687C VDD_IN 9507mW/9399mW VDD_CPU_GPU_CV 3790mW/3712mW VDD_SOC 1938mW/1931mW
