04-18-2026 16:18:53 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@806,8%@806,5%@806,58%@806,0%@729,0%@729] GR3D_FREQ 73% cpu@56.375C soc2@55.843C soc0@54.812C gpu@56.593C tj@56.593C soc1@55.687C VDD_IN 7416mW/7278mW VDD_CPU_GPU_CV 2149mW/2053mW VDD_SOC 1794mW/1765mW
04-18-2026 16:18:54 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,62%@1510,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 71% cpu@56.625C soc2@55.906C soc0@54.937C gpu@56.5C tj@56.625C soc1@55.75C VDD_IN 7495mW/7285mW VDD_CPU_GPU_CV 2229mW/2059mW VDD_SOC 1794mW/1766mW
04-18-2026 16:18:54 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,3%@1510,3%@1510,68%@1510,1%@729,0%@729] GR3D_FREQ 59% cpu@56.312C soc2@55.906C soc0@54.968C gpu@56.562C tj@56.562C soc1@55.656C VDD_IN 7376mW/7288mW VDD_CPU_GPU_CV 2149mW/2062mW VDD_SOC 1794mW/1766mW
04-18-2026 16:18:55 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,0%@1510,0%@1510,66%@1510,0%@729,0%@729] GR3D_FREQ 61% cpu@56.406C soc2@55.843C soc0@54.968C gpu@56.093C tj@56.406C soc1@55.593C VDD_IN 7336mW/7289mW VDD_CPU_GPU_CV 2109mW/2063mW VDD_SOC 1754mW/1766mW
04-18-2026 16:18:55 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,1%@1510,0%@729,64%@729,3%@729,0%@729] GR3D_FREQ 70% cpu@56.281C soc2@55.937C soc0@54.937C gpu@56.406C tj@56.406C soc1@55.562C VDD_IN 7535mW/7297mW VDD_CPU_GPU_CV 2225mW/2068mW VDD_SOC 1794mW/1767mW
04-18-2026 16:18:56 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [4%@1510,1%@1510,0%@1510,68%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@56.375C soc2@55.906C soc0@54.843C gpu@56.156C tj@56.375C soc1@55.718C VDD_IN 7376mW/7299mW VDD_CPU_GPU_CV 2109mW/2069mW VDD_SOC 1794mW/1768mW
04-18-2026 16:18:56 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [5%@1510,1%@1510,0%@1510,66%@1510,3%@729,0%@729] GR3D_FREQ 61% cpu@56.625C soc2@55.812C soc0@54.812C gpu@56.312C tj@56.625C soc1@55.812C VDD_IN 7336mW/7300mW VDD_CPU_GPU_CV 2109mW/2070mW VDD_SOC 1794mW/1768mW
04-18-2026 16:18:57 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,0%@1510,0%@729,5%@729,59%@729,2%@729] GR3D_FREQ 59% cpu@56.812C soc2@55.843C soc0@54.906C gpu@56.375C tj@56.812C soc1@55.781C VDD_IN 7456mW/7304mW VDD_CPU_GPU_CV 2189mW/2073mW VDD_SOC 1794mW/1769mW
04-18-2026 16:18:58 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,18%@729,50%@729] GR3D_FREQ 58% cpu@56.406C soc2@55.812C soc0@54.781C gpu@56.531C tj@56.531C soc1@55.812C VDD_IN 7456mW/7308mW VDD_CPU_GPU_CV 2189mW/2077mW VDD_SOC 1794mW/1770mW
04-18-2026 16:18:58 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,42%@1510,5%@1510,1%@1510,26%@729,0%@729] GR3D_FREQ 60% cpu@56.687C soc2@55.843C soc0@54.75C gpu@56.375C tj@56.687C soc1@55.75C VDD_IN 7336mW/7309mW VDD_CPU_GPU_CV 2109mW/2077mW VDD_SOC 1794mW/1770mW
04-18-2026 16:18:59 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@729,26%@729,38%@729,0%@729,0%@729,0%@729] GR3D_FREQ 59% cpu@56.812C soc2@55.937C soc0@54.781C gpu@56.562C tj@56.812C soc1@55.718C VDD_IN 7456mW/7312mW VDD_CPU_GPU_CV 2189mW/2080mW VDD_SOC 1794mW/1771mW
04-18-2026 16:18:59 RAM 5448/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [5%@1510,64%@1510,0%@729,1%@729,1%@729,0%@729] GR3D_FREQ 56% cpu@56.531C soc2@56C soc0@55C gpu@56.781C tj@56.781C soc1@55.75C VDD_IN 7495mW/7317mW VDD_CPU_GPU_CV 2189mW/2083mW VDD_SOC 1794mW/1771mW
04-18-2026 16:19:00 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,68%@1510,2%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 55% cpu@56.531C soc2@56C soc0@54.937C gpu@56.187C tj@56.531C soc1@55.687C VDD_IN 7416mW/7319mW VDD_CPU_GPU_CV 2149mW/2084mW VDD_SOC 1794mW/1772mW
04-18-2026 16:19:00 RAM 5446/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,65%@1510,1%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 60% cpu@56.406C soc2@55.937C soc0@54.937C gpu@56.718C tj@56.718C soc1@55.75C VDD_IN 7376mW/7320mW VDD_CPU_GPU_CV 2109mW/2085mW VDD_SOC 1794mW/1772mW
04-18-2026 16:19:01 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,64%@729,0%@729,3%@729,3%@729,0%@729] GR3D_FREQ 58% cpu@56.5C soc2@56C soc0@54.906C gpu@56.25C tj@56.5C soc1@55.75C VDD_IN 7495mW/7324mW VDD_CPU_GPU_CV 2189mW/2087mW VDD_SOC 1794mW/1773mW
04-18-2026 16:19:01 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,68%@894,1%@729,1%@729,0%@729,0%@729] GR3D_FREQ 57% cpu@56.562C soc2@55.937C soc0@54.937C gpu@56.375C tj@56.562C soc1@55.718C VDD_IN 7388mW/7326mW VDD_CPU_GPU_CV 2109mW/2088mW VDD_SOC 1794mW/1773mW
04-18-2026 16:19:02 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,66%@1510,3%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 60% cpu@56.468C soc2@56.031C soc0@54.875C gpu@56.437C tj@56.468C soc1@55.687C VDD_IN 7348mW/7326mW VDD_CPU_GPU_CV 2109mW/2088mW VDD_SOC 1754mW/1773mW
04-18-2026 16:19:02 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [5%@1510,64%@1510,1%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 71% cpu@56.468C soc2@55.968C soc0@54.906C gpu@56.468C tj@56.656C soc1@56C VDD_IN 7456mW/7329mW VDD_CPU_GPU_CV 2189mW/2090mW VDD_SOC 1794mW/1773mW
04-18-2026 16:19:03 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,67%@1510,3%@1510,0%@1510,3%@729,1%@729] GR3D_FREQ 60% cpu@56.843C soc2@56C soc0@54.875C gpu@56.437C tj@56.843C soc1@55.937C VDD_IN 7416mW/7331mW VDD_CPU_GPU_CV 2149mW/2092mW VDD_SOC 1794mW/1774mW
04-18-2026 16:19:03 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,70%@1510,0%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 60% cpu@56.406C soc2@55.937C soc0@54.875C gpu@56.562C tj@56.562C soc1@55.937C VDD_IN 7296mW/7330mW VDD_CPU_GPU_CV 2109mW/2092mW VDD_SOC 1754mW/1773mW
