Runs,Strategy,Start_frame,End_frame,Total_frames
2,BSS,265,648,731
2,BSS,815,648,167
2,BSS,403,646,243
2,BSS,568,646,78
2,BSS,112,646,534
2,BSS,587,648,1053
2,BSS,833,648,185
2,BSS,426,648,892
2,BSS,836,648,188
2,BSS,398,648,864
2,BSS,79,646,567
2,BSS,469,648,935
2,BSS,394,648,860
2,BSS,855,648,207
2,BSS,743,648,95
2,BSS,576,646,70
2,BSS,173,648,639
2,BSS,1086,648,438
2,BSS,752,646,1008
2,BSS,450,646,196
2,BSS,176,648,642
2,BSS,249,646,397
2,BSS,39,646,607
2,BSS,44,646,602
2,BSS,112,646,534
2,BSS,206,646,440
2,BSS,1065,648,417
2,BSS,137,646,509
2,BSS,1061,648,413
2,BSS,223,646,423
2,BSS,968,648,320
2,BSS,840,646,920
2,BSS,84,646,562
2,BSS,181,648,647
2,BSS,878,648,230
2,BSS,809,648,161
2,BSS,1088,646,672
2,BSS,242,648,708
2,BSS,475,648,941
2,BSS,888,646,872
2,BSS,252,646,394
2,BSS,446,648,912
2,BSS,876,646,884
2,BSS,870,646,890
2,BSS,695,646,1065
2,BSS,408,646,238
2,BSS,660,648,12
2,BSS,1046,646,714
2,BSS,859,648,211
2,BSS,53,646,593
2,BSS,41,646,605
2,BSS,917,646,843
2,BSS,330,648,796
2,BSS,159,646,487
2,BSS,204,648,670
2,BSS,827,646,933
2,BSS,105,648,571
2,BSS,614,646,32
2,BSS,880,648,232
2,BSS,455,646,191
2,BSS,1010,646,750
2,BSS,533,646,113
2,BSS,384,646,262
2,BSS,323,648,789
2,BSS,244,648,710
2,BSS,594,648,1060
2,BSS,319,648,785
2,BSS,832,648,184
2,BSS,249,648,715
2,BSS,1011,648,363
2,BSS,1111,648,463
2,BSS,801,646,959
2,BSS,99,646,547
2,BSS,756,648,108
2,BSS,956,648,308
2,BSS,119,646,527
2,BSS,294,646,352
2,BSS,973,646,787
2,BSS,161,646,485
2,BSS,545,648,1011
2,BSS,584,648,1050
2,BSS,98,646,548
2,BSS,1045,648,397
2,BSS,461,648,927
2,BSS,233,646,413
2,BSS,1007,646,753
2,BSS,24,648,490
2,BSS,192,648,658
2,BSS,200,648,666
2,BSS,1010,648,362
2,BSS,43,646,603
2,BSS,123,646,523
2,BSS,82,646,564
2,BSS,324,646,322
2,BSS,1003,648,355
2,BSS,621,646,25
2,BSS,985,646,775
2,BSS,669,648,21
2,BSS,354,646,292
2,BSS,840,648,192
2,BSS,533,648,999
2,BSS,307,646,339
2,BSS,407,646,239
2,BSS,545,648,1011
2,BSS,412,648,878
2,BSS,186,648,652
2,BSS,103,648,569
2,BSS,26,648,492
2,BSS,854,646,906
2,BSS,581,646,65
2,BSS,122,646,524
2,BSS,794,648,146
2,BSS,443,648,909
2,BSS,428,648,894
2,BSS,535,646,111
2,BSS,980,646,780
2,BSS,85,646,561
2,BSS,1086,648,438
2,BSS,779,646,981
2,BSS,534,646,112
2,BSS,1093,646,667
2,BSS,381,646,265
2,BSS,705,646,1055
2,BSS,623,648,1089
2,BSS,160,648,626
2,BSS,492,646,154
2,BSS,317,648,783
2,BSS,937,646,823
2,BSS,221,646,425
2,BSS,470,646,176
2,BSS,176,648,642
2,BSS,359,648,825
2,BSS,820,648,172
2,BSS,1034,646,726
2,BSS,375,648,841
2,BSS,63,646,583
2,BSS,769,646,991
2,BSS,3,646,643
2,BSS,3,648,469
2,BSS,128,648,594
2,BSS,312,648,778
2,BSS,196,648,662
2,BSS,640,646,6
2,BSS,605,646,41
2,BSS,244,646,402
2,BSS,916,648,268
2,BSS,421,646,225
2,BSS,544,648,1010
2,BSS,966,646,794
2,BSS,371,648,837
2,BSS,329,648,795
2,BSS,464,646,182
2,BSS,406,648,872
2,BSS,958,646,802
2,BSS,536,646,110
2,BSS,64,648,530
2,BSS,75,646,571
2,BSS,1014,646,746
2,BSS,280,648,746
2,BSS,640,646,6
2,BSS,587,646,59
2,BSS,477,648,943
2,BSS,103,646,543
2,BSS,106,648,572
2,BSS,540,648,1006
2,BSS,272,646,374
2,BSS,671,646,1089
2,BSS,215,648,681
2,BSS,60,648,526
2,BSS,138,648,604
2,BSS,853,648,205
2,BSS,229,648,695
2,BSS,375,648,841
2,BSS,208,648,674
2,BSS,41,648,507
2,BSS,1022,648,374
2,BSS,96,646,550
2,BSS,855,648,207
2,BSS,575,648,1041
2,BSS,192,646,454
2,BSS,978,648,330
2,BSS,561,646,85
2,BSS,522,646,124
2,BSS,945,646,815
2,BSS,748,646,1012
2,BSS,1,646,645
2,BSS,1011,646,749
2,BSS,469,646,177
2,BSS,735,648,87
2,BSS,933,648,285
2,BSS,567,646,79
2,BSS,122,648,588
2,BSS,725,648,77
2,BSS,1042,648,394
2,BSS,273,648,739
2,BSS,221,648,687
2,BSS,714,648,66
2,BSS,806,648,158
2,BSS,784,648,136
2,BSS,451,648,917
2,BSS,883,646,877
2,BSS,369,646,277
2,BSS,310,648,776
2,BSS,940,648,292
2,BSS,770,646,990
2,BSS,384,646,262
2,BSS,551,646,95
2,BSS,325,648,791
2,BSS,109,648,575
2,BSS,188,648,654
2,BSS,200,648,666
2,BSS,510,648,976
2,BSS,269,648,735
2,BSS,854,648,206
2,BSS,876,648,228
2,BSS,258,648,724
2,BSS,36,648,502
2,BSS,53,646,593
2,BSS,699,648,51
2,BSS,402,646,244
2,BSS,33,648,499
2,BSS,349,646,297
2,BSS,731,648,83
2,BSS,851,648,203
2,BSS,1047,648,399
2,BSS,510,646,136
2,BSS,1061,648,413
2,BSS,879,648,231
2,BSS,677,648,29
2,BSS,734,646,1026
2,BSS,393,646,253
2,BSS,596,648,1062
2,BSS,7,648,473
2,BSS,612,646,34
2,BSS,102,646,544
2,BSS,891,648,243
2,BSS,1032,646,728
2,BSS,1085,646,675
2,BSS,129,648,595
2,BSS,781,648,133
2,BSS,951,648,303
2,BSS,914,648,266
2,BSS,13,646,633
2,BSS,498,648,964
2,BSS,810,646,950
2,BSS,250,646,396
2,BSS,624,646,22
2,BSS,197,646,449
2,BSS,982,646,778
2,BSS,668,648,20
2,BSS,912,648,264
2,BSS,1072,648,424
2,BSS,187,648,653
2,BSS,788,646,972
2,BSS,119,646,527
2,BSS,780,648,132
2,BSS,29,646,617
2,BSS,66,646,580
2,BSS,271,646,375
2,BSS,459,648,925
2,BSS,854,646,906
2,BSS,814,648,166
2,BSS,456,646,190
2,BSS,498,648,964
2,BSS,594,646,52
2,BSS,404,648,870
2,BSS,603,648,1069
2,BSS,1040,646,720
2,BSS,697,646,1063
2,BSS,377,648,843
2,BSS,666,648,18
2,BSS,701,646,1059
2,BSS,808,648,160
2,BSS,709,648,61
2,BSS,973,648,325
2,BSS,452,648,918
2,BSS,234,648,700
2,BSS,35,646,611
2,BSS,316,646,330
2,BSS,582,648,1048
2,BSS,370,648,836
2,BSS,770,646,990
2,BSS,166,646,480
2,BSS,45,646,601
2,BSS,972,646,788
2,BSS,122,648,588
2,BSS,1003,648,355
2,BSS,43,648,509
2,BSS,573,646,73
2,BSS,470,646,176
2,BSS,543,648,1009
2,BSS,1085,648,437
2,BSS,225,648,691
2,BSS,531,646,115
2,BSS,702,646,1058
2,BSS,578,646,68
2,BSS,910,646,850
2,BSS,305,646,341
2,BSS,474,646,172
2,BSS,275,646,371
2,BSS,181,648,647
2,BSS,342,646,304
2,BSS,478,646,168
2,BSS,278,646,368
2,BSS,746,646,1014
2,BSS,150,648,616
2,BSS,500,646,146
2,BSS,288,648,754
2,BSS,684,648,36
2,BSS,260,646,386
2,BSS,1053,648,405
2,BSS,1086,646,674
2,BSS,110,648,576
2,BSS,380,648,846
2,BSS,442,646,204
2,BSS,88,648,554
2,BSS,82,646,564
2,BSS,579,646,67
2,BSS,148,648,614
2,BSS,161,646,485
2,BSS,669,648,21
2,BSS,469,646,177
2,BSS,453,646,193
2,BSS,780,646,980
2,BSS,102,648,568
2,BSS,789,648,141
2,BSS,53,646,593
2,BSS,867,648,219
2,BSS,494,646,152
2,BSS,699,648,51
2,BSS,519,648,985
2,BSS,1103,646,657
2,BSS,211,648,677
2,BSS,766,648,118
2,BSS,267,648,733
2,BSS,988,648,340
2,BSS,192,646,454
2,BSS,965,646,795
2,BSS,198,646,448
2,BSS,326,646,320
2,BSS,88,646,558
2,BSS,676,646,1084
2,BSS,757,646,1003
2,BSS,390,646,256
2,BSS,688,648,40
2,BSS,32,646,614
2,BSS,163,646,483
2,BSS,754,646,1006
2,BSS,403,646,243
2,BSS,717,648,69
2,BSS,563,648,1029
2,BSS,196,646,450
2,BSS,219,646,427
2,BSS,544,646,102
2,BSS,504,646,142
2,BSS,232,646,414
2,BSS,137,646,509
2,BSS,1097,646,663
2,BSS,657,648,9
2,BSS,32,646,614
2,BSS,781,646,979
2,BSS,472,648,938
2,BSS,34,646,612
2,BSS,78,646,568
2,BSS,1026,646,734
2,BSS,919,646,841
2,BSS,527,648,993
2,BSS,568,646,78
2,BSS,385,648,851
2,BSS,435,646,211
2,BSS,101,646,545
2,BSS,554,648,1020
2,BSS,704,648,56
2,BSS,1098,646,662
2,BSS,724,648,76
2,BSS,481,646,165
2,BSS,547,646,99
2,BSS,264,646,382
2,BSS,1041,646,719
2,BSS,293,648,759
2,BSS,726,648,78
2,BSS,1041,646,719
2,BSS,390,646,256
2,BSS,445,646,201
2,BSS,916,648,268
2,BSS,198,646,448
2,BSS,1056,646,704
2,BSS,666,646,1094
2,BSS,1012,648,364
2,BSS,163,646,483
2,BSS,537,648,1003
2,BSS,228,648,694
2,BSS,1073,646,687
2,BSS,178,646,468
2,BSS,947,648,299
2,BSS,145,646,501
2,BSS,477,648,943
2,BSS,287,646,359
2,BSS,644,646,2
2,BSS,274,648,740
2,BSS,721,646,1039
2,BSS,665,648,17
2,BSS,545,648,1011
2,BSS,851,648,203
2,BSS,777,648,129
2,BSS,456,648,922
2,BSS,826,648,178
2,BSS,805,646,955
2,BSS,244,646,402
2,BSS,635,648,1101
2,BSS,698,646,1062
2,BSS,1093,648,445
2,BSS,265,646,381
2,BSS,503,646,143
2,BSS,515,646,131
2,BSS,751,648,103
2,BSS,1040,648,392
2,BSS,1102,646,658
2,BSS,350,646,296
2,BSS,553,648,1019
2,BSS,980,648,332
2,BSS,1055,646,705
2,BSS,42,646,604
2,BSS,923,646,837
2,BSS,486,646,160
2,BSS,713,648,65
2,BSS,618,646,28
2,BSS,468,648,934
2,BSS,579,646,67
2,BSS,233,646,413
2,BSS,426,646,220
2,BSS,216,648,682
2,BSS,856,648,208
2,BSS,752,646,1008
2,BSS,1026,648,378
2,BSS,757,648,109
2,BSS,802,646,958
2,BSS,940,646,820
2,BSS,118,646,528
2,BSS,917,646,843
2,BSS,521,646,125
2,BSS,442,648,908
2,BSS,559,646,87
2,BSS,642,648,1108
2,BSS,359,646,287
2,BSS,631,646,15
2,BSS,429,646,217
2,BSS,871,648,223
2,BSS,95,646,551
2,BSS,219,646,427
2,BSS,333,646,313
2,BSS,216,648,682
2,BSS,912,646,848
2,BSS,420,646,226
2,BSS,430,648,896
2,BSS,1055,648,407
2,BSS,1014,646,746
2,BSS,622,646,24
2,BSS,619,646,27
2,BSS,418,648,884
2,BSS,251,646,395
2,BSS,1036,646,724
2,BSS,109,648,575
2,BSS,93,648,559
2,BSS,142,648,608
2,BSS,592,646,54
2,BSS,184,648,650
2,BSS,652,646,1108
2,BSS,286,646,360
2,BSS,377,648,843
2,BSS,822,646,938
2,BSS,471,648,937
2,BSS,727,646,1033
2,BSS,54,646,592
2,BSS,834,648,186
2,BSS,372,648,838
