04-18-2026 17:57:20 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 41% cpu@55.781C soc2@54.625C soc0@53.562C gpu@54.656C tj@55.781C soc1@54.562C VDD_IN 6370mW/6344mW VDD_CPU_GPU_CV 1677mW/1660mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:21 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.531C soc2@54.625C soc0@53.437C gpu@54.75C tj@55.531C soc1@54.562C VDD_IN 6370mW/6344mW VDD_CPU_GPU_CV 1677mW/1661mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:21 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,1%@729,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@55.593C soc2@54.656C soc0@53.5C gpu@54.906C tj@55.593C soc1@54.593C VDD_IN 6370mW/6345mW VDD_CPU_GPU_CV 1677mW/1661mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:22 RAM 5475/7620MB (lfb 18x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 41% cpu@55.687C soc2@54.593C soc0@53.687C gpu@54.687C tj@55.687C soc1@54.562C VDD_IN 6370mW/6346mW VDD_CPU_GPU_CV 1677mW/1662mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:22 RAM 5475/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.406C soc2@54.625C soc0@53.718C gpu@54.781C tj@55.406C soc1@54.562C VDD_IN 6410mW/6348mW VDD_CPU_GPU_CV 1677mW/1662mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:23 RAM 5475/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,3%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 46% cpu@55.437C soc2@54.593C soc0@53.656C gpu@55.062C tj@55.437C soc1@54.531C VDD_IN 6410mW/6350mW VDD_CPU_GPU_CV 1677mW/1662mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:23 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 40% cpu@55.375C soc2@54.562C soc0@53.687C gpu@54.625C tj@55.375C soc1@54.562C VDD_IN 6370mW/6350mW VDD_CPU_GPU_CV 1677mW/1663mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:24 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 50% cpu@55.406C soc2@54.625C soc0@53.687C gpu@54.687C tj@55.406C soc1@54.468C VDD_IN 6360mW/6351mW VDD_CPU_GPU_CV 1677mW/1663mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:24 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 40% cpu@55.906C soc2@54.593C soc0@53.625C gpu@54.625C tj@55.437C soc1@54.531C VDD_IN 6370mW/6351mW VDD_CPU_GPU_CV 1677mW/1664mW VDD_SOC 1560mW/1558mW
04-18-2026 17:57:25 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,3%@1510,2%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 46% cpu@55.437C soc2@54.562C soc0@53.562C gpu@54.656C tj@55.437C soc1@54.531C VDD_IN 6370mW/6352mW VDD_CPU_GPU_CV 1677mW/1664mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:25 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [2%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.375C soc2@54.531C soc0@53.562C gpu@54.781C tj@55.375C soc1@54.687C VDD_IN 6370mW/6352mW VDD_CPU_GPU_CV 1677mW/1664mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:26 RAM 5475/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1213,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 43% cpu@55.593C soc2@54.5C soc0@53.593C gpu@54.968C tj@55.593C soc1@54.656C VDD_IN 6360mW/6352mW VDD_CPU_GPU_CV 1677mW/1665mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:26 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 40% cpu@55.843C soc2@54.625C soc0@53.531C gpu@55.031C tj@55.843C soc1@54.656C VDD_IN 6360mW/6352mW VDD_CPU_GPU_CV 1677mW/1665mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:27 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.406C soc2@54.562C soc0@53.593C gpu@54.625C tj@55.406C soc1@54.656C VDD_IN 6370mW/6353mW VDD_CPU_GPU_CV 1677mW/1665mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:27 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@729,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 43% cpu@55.718C soc2@54.531C soc0@53.5C gpu@55.093C tj@55.718C soc1@54.593C VDD_IN 6410mW/6354mW VDD_CPU_GPU_CV 1677mW/1665mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:28 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [7%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 41% cpu@55.687C soc2@54.593C soc0@53.531C gpu@54.656C tj@55.687C soc1@54.562C VDD_IN 6370mW/6354mW VDD_CPU_GPU_CV 1677mW/1666mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:28 RAM 5475/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@921,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@55.875C soc2@54.562C soc0@53.593C gpu@54.656C tj@55.875C soc1@54.562C VDD_IN 6360mW/6355mW VDD_CPU_GPU_CV 1677mW/1666mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:29 RAM 5475/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,0%@1510,1%@890,1%@1510,100%@1510] GR3D_FREQ 44% cpu@55.562C soc2@54.625C soc0@53.5C gpu@54.781C tj@55.562C soc1@54.562C VDD_IN 6370mW/6355mW VDD_CPU_GPU_CV 1677mW/1666mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:29 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.625C soc2@54.625C soc0@53.5C gpu@54.968C tj@55.625C soc1@54.593C VDD_IN 6370mW/6355mW VDD_CPU_GPU_CV 1677mW/1666mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:30 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [2%@1510,1%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.437C soc2@54.625C soc0@53.656C gpu@54.75C tj@55.437C soc1@54.5C VDD_IN 6370mW/6355mW VDD_CPU_GPU_CV 1677mW/1667mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:30 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.343C soc2@54.562C soc0@53.687C gpu@55C tj@55.343C soc1@54.531C VDD_IN 6360mW/6356mW VDD_CPU_GPU_CV 1677mW/1667mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:31 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [5%@1510,1%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 41% cpu@55.593C soc2@54.593C soc0@53.718C gpu@55.187C tj@55.593C soc1@54.531C VDD_IN 6370mW/6356mW VDD_CPU_GPU_CV 1677mW/1667mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:31 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 52% cpu@55.468C soc2@54.625C soc0@53.718C gpu@54.656C tj@55.468C soc1@54.562C VDD_IN 6410mW/6357mW VDD_CPU_GPU_CV 1677mW/1667mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:32 RAM 5476/7620MB (lfb 16x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@877,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.5C soc2@54.562C soc0@53.75C gpu@54.812C tj@55.5C soc1@54.562C VDD_IN 6400mW/6358mW VDD_CPU_GPU_CV 1677mW/1667mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:32 RAM 5477/7620MB (lfb 13x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 41% cpu@55.468C soc2@54.625C soc0@53.625C gpu@54.843C tj@55.468C soc1@54.531C VDD_IN 6410mW/6359mW VDD_CPU_GPU_CV 1677mW/1668mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:33 RAM 5477/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [43%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 44% cpu@55.562C soc2@54.75C soc0@53.593C gpu@55.093C tj@55.562C soc1@54.562C VDD_IN 6600mW/6363mW VDD_CPU_GPU_CV 1797mW/1670mW VDD_SOC 1597mW/1559mW
