04-18-2026 12:24:04 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@806,72%@806,2%@806,2%@806,1%@729,0%@729] GR3D_FREQ 62% cpu@54.687C soc2@54.125C soc0@53.125C gpu@54.625C tj@54.687C soc1@54.437C VDD_IN 6169mW/6118mW VDD_CPU_GPU_CV 1400mW/1373mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:05 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,51%@1510,0%@1510,1%@1510,12%@883,11%@883] GR3D_FREQ 65% cpu@55.062C soc2@54.125C soc0@53.125C gpu@54.156C tj@55.062C soc1@54.375C VDD_IN 6129mW/6118mW VDD_CPU_GPU_CV 1360mW/1373mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:05 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,2%@883,75%@883] GR3D_FREQ 62% cpu@54.718C soc2@54.062C soc0@53.093C gpu@54.625C tj@54.718C soc1@54.343C VDD_IN 6129mW/6119mW VDD_CPU_GPU_CV 1400mW/1374mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:06 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 64% cpu@54.875C soc2@54.093C soc0@53.218C gpu@54.187C tj@54.875C soc1@54.218C VDD_IN 6129mW/6119mW VDD_CPU_GPU_CV 1400mW/1375mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:06 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,3%@1510,2%@883,74%@883] GR3D_FREQ 60% cpu@55C soc2@54.25C soc0@53.125C gpu@54.562C tj@55C soc1@54.062C VDD_IN 6129mW/6119mW VDD_CPU_GPU_CV 1400mW/1376mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:07 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 61% cpu@54.781C soc2@54.093C soc0@53.031C gpu@54.156C tj@54.781C soc1@54.093C VDD_IN 6169mW/6121mW VDD_CPU_GPU_CV 1400mW/1376mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:07 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,2%@729,3%@883,75%@883] GR3D_FREQ 66% cpu@54.812C soc2@54.125C soc0@53.25C gpu@54.281C tj@54.812C soc1@54.125C VDD_IN 6169mW/6123mW VDD_CPU_GPU_CV 1400mW/1377mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:08 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 65% cpu@54.781C soc2@54C soc0@53.187C gpu@54.093C tj@54.781C soc1@54.062C VDD_IN 6129mW/6123mW VDD_CPU_GPU_CV 1360mW/1377mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:08 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,3%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@54.75C soc2@54.125C soc0@53.187C gpu@54.218C tj@54.75C soc1@54.093C VDD_IN 6129mW/6123mW VDD_CPU_GPU_CV 1400mW/1377mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:09 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@54.625C soc2@54.031C soc0@53.093C gpu@54.125C tj@54.625C soc1@54.062C VDD_IN 6129mW/6123mW VDD_CPU_GPU_CV 1360mW/1377mW VDD_SOC 1600mW/1597mW
