04-18-2026 12:23:01 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,0%@806,75%@806] GR3D_FREQ 63% cpu@55.218C soc2@54.625C soc0@53.5C gpu@54.625C tj@55.218C soc1@54.562C VDD_IN 6169mW/6149mW VDD_CPU_GPU_CV 1400mW/1393mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:02 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,0%@806,73%@806] GR3D_FREQ 62% cpu@55.343C soc2@54.562C soc0@53.656C gpu@54.687C tj@55.343C soc1@54.593C VDD_IN 6169mW/6149mW VDD_CPU_GPU_CV 1400mW/1393mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:02 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.125C soc2@54.562C soc0@53.687C gpu@54.781C tj@55.125C soc1@54.593C VDD_IN 6169mW/6150mW VDD_CPU_GPU_CV 1400mW/1393mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:03 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 63% cpu@55.187C soc2@54.562C soc0@53.656C gpu@54.906C tj@55.187C soc1@54.5C VDD_IN 6169mW/6150mW VDD_CPU_GPU_CV 1400mW/1393mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:03 RAM 3872/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 65% cpu@55C soc2@54.562C soc0@53.625C gpu@54.812C tj@55C soc1@54.468C VDD_IN 6169mW/6151mW VDD_CPU_GPU_CV 1400mW/1393mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:04 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,1%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@55.125C soc2@54.468C soc0@53.593C gpu@54.937C tj@55.125C soc1@54.468C VDD_IN 6169mW/6151mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:04 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,1%@1510,14%@883,59%@883] GR3D_FREQ 62% cpu@55.5C soc2@54.531C soc0@53.531C gpu@54.531C tj@55.5C soc1@54.718C VDD_IN 6169mW/6152mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:05 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 65% cpu@55.218C soc2@54.437C soc0@53.5C gpu@54.843C tj@55.218C soc1@54.75C VDD_IN 6169mW/6152mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1598mW
04-18-2026 12:23:05 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,9%@1510,1%@1510,1%@1510,0%@883,67%@883] GR3D_FREQ 63% cpu@55.187C soc2@54.5C soc0@53.5C gpu@55.093C tj@55.187C soc1@54.562C VDD_IN 6169mW/6153mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:06 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,3%@1510,2%@1510,2%@883,74%@883] GR3D_FREQ 67% cpu@55.375C soc2@54.437C soc0@53.437C gpu@54.687C tj@55.375C soc1@54.562C VDD_IN 6169mW/6153mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1599mW
